Start_Date,Start_Time,Stop_Date,Stop_Time,Seq.Program,Site,Treatment,Core,Valve,Mass_g,Initials,Notes1,Notes2,time,date,error,error,edits made
2019-07-01,14:29,2019-07-02,10:01,,SR,initial,78,15,356.12,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,initial,,16,,CGN/SF,,,0,0,,0,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,14,1,262.25,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,10,2,286.02,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,6,3,286.63,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,9,4,264.03,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,4,5,290.49,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,2,6,287.61,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,12,7,268.8,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,7,8,264.11,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,5,9,285.03,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,72,10,344.74,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,15,11,295.52,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,3,12,284.89,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,66,13,375.52,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,67,14,351.81,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,76,15,300.21,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,initial,,16,,AS/CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,25,1,299.9,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,1,2,280.53,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,16,3,299.91,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,22,4,323.48,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,30,5,286.94,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,29,6,278.7,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,8,7,270.09,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,24,8,300.88,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,23,9,296.87,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,20,10,297.57,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,11,11,324.47,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,17,12,311.21,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,19,13,287.82,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,13,14,282.03,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,18,15,289.76,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,initial,,16,,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,initial,21,1,293.15,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,initial,26,2,327.43,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,initial,27,3,305.75,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,initial,28,4,295.64,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,initial,,,,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,54,1,316.38,CGN,CO2 level ignited at 505ppm,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,39,2,310.26,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,73,3,346.57,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,48,4,283.83,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,37,5,324.98,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,9,6,258.24,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,10,7,279.91,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,14,8,255.81,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,4,9,284.31,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,87,10,295.66,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,3,11,277.29,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,72,12,338.37,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,2,13,280.92,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,5,14,278.34,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,15,15,287.44,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,drydown,,16,,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,6,1,278.24,CGN,CO2 level ignited at 541ppm,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,49,2,268.13,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,80,3,324.45,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,55,4,299.87,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,66,5,368.23,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,33,6,274.88,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,28,7,288.65,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,67,8,344.93,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,61,9,323.7,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,86,10,293.23,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,76,11,294.84,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,27,12,299.29,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,70,13,233.78,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,40,14,304.75,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,60,15,327.25,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,drydown,,16,,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,34,1,306.86,CGN,CO2 level ignited at 519ppm,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,59,2,317.4,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,68,3,289.26,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,75,4,321.52,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,83,5,255.82,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,52,6,302.53,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,42,7,302.99,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,38,8,307.64,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,74,9,324.1,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,35,10,309.96,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,82,11,294.74,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,26,12,310.69,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,36,13,302.48,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,78,14,347.51,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,31,15,298.05,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,drydown,,16,,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,64,1,241.91,CGN,CO2 level ignited at 544ppm,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,44,2,260.42,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,8,3,264.6,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,20,4,290.74,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,16,5,294.03,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,56,6,302.71,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,18,7,283.83,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,57,8,252.65,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,drydown,53,9,270.62,CGN,,,,,,,
