,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.07,0,1.07,0.08,Artifact,Weak,,,30,5.79,0,5.9,1.23,Impurity,None,,,59,4.4,0,5.35,3.65,Compound,None,,,88,3.56,0.1,3.61,6.53,Artifact,Weak,,,117,3.06,0.1,2.05,1.32,Artifact,Weak,,,146,2.44,0,1.94,0.24,Artifact,Weak,,,175,1.23,0.4,4.09,23.03,Compound,None,,
2,13.64,0,0.51,0.04,Artifact,Weak,,,31,5.65,0,0.91,0.05,Artifact,Weak,,,60,4.38,0,2.62,0.37,Compound,Weak,,,89,3.55,0.2,5.76,17.39,Artifact,Weak,,,118,3.05,0,1.6,0.81,Artifact,Weak,,,147,2.34,0.1,1.3,2.15,Solvent,Weak + C13_Sat,,,176,1.17,0,0.89,0.11,Impurity,Weak,,
3,10.86,0,0.79,0.07,Artifact,Weak,,,32,5.4,0,21.8,4.81,Compound,None,,,61,4.36,0,4.09,1.06,Impurity,None,,,90,3.54,0.1,2.65,1.98,Artifact,Weak,,,119,3.05,0,2.02,0.93,Artifact,Weak,,,148,2.33,0.3,1.59,6.48,Solvent,Weak + C13_Sat,,,177,1.17,0,3.26,0.49,Compound,None,,
4,10.42,0,0.49,0.04,Artifact,Weak,,,33,5.3,0,7.04,0.65,Artifact,Weak,,,62,4.35,0.1,5.17,6.69,Compound,None,,,91,3.53,0.1,3.47,6.65,Artifact,Weak,,,120,3.04,0.1,3.51,4.79,Artifact,Weak,,,149,2.33,0.4,1.56,9.52,Solvent,Weak + C13_Sat,,,178,1.16,0,0.94,0.1,Impurity,Weak,,
5,10.2,0.1,3.72,3.01,Compound,None,,,34,5.23,0,3.24,0.3,Impurity,Weak,,,63,4.34,0.2,5.4,14.21,Compound,None,,,92,3.53,0.1,3.5,4.62,Artifact,Weak,,,121,3.03,0,3.32,1.31,Impurity,None,,,150,2.32,0.3,1.44,5.56,Solvent,Weak + C13_Sat,,,179,1.15,0.2,3.61,7.13,Compound,None,,
6,8.67,0,0.85,0.08,Artifact,Weak,,,35,5.18,0,2.63,0.65,Impurity,None,,,64,4.32,0.1,4.76,5.68,Compound,None,,,93,3.49,0,2.31,0.85,Artifact,Weak,,,122,3.01,0,7.38,2.84,Compound,None,,,151,2.32,0.1,1.45,2.29,Solvent,Weak + C13_Sat,,,180,1.12,0.1,61.17,114.45,Compound,None,,
7,8.4,0.2,27.85,69.3,Compound,None,,,36,5.17,0,1.61,0.54,Impurity,None,,,65,4.28,0,2.15,1.2,Compound,None,,,94,3.48,0.1,3.6,4.43,Artifact,Weak,,,123,2.91,0,2.57,0.74,Impurity,None,,,152,2.31,0.1,1.78,1.17,Compound,None,,,181,1.11,0,1.59,0.51,Compound,None,,
8,8.05,0,3.79,0.42,Impurity,Weak,,,37,5.11,0,2.72,0.38,Compound,None,,,66,4.26,0.1,4.25,3.42,Compound,None,,,95,3.47,0.1,2.9,4.14,Artifact,Weak,,,124,2.9,0,3.99,1.26,Compound,None,,,153,2.31,0.2,1.43,2.9,Compound,None,,,182,1.09,0,1.62,0.16,Impurity,Weak,,
9,7.94,0,8.95,0.92,Artifact,Weak,,,38,5.11,0,3.32,1.04,Compound,None,,,67,4.25,0.1,2.54,1.8,Compound,None,,,96,3.45,0.1,3.1,2.79,Artifact,Weak,,,125,2.88,0,5.45,3.36,Compound,None,,,154,2.29,0,2.85,0.32,Impurity,Weak,,,183,1.07,0.1,8.39,8.67,Compound,None,,
10,7.87,0,1.6,0.11,Artifact,Weak,,,39,5.1,0,5.94,2.26,Compound,None,,,68,4.15,0.1,5.81,4.3,Compound,None,,,97,3.44,0.1,3.12,3.03,Artifact,Weak,,,126,2.88,0,2.74,0.96,Compound,None,,,155,2.28,0,6.58,0.93,Impurity,Weak,,,184,1.06,0,2.71,1.77,Compound,None,,
11,7.79,0,3.07,0.29,Artifact,Weak,,,40,4.91,0.1,3.49,3.46,Compound,None,,,69,4.13,0,5.19,3.23,Compound,None,,,98,3.43,0,0.92,0.14,Artifact,Weak,,,127,2.86,0,1.03,0.17,Impurity,Weak,,,156,2.25,0,2.84,0.45,Impurity,Weak,,,185,1.05,0,2.65,1.86,Compound,None,,
12,7.77,0,1.62,0.18,Artifact,Weak,,,41,4.9,0.1,3.17,4.82,Compound,None,,,70,4.01,0,1.03,0.08,Artifact,Weak,,,99,3.42,0.1,4.13,2.56,Artifact,Weak,,,128,2.75,0,0.89,0.19,Impurity,Weak,,,157,2.12,0.1,57.12,62.99,Compound,None,,,186,1.04,0,0.98,0.17,Impurity,Weak,,
