,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.4,0,0.6,0.06,Artifact,Weak,,,23,2.51,38.2,2.88,1341.42,Solvent,None,,
2,10.2,0.1,3.23,3.8,Impurity,None,,,24,2.5,78.4,3.16,3183.71,Solvent,None,,
3,10.19,0,6.54,0.96,Impurity,Weak,,,25,2.49,39.2,2.24,1105.34,Solvent,None,,
4,8.32,0,1.46,0.17,Impurity,Weak,,,26,2.49,14.9,1.72,262.16,Solvent,None,,
5,7.14,0.3,114.57,500.8,Compound,None,,,27,2.33,0.1,3.55,4.11,Solvent,Weak + C13_Sat,,
6,5.75,0,4.59,0.59,Impurity,Weak,,,28,2.33,0.6,4.95,33.45,Solvent,Weak + C13_Sat,,
7,4.85,0.3,252.2,829.45,Compound,None,,,29,2.05,0.1,33.7,32.18,Compound,None,,
8,4.45,0.1,176.64,136.42,Compound,None,,,30,2.02,0.1,29.3,41.04,Compound,None,,
9,4.16,0,8.33,1.15,Impurity,Weak,,,31,1.9,0,151.28,77.63,Compound,None,,
10,4.15,0,8.32,1.91,Impurity,Weak,,,32,1.9,0,10.4,3.77,Compound,None,,
11,3.6,0.4,218.69,864.86,Artifact,Weak,,,33,1.83,0.2,51.68,134.91,Compound,None,,
12,3.49,0.1,16.38,10.82,Artifact,Weak,,,34,1.23,0.2,4.99,10.25,Compound,None,,
13,3.24,0.6,42.96,393.55,Artifact,Weak,,,35,1.19,0.2,156.82,533.44,Compound,None,,
14,3.15,0.2,92.02,249.69,Artifact,Weak,,,36,1.14,0.2,4.25,8.5,Compound,None,,
15,3.11,0.3,4.23,16.19,Artifact,Weak,,,37,1.13,0.3,51.43,173.2,Compound,None,,
16,2.68,0,1.5,0.69,Artifact,Weak,,,38,1.11,0,11.93,5.13,Compound,None,,
17,2.67,0.2,2.93,5.72,Solvent,Weak + C13_Sat,,,39,1.06,0.1,69.41,115.58,Compound,None,,
18,2.67,0.4,3.68,19.83,Solvent,Weak + C13_Sat,,,40,0.85,0,1.93,0.26,Impurity,Weak,,
19,2.66,0.2,2.56,5.96,Solvent,Weak + C13_Sat,,,41,0.84,0.1,42.66,31.26,Compound,None,,
20,2.66,0.1,1.39,0.96,Solvent,Weak + C13_Sat,,,42,0.07,0.1,2.57,3.06,Impurity,None,,
21,2.56,0,1.94,0.34,Artifact,Weak,,,43,-0.01,0,2,0.37,CS Reference,Weak,,
22,2.51,12.3,1.8,279.26,Compound,None,,,44,-0.07,0.1,1.4,1.15,Impurity,None,,
