,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.35,0,0.5,0.06,Artifact,Weak,,,25,2.23,0,1.95,0.27,Artifact,Weak,,
2,6.53,0,2.76,1.56,Compound,None,,,26,2.22,0,1.59,0.21,Artifact,Weak,,
3,6.28,0,2.12,1.08,Compound,None,,,27,1.92,0,0.47,0.04,Artifact,Weak,,
4,4.22,0,0.48,0.05,Artifact,Weak,,,28,1.89,0,11.36,3.83,Compound,None,,
5,3.59,0,1.25,0.18,Artifact,Weak,,,29,1.34,0,2.83,0.35,Artifact,Weak,,
6,3.51,0.1,3.41,3.85,Compound,None,,,30,1.3,0,2.85,0.77,Compound,None,,
7,3.37,0.1,43.6,35.55,Artifact,Weak,,,31,1.28,0,1.53,0.28,Impurity,None,,
8,2.94,0,1.09,0.12,Artifact,Weak,,,32,1.26,0,4.98,2.63,Compound,None,,
9,2.68,0.1,2.23,2.76,Solvent,Weak + C13_Sat,,,33,1.24,0.4,5.64,29.64,Compound,None,,
10,2.67,0.3,2.72,9.34,Solvent,Weak + C13_Sat,,,34,1.15,0.2,4.03,8.76,Compound,None,,
11,2.67,0.4,2.7,13.67,Solvent,Weak + C13_Sat,,,35,1.05,0,6.27,2.45,Compound,None,,
12,2.66,0.2,2.43,7.61,Solvent,Weak + C13_Sat,,,36,1.03,0,1.64,0.23,Artifact,Weak,,
13,2.66,0.1,2.23,2.61,Solvent,Weak + C13_Sat,,,37,1.02,0,10.84,1.3,Compound,None,,
14,2.61,0,42.87,16.59,Artifact,Weak,,,38,0.98,0,0.65,0.08,Artifact,Weak,,
15,2.51,23.9,2.98,958.92,Solvent,None,,,39,0.97,0,1.8,0.22,Artifact,Weak,,
16,2.5,45.6,2.38,1341.88,Solvent,None,,,40,0.87,0,4.13,1.32,Compound,None,,
17,2.5,71,2.53,2194.36,Solvent,None,,,41,0.85,0,4.91,3.05,Compound,None,,
18,2.5,46.3,2.49,1407.11,Solvent,None,,,42,0.83,0,12.92,8.25,Compound,None,,
19,2.49,15.4,2.01,356.28,Solvent,None,,,43,0.81,0,5.16,0.97,Compound,None,,
20,2.34,0.1,2.61,3.94,Solvent,Weak + C13_Sat,,,44,0.07,0.1,3.08,2.11,Compound,None,,
21,2.33,0.3,2.55,8.66,Solvent,Weak + C13_Sat,,,45,-0.07,0,0.53,0.06,Artifact,Weak,,
22,2.33,0.4,2.68,13.99,Solvent,Weak + C13_Sat,,,46,-1.18,0,0.65,0.07,Artifact,Weak,,
23,2.32,0.2,2.31,6.78,Solvent,Weak + C13_Sat,,,47,-1.29,0,0.49,0.06,Artifact,Weak,,
24,2.32,0.1,1.89,2.18,Solvent,Weak + C13_Sat,,,48,-2.29,0,0.57,0.05,Artifact,Weak,,
