,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.49,0,1.31,0.12,Artifact,Weak,,,23,4.58,0,1.92,0.27,Impurity,None,,,45,2.34,0.1,1.63,1.48,Solvent,Weak + C13_Sat,,
2,15.4,0,0.92,0.08,Artifact,Weak,,,24,4.57,0,3.14,0.33,Impurity,None,,,46,2.33,0.2,2.04,4.19,Solvent,Weak + C13_Sat,,
3,13.57,0,0.85,0.06,Artifact,Weak,,,25,4.34,0,1.66,0.18,Artifact,Weak,,,47,2.33,0.4,2.47,12.61,Solvent,Weak + C13_Sat,,
4,11.78,0,0.84,0.07,Artifact,Weak,,,26,4.33,0,2.46,0.33,Impurity,Weak,,,48,2.32,0.4,2.13,10.24,Solvent,Weak + C13_Sat,,
5,10.9,0,0.79,0.07,Artifact,Weak,,,27,3.85,0.1,50.45,33.6,Compound,None,,,49,2.32,0.2,2.16,6.33,Solvent,Weak + C13_Sat,,
6,10.51,0,0.64,0.04,Artifact,Weak,,,28,3.35,0.5,48.14,328.64,Artifact,Weak,,,50,2.31,0.1,1.24,0.77,Compound,Weak + C13_Sat,,
7,8.48,0,7.06,3.02,Compound,None,,,29,3.29,0.1,3.79,6.97,Artifact,Weak,,,51,2.08,0,3.27,0.4,Impurity,Weak,,
8,7.86,0,0.51,0.03,Artifact,Weak,,,30,3.04,0.1,30.84,32.52,Compound,None,,,52,1.88,0,2.23,0.29,Impurity,Weak,,
9,6.55,0,1.29,0.12,Artifact,Weak,,,31,2.68,0.1,1.65,1.21,Solvent,Weak + C13_Sat,,,53,1.29,0,3.83,0.63,Impurity,None,,
10,6.44,0,0.67,0.06,Artifact,Weak,,,32,2.67,0.2,2.27,5.8,Solvent,Weak + C13_Sat,,,54,1.28,0,0.5,0.03,Artifact,Weak,,
11,6.38,0,0.45,0.04,Artifact,Weak,,,33,2.67,0.4,2.32,11.02,Solvent,Weak + C13_Sat,,,55,1.27,0,2.47,0.6,Compound,None,,
12,6.2,0,1.17,0.13,Impurity,Weak,,,34,2.67,0.4,2.48,12.85,Solvent,Weak + C13_Sat,,,56,1.25,0,4.37,1.55,Compound,None,,
13,6.17,0,0.62,0.04,Artifact,Weak,,,35,2.66,0.2,2.23,6.51,Solvent,Weak + C13_Sat,,,57,1.23,0.1,4.48,6.45,Compound,None,,
14,5.17,0,0.73,0.06,Artifact,Weak,,,36,2.66,0.1,1.62,0.99,Compound,Weak + C13_Sat,,,58,1.14,0,4.79,1.29,Compound,None,,
15,4.88,0,1.45,0.15,Impurity,Weak,,,37,2.52,0,0.6,0.18,Artifact,Weak,,,59,1.13,0,0.97,0.08,Artifact,Weak,,
16,4.87,0,3.94,0.43,Impurity,Weak,,,38,2.51,13.3,1.76,289.06,Solvent,None,,,60,0.85,0,3.34,0.46,Compound,None,,
17,4.82,0,1.74,0.32,Impurity,None,,,39,2.5,37.9,2.11,846.61,Solvent,None,,,61,0.83,0,22.96,11.25,Compound,None,,
18,4.81,0,2.29,0.28,Impurity,None,,,40,2.5,72.5,2.29,1986.25,Solvent,None,,,62,0.06,0,2.4,0.3,Impurity,Weak,,
19,4.75,0,3.74,0.61,Impurity,None,,,41,2.5,67.1,1.91,1567.49,Solvent,None,,,63,-0.17,0,0.56,0.05,Artifact,Weak,,
20,4.75,0,1.41,0.21,Impurity,None,,,42,2.49,42.5,2.08,885.06,Solvent,None,,,64,-2.25,0,0.69,0.06,Artifact,Weak,,
21,4.74,0,3.87,0.94,Impurity,None,,,43,2.49,13.3,1.38,189.57,Compound,None,,,,,,,,,,,
22,4.6,0,0.98,0.06,Artifact,Weak,,,44,2.43,0.3,119.47,484.21,Artifact,Weak,,,,,,,,,,,
