,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.15,0,0.49,0.04,Artifact,Weak,,,27,2.5,78.6,1.92,1804.61,Solvent,None,,
2,13.31,0,0.64,0.06,Artifact,Weak,,,28,2.5,51.9,1.74,1060.18,Solvent,None,,
3,12.27,0,0.59,0.05,Artifact,Weak,,,29,2.49,22.5,1.77,486.74,Solvent,None,,
4,11.99,0,0.63,0.07,Artifact,Weak,,,30,2.43,0,0.57,0.05,Artifact,Weak,,
5,11.78,0,0.49,0.04,Artifact,Weak,,,31,2.34,0.1,2.24,4.22,Solvent,Weak + C13_Sat,,
6,10.21,0,0.5,0.05,Artifact,Weak,,,32,2.33,0.3,2.01,7.9,Solvent,Weak + C13_Sat,,
7,8.61,0,0.55,0.05,Artifact,Weak,,,33,2.33,0.4,1.88,9.61,Solvent,Weak + C13_Sat,,
8,8.39,0,0.69,0.07,Artifact,Weak,,,34,2.32,0.3,1.98,7.71,Solvent,Weak + C13_Sat,,
9,7.83,0,1.21,0.09,Artifact,Weak,,,35,2.32,0.1,1.71,2.32,Solvent,Weak + C13_Sat,,
10,6.6,0,0.68,0.08,Artifact,Weak,,,36,2.23,0,0.76,0.07,Artifact,Weak,,
11,6.53,0.1,2.63,1.94,Compound,None,,,37,1.36,0,1.69,0.18,Artifact,Weak,,
12,6.28,0,2.22,0.84,Impurity,None,,,38,1.3,0,1.89,0.29,Impurity,Weak,,
13,4.69,0,0.44,0.04,Artifact,Weak,,,39,1.28,0,1.72,0.24,Impurity,Weak,,
14,4.53,0,0.46,0.04,Artifact,Weak,,,40,1.26,0,1.88,0.79,Compound,None,,
15,3.59,0,1.32,0.15,Artifact,Weak,,,41,1.24,0.2,4.28,9.84,Compound,None,,
16,3.51,0.2,3.1,6.51,Compound,None,,,42,1.15,0.2,3.82,8.98,Compound,None,,
17,2.97,0,0.51,0.04,Artifact,Weak,,,43,1.12,0,1.95,0.43,Impurity,None,,
18,2.91,0,0.51,0.05,Artifact,Weak,,,44,1.1,0,0.77,0.18,Impurity,Weak,,
19,2.68,0.1,2.03,3.28,Solvent,Weak + C13_Sat,,,45,1.05,0,2.03,0.25,Artifact,Weak,,
20,2.67,0.3,2.07,8.39,Solvent,Weak + C13_Sat,,,46,1.02,0,18.05,5.12,Compound,None,,
21,2.67,0.4,2.01,11.39,Solvent,Weak + C13_Sat,,,47,0.85,0,2.34,0.42,Compound,None,,
22,2.66,0.3,1.94,7.15,Solvent,Weak + C13_Sat,,,48,0.84,0,31.37,12.15,Compound,None,,
23,2.66,0.1,1.6,2.02,Solvent,Weak + C13_Sat,,,49,0.07,0,2.21,0.87,Impurity,None,,
24,2.53,1,12.23,159.23,Compound,None,,,50,-0.23,0,0.54,0.05,Artifact,Weak,,
25,2.51,26.5,2.24,762.02,Solvent,None,,,51,-1.78,0,1.09,0.08,Artifact,Weak,,
26,2.5,54.8,1.89,1269.82,Solvent,None,,,,,,,,,,,
