,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.14,0,0.8,0.09,Artifact,Weak,,,28,4.75,0.1,1.62,1.3,Compound,None,,,55,3.58,0,2.91,0.69,Compound,None,,,82,2.68,0.1,1.42,2.63,Solvent,Weak + C13_Sat,,,109,1.49,0,0.67,0.07,Artifact,Weak,,
2,9.87,0,0.45,0.04,Artifact,Weak,,,29,4.74,0,1.44,0.91,Compound,None,,,56,3.57,0,2.27,1.1,Compound,None,,,83,2.67,0.3,1.36,5.96,Solvent,Weak + C13_Sat,,,110,1.36,0,2.32,0.22,Artifact,Weak,,
3,9.87,0,0.74,0.07,Artifact,Weak,,,30,4.74,0,1.45,0.78,Compound,None,,,57,3.56,0,1.6,0.5,Compound,None,,,84,2.67,0.5,1.36,8.52,Solvent,Weak + C13_Sat,,,111,1.3,0,1.77,0.5,Impurity,None,,
4,9.79,0,0.67,0.06,Artifact,Weak,,,31,4.73,0,1.4,0.74,Compound,None,,,58,3.54,0,3.99,1.85,Compound,None,,,85,2.66,0.3,1.24,4.61,Solvent,Weak + C13_Sat,,,112,1.28,0,0.98,0.32,Compound,None,,
5,8.12,0,0.61,0.06,Artifact,Weak,,,32,4.61,0,1.35,0.7,Compound,None,,,59,3.53,0,1.89,0.5,Compound,None,,,86,2.66,0.1,1.38,2.11,Solvent,Weak + C13_Sat,,,113,1.26,0,1.34,0.71,Compound,None,,
6,7.56,0,0.4,0.05,Artifact,Weak,,,33,4.6,0,1.47,0.76,Compound,None,,,60,3.51,0,1.45,0.55,Impurity,None,,,87,2.52,0.6,6.28,51.71,Solvent,Weak,,,114,1.24,0.2,3.87,11.88,Compound,None,,
7,7.47,0,0.82,0.07,Artifact,Weak,,,34,4.58,0,1.82,1.15,Compound,None,,,61,3.5,0,1.2,0.09,Artifact,Weak,,,88,2.52,0.5,1.86,12.46,Solvent,Weak,,,115,1.18,0,0.97,0.15,Impurity,Weak,,
8,7.45,0,1.28,0.13,Impurity,Weak,,,35,4.57,0,1.7,1.01,Compound,None,,,62,3.48,0,2.62,0.53,Impurity,None,,,89,2.51,25.9,1.34,434.44,Solvent,None,,,116,1.17,0,1.23,0.12,Artifact,Weak,,
9,7.41,0,0.59,0.07,Artifact,Weak,,,36,4.48,0,1.37,0.31,Impurity,None,,,63,3.47,0,2.11,0.48,Impurity,None,,,90,2.5,60.8,1.36,1059.48,Solvent,None,,,117,1.15,0,3.72,2.08,Compound,None,,
10,6.57,0,1,0.43,Impurity,None,,,37,4.46,0,1.36,0.43,Impurity,None,,,64,3.45,0,1.11,0.2,Impurity,None,,,91,2.5,85.8,1.26,1347.98,Solvent,None,,,118,1.11,0,0.93,0.3,Impurity,None,,
