,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
16,5.45,0,2.53,0.33,Artifact,Weak,,,44,4.39,0.1,2.48,2.86,Compound,None,,,72,3.6,0,1.16,0.33,Impurity,None,,,100,3.22,0.1,2.26,3.79,Artifact,Weak,,,128,2.67,0.3,1.56,6.92,Solvent,Weak + C13_Sat,,,156,2.08,0,2.13,0.98,Compound,None,,,184,0.87,0,4.57,1.98,Compound,None,,
17,5.41,0,0.55,0.07,Artifact,Weak,,,45,4.38,0,2.62,0.88,Compound,None,,,73,3.59,0,1.15,0.3,Compound,None,,,101,3.22,0.1,2.04,3.57,Artifact,Weak,,,129,2.67,0.5,1.44,8.87,Solvent,Weak + C13_Sat,,,157,2.06,0,6.63,3.86,Compound,None,,,185,0.85,0.1,2.97,2.27,Compound,None,,
18,5.23,0,2.89,0.27,Artifact,Weak,,,46,4.36,0.1,4,2.81,Compound,None,,,74,3.59,0,1.14,0.09,Artifact,Weak,,,102,3.21,0.1,1.85,3.14,Artifact,Weak,,,130,2.66,0.3,1.42,5.85,Solvent,Weak + C13_Sat,,,158,2.05,0,2.5,0.38,Compound,None,,,186,0.84,0.1,23.88,21.61,Compound,None,,
19,5.22,0,1.36,0.15,Artifact,Weak,,,47,4.35,0.2,2.75,8.22,Compound,None,,,75,3.58,0.2,4.52,11.23,Compound,None,,,103,3.16,0.1,2.25,3.47,Compound,None,,,131,2.66,0.1,1.24,1.75,Solvent,Weak + C13_Sat,,,159,1.96,0,2.55,0.33,Artifact,Weak,,,187,0.29,0,0.55,0.06,Artifact,Weak,,
20,5.11,0.1,9.53,7.15,Compound,None,,,48,4.35,0.1,2.95,2.84,Compound,None,,,76,3.57,0.2,2.79,5.21,Compound,None,,,104,3.15,0.1,2.47,4.29,Compound,None,,,132,2.56,0,1.07,0.35,Artifact,Weak,,,160,1.95,0,2.62,0.27,Artifact,Weak,,,188,0.07,0,2.31,0.37,Impurity,Weak,,
21,5.1,0,1.08,0.22,Compound,Weak,,,49,4.34,0.5,2.78,17.08,Compound,None,,,77,3.56,0,0.77,0.17,Compound,Weak,,,105,3.14,0.2,3.76,7.85,Compound,None,,,133,2.54,0,0.76,0.12,Artifact,Weak,,,161,1.87,0.1,6.39,10.63,Compound,None,,,189,-2.46,0,0.56,0.05,Artifact,Weak,,
22,4.91,0.1,2.99,3.04,Compound,None,,,50,4.32,0.2,2.82,7.75,Compound,None,,,78,3.56,0.2,2.4,6.73,Compound,None,,,106,3.13,0.1,2.3,2.37,Compound,None,,,134,2.54,0,1.64,0.74,Artifact,Weak,,,162,1.82,0,3.65,0.69,Compound,None,,,190,-3.34,0,0.76,0.08,Artifact,Weak,,
23,4.9,0.1,3.12,4.6,Compound,None,,,51,4.31,0,1.73,1.03,Impurity,None,,,79,3.54,0.5,7.61,53.64,Compound,None,,,107,3.13,0.2,3.04,8.83,Compound,None,,,135,2.53,0.1,1.42,1.01,Artifact,Weak,,,163,1.81,0,33.47,5.87,Compound,None,,,,,,,,,,,
24,4.89,0.1,2.01,1.63,Compound,None,,,52,4.3,0,2.78,0.72,Compound,None,,,80,3.53,0.2,2.34,6.44,Compound,None,,,108,3.12,0.1,1.88,2.04,Compound,None,,,136,2.53,0.1,2.39,2,Artifact,Weak,,,164,1.77,0,1.64,0.7,Compound,None,,,,,,,,,,,
25,4.88,0.7,2.01,16.84,Compound,None,,,53,4.28,0,1.56,0.95,Compound,None,,,81,3.53,0.1,2.13,2.67,Compound,None,,,109,3.11,0.1,2.68,3.35,Compound,None,,,137,2.52,0.2,1,2.76,Artifact,Weak,,,165,1.77,0,1.22,0.44,Compound,None,,,,,,,,,,,
26,4.87,0.7,1.85,13.97,Compound,None,,,54,4.27,0.1,2.15,1.61,Compound,None,,,82,3.52,0.1,2.09,3.85,Compound,None,,,110,3.1,0.1,2.77,5.78,Compound,None,,,138,2.51,23.1,1.18,316.33,Solvent,None,,,166,1.75,0,1.43,0.19,Compound,None,,,,,,,,,,,
27,4.83,0.2,2.76,5.85,Compound,None,,,55,4.26,0,1.61,0.79,Compound,None,,,83,3.51,0.1,1.41,0.88,Compound,None,,,111,3.08,0,1.51,0.38,Compound,None,,,139,2.5,59,1.51,1169.98,Solvent,None,,,167,1.36,0,1.77,0.14,Artifact,Weak,,,,,,,,,,,
28,4.81,0.2,2.84,5.31,Compound,None,,,56,4.25,0.1,1.84,1.17,Compound,None,,,84,3.5,0.1,2.66,4.1,Compound,None,,,112,3.08,0,1.98,0.84,Compound,None,,,140,2.5,86.1,1.51,1662.09,Solvent,None,,,168,1.33,0,1.37,0.16,Artifact,Weak,,,,,,,,,,,
