,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.56,0,0.48,0.04,Artifact,Weak,,,27,4.59,0.1,2.03,1.42,Compound,None,,,53,3.47,0,2.29,0.93,Compound,None,,,79,2.52,0.3,1.1,4.4,Solvent,Weak,,,105,1.3,0,1.59,0.58,Compound,None,,
2,13.85,0,0.58,0.05,Artifact,Weak,,,28,4.57,0.1,1.88,1.31,Compound,None,,,54,3.45,0,3.32,0.94,Compound,None,,,80,2.52,0.2,0.7,1.54,Solvent,Weak,,,106,1.28,0,1.03,0.31,Compound,None,,
3,12.32,0,0.62,0.05,Artifact,Weak,,,29,4.48,0,1.56,0.26,Impurity,None,,,55,3.44,0,3.24,0.6,Compound,None,,,81,2.51,25.4,1.18,357.25,Solvent,None,,,107,1.26,0,1.23,0.58,Compound,None,,
4,12.19,0,0.65,0.05,Artifact,Weak,,,30,4.46,0,1.58,0.43,Impurity,None,,,56,3.42,0,2.47,0.46,Artifact,Weak,,,82,2.5,60,1.21,922.38,Solvent,None,,,108,1.24,0.3,3.01,12.61,Compound,None,,
5,11.29,0,0.72,0.07,Artifact,Weak,,,31,4.44,0,1.9,0.21,Impurity,Weak,,,57,3.4,0,1.55,0.25,Artifact,Weak,,,83,2.5,86.7,1.26,1454.66,Solvent,None,,,109,1.15,0.1,3.37,2.06,Compound,None,,
6,10.83,0,0.97,0.06,Artifact,Weak,,,32,4.42,0,1.71,0.38,Impurity,None,,,58,3.39,0,1.1,0.27,Artifact,Weak,,,84,2.5,60.3,1.26,1030.52,Solvent,None,,,110,1.13,0,1.53,0.18,Compound,Weak,,
7,10.2,0,1.34,0.19,Impurity,Weak,,,33,4.41,0,3.11,0.38,Impurity,Weak,,,59,3.35,0.1,0.96,0.7,Artifact,Weak,,,85,2.49,22.3,1.06,258.95,Solvent,None,,,111,1.11,0,0.75,0.17,Impurity,None,,
8,9.88,0,0.8,0.06,Artifact,Weak,,,34,4.39,0,2.54,0.39,Impurity,None,,,60,3.23,0,1.85,0.74,Artifact,Weak,,,86,2.48,0,1.38,0.64,Artifact,Weak,,,112,1.09,0,3.68,0.38,Artifact,Weak,,
9,8.51,0.2,5.16,11.23,Compound,None,,,35,4.34,0,0.88,0.16,Compound,None,,,61,3.22,0,1.2,0.19,Artifact,Weak,,,87,2.47,0,1.59,0.51,Artifact,Weak,,,113,1.07,0,0.71,0.19,Impurity,None,,
10,8.09,0,0.79,0.06,Artifact,Weak,,,36,4.33,0,1.8,1.18,Compound,None,,,62,3.21,0,1.06,0.29,Artifact,Weak,,,88,2.47,0,1.72,0.36,Artifact,Weak,,,114,1.05,0,0.86,0.35,Impurity,None,,
