,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.44,0,0.36,0.03,Artifact,Weak,,,28,4.67,0,1.5,0.14,Artifact,Weak,,,55,3.57,0.1,2.68,1.57,Compound,None,,,82,3.11,0.1,3.43,3.88,Artifact,Weak,,,109,2.5,55.4,1.32,900.12,Solvent,None,,,136,1.26,0,1.97,0.25,Compound,None,,
2,10.2,0,4.13,1.9,Compound,None,,,29,4.59,0.2,5.63,12.58,Compound,None,,,56,3.55,0.1,13.56,23.28,Compound,None,,,83,3.1,0.1,3.5,2.47,Artifact,Weak,,,110,2.49,21.7,1.29,308.49,Solvent,None,,,137,1.24,0.5,4.02,26.4,Compound,None,,
3,8.42,0.1,22.59,39.58,Compound,None,,,30,4.58,0.1,4.03,7.13,Compound,None,,,57,3.55,0.2,8,17.83,Artifact,Weak,,,84,3.08,0,3.78,0.88,Compound,None,,,111,2.35,0,5.28,1,Compound,None,,,138,1.22,0,0.44,0.05,Impurity,Weak,,
4,7.94,0,0.47,0.04,Artifact,Weak,,,31,4.48,0,1.83,0.34,Compound,None,,,58,3.53,0.1,4.6,7.12,Artifact,Weak,,,85,3.06,0,2.21,0.6,Compound,None,,,112,2.34,0.1,1.5,2.82,Solvent,Weak + C13_Sat,,,139,1.15,0.2,3.28,6.63,Compound,None,,
5,7.69,0,2,0.16,Artifact,Weak,,,32,4.47,0,4.48,2.2,Compound,None,,,59,3.53,0.1,3.41,3.16,Artifact,Weak,,,86,3.05,0,1.15,0.34,Compound,None,,,113,2.33,0.3,1.48,6.34,Solvent,Weak + C13_Sat,,,140,1.11,0,3.76,1.67,Compound,None,,
6,7.43,0,56.43,7.1,Compound,None,,,33,4.45,0,5.99,1.71,Compound,None,,,60,3.51,0.1,2.17,3.03,Artifact,Weak,,,87,3.04,0.1,7.33,6.67,Compound,None,,,114,2.33,0.5,1.58,9.35,Solvent,Weak + C13_Sat,,,141,1.1,0,3.44,1.55,Compound,None,,
7,7.38,0,1.25,0.11,Artifact,Weak,,,34,4.43,0,2.39,0.19,Artifact,Weak,,,61,3.49,0.1,4.26,4.16,Artifact,Weak,,,88,2.96,0,2.92,0.23,Artifact,Weak,,,115,2.32,0.3,1.32,4.99,Solvent,Weak + C13_Sat,,,142,1.07,0,0.96,0.2,Compound,None,,
8,7.26,0,6.85,1.48,Compound,None,,,35,4.35,0.1,7.21,11.75,Compound,None,,,62,3.48,0.1,5.34,10.61,Artifact,Weak,,,89,2.9,0,4.36,0.8,Compound,None,,,116,2.32,0.1,1.31,1.81,Solvent,Weak + C13_Sat,,,143,1.06,0.1,4.77,4.64,Compound,None,,
9,6.57,0,5.12,2.2,Compound,None,,,36,4.34,0.2,4.36,9.57,Compound,None,,,63,3.47,0.1,3.11,3.72,Artifact,Weak,,,90,2.88,0,5.08,1.33,Compound,None,,,117,2.3,0.1,1.81,2.64,Compound,None,,,144,1.05,0.1,1.35,1.01,Compound,None,,
10,6.56,0,4.16,1.64,Compound,None,,,37,4.32,0.1,4.38,4.52,Compound,None,,,64,3.45,0.1,3.29,2.6,Artifact,Weak,,,91,2.88,0,1.12,0.11,Artifact,Weak,,,118,2.23,0,4.31,0.64,Impurity,None,,,145,1.05,0.1,3.02,2.39,Compound,None,,
