,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.84,0,0.59,0.04,Artifact,Weak,,,28,4.75,0.1,7.32,5.99,Compound,None,,,55,3.68,0,1.13,0.17,Impurity,None,,,82,3.25,0.1,26.63,42.02,Artifact,Weak,,,109,2.67,0.3,1.5,6.25,Solvent,Weak + C13_Sat,,,136,1.86,0.2,7.02,14.06,Compound,None,,
2,13.55,0,0.63,0.04,Artifact,Weak,,,29,4.62,0,3.35,1.75,Compound,None,,,56,3.67,0,1.54,0.38,Compound,None,,,83,3.23,0,1.67,0.76,Artifact,Weak,,,110,2.67,0.5,1.51,9.61,Solvent,Weak + C13_Sat,,,137,1.82,0,1.31,0.19,Impurity,None,,
3,10.93,0,0.47,0.04,Artifact,Weak,,,30,4.61,0,4.16,1.47,Compound,None,,,57,3.66,0,1.51,0.47,Compound,None,,,84,3.22,0,1.3,0.31,Artifact,Weak,,,111,2.66,0.3,1.37,5.38,Solvent,Weak + C13_Sat,,,138,1.77,0,2.21,0.61,Compound,None,,
4,10.2,0,2.12,1.37,Compound,None,,,31,4.59,0.1,2.79,2.89,Compound,None,,,58,3.65,0,2.95,0.88,Compound,None,,,85,3.22,0,3.09,1.12,Artifact,Weak,,,112,2.66,0.1,1.26,1.96,Solvent,Weak + C13_Sat,,,139,1.47,0,8.27,1.5,Compound,None,,
5,8.43,0.1,19.06,20.98,Compound,None,,,32,4.57,0.1,2.78,2.75,Compound,None,,,59,3.64,0,4.24,1.32,Compound,None,,,86,3.21,0,2.03,0.48,Artifact,Weak,,,113,2.56,0,1.12,0.27,Artifact,Weak,,,140,1.41,0,0.34,0.02,Artifact,Weak,,
6,8.19,0,0.5,0.03,Artifact,Weak,,,33,4.48,0,2.22,0.77,Compound,None,,,60,3.63,0,4.01,1.98,Compound,None,,,87,3.16,0,2.06,0.32,Compound,None,,,114,2.54,0.1,27.76,36.38,Artifact,Weak,,,141,1.3,0,1.64,0.23,Compound,None,,
7,7.38,0,1.86,0.2,Artifact,Weak,,,34,4.47,0.1,3.13,2.38,Compound,None,,,61,3.61,0,1.35,0.13,Artifact,Weak,,,88,3.15,0,0.92,0.12,Compound,None,,,115,2.52,0.2,1.03,2.92,Solvent,Weak,,,142,1.26,0,2.09,0.33,Compound,None,,
8,7.26,0,4.61,0.58,Compound,None,,,35,4.45,0.1,3.44,2.41,Compound,None,,,62,3.58,0,2.19,0.6,Compound,None,,,89,3.13,0.1,3.28,4.83,Compound,None,,,116,2.51,24.6,1.35,409.98,Solvent,None,,,143,1.23,0.3,4.23,20.74,Compound,None,,
9,6.57,0.1,2.42,1.93,Compound,None,,,36,4.44,0,3.22,1.36,Compound,None,,,63,3.57,0,2.99,2.05,Compound,None,,,90,3.11,0.1,2,1.72,Compound,None,,,117,2.5,59.7,1.51,1194.75,Solvent,None,,,144,1.15,0.1,2.3,2.2,Compound,None,,
10,6.55,0.1,2.49,2.22,Compound,None,,,37,4.42,0,2.36,0.76,Compound,None,,,64,3.56,0,1.98,1.01,Compound,None,,,91,3.08,0,1.37,0.19,Compound,None,,,118,2.5,84.7,1.49,1566.18,Solvent,None,,,145,1.15,0.2,2.9,4.95,Compound,None,,
11,6.2,0.1,2.37,1.38,Compound,None,,,38,4.41,0,2.82,0.81,Compound,None,,,65,3.55,0.1,4.15,3.62,Compound,None,,,92,3.08,0,2.07,0.47,Compound,None,,,119,2.5,55,1.4,887.28,Solvent,None,,,146,1.11,0,3.78,0.67,Compound,None,,
12,6.19,0.1,2.67,1.61,Compound,None,,,39,4.4,0,3.36,1.75,Compound,None,,,66,3.54,0,3.75,2.07,Compound,None,,,93,3.06,0,1.85,0.63,Compound,None,,,120,2.49,23.3,1.37,328.08,Solvent,None,,,147,1.1,0,13.7,3.63,Compound,None,,
13,6.01,0,1.03,0.09,Artifact,Weak,,,40,4.38,0,2.65,1.06,Compound,None,,,67,3.53,0.1,4.32,3.63,Compound,None,,,94,3.05,0,1.42,0.38,Compound,None,,,121,2.46,0,0.8,0.11,Artifact,Weak,,,148,1.07,0,1.15,0.21,Compound,None,,
14,5.78,0,4.46,0.68,Compound,None,,,41,4.36,0,3.62,1.09,Compound,None,,,68,3.52,0,3.43,0.96,Compound,None,,,95,3.05,0,2.31,0.68,Compound,None,,,122,2.34,0.1,1.3,2.13,Solvent,Weak + C13_Sat,,,149,1.05,0.1,4.51,4.26,Compound,None,,
15,5.7,0,0.83,0.07,Artifact,Weak,,,42,4.35,0,1.56,0.45,Compound,None,,,69,3.51,0,1.27,0.37,Compound,None,,,96,3.04,0.1,2.46,1.64,Compound,None,,,123,2.33,0.3,1.51,6.85,Solvent,Weak + C13_Sat,,,150,1.04,0,4.01,1.85,Compound,None,,
16,5.43,0,2.96,0.31,Artifact,Weak,,,43,4.35,0.1,4.45,2.89,Compound,None,,,70,3.5,0,2.48,0.51,Compound,None,,,97,3.03,0,2.98,0.72,Compound,None,,,124,2.33,0.5,1.46,9.03,Solvent,Weak + C13_Sat,,,151,1.04,0,1.56,0.63,Compound,None,,
17,5.39,0,0.65,0.05,Artifact,Weak,,,44,4.34,0.1,3.18,3.62,Compound,None,,,71,3.48,0,2.94,1.42,Compound,None,,,98,3.02,0,0.47,0.03,Artifact,Weak,,,125,2.32,0.3,1.47,5.63,Solvent,Weak + C13_Sat,,,152,1.02,0,2.16,0.19,Artifact,Weak,,
18,5.1,0,15.26,2.59,Compound,None,,,45,4.32,0,2.19,0.91,Compound,None,,,72,3.47,0.1,2.32,1.44,Compound,None,,,99,3.01,0,3.5,0.44,Compound,None,,,126,2.32,0.1,1.25,1.8,Solvent,Weak + C13_Sat,,,153,1.01,0,0.75,0.06,Artifact,Weak,,
19,4.91,0,2.23,1.03,Compound,None,,,46,4.28,0,1.83,0.77,Compound,None,,,73,3.45,0,2.67,1.14,Compound,None,,,100,2.91,0,1.31,0.31,Compound,None,,,127,2.29,0.2,1.48,2.79,Compound,None,,,154,1,0,1.51,0.22,Compound,None,,
20,4.9,0.1,2.8,2.05,Compound,None,,,47,4.26,0,1.98,0.88,Compound,None,,,74,3.44,0.1,1.44,1.7,Artifact,Weak,,,101,2.9,0,2.37,0.48,Compound,None,,,128,2.22,0,6.49,0.77,Compound,None,,,155,0.98,0,1.37,0.28,Compound,None,,
21,4.89,0,1.76,0.71,Compound,None,,,48,4.26,0,1.93,0.85,Compound,None,,,75,3.44,0,2.16,0.88,Artifact,Weak,,,102,2.89,0,3.01,0.75,Compound,None,,,129,2.12,0,16.9,9.22,Compound,None,,,156,0.91,0,1.22,0.11,Artifact,Weak,,
22,4.88,0.1,1.92,2.75,Compound,None,,,49,4.25,0,1.96,0.88,Compound,None,,,76,3.42,0,2.91,1.81,Artifact,Weak,,,103,2.88,0,2.64,0.79,Compound,None,,,130,2.09,0,2.27,1,Compound,None,,,157,0.85,0,1.8,0.97,Compound,None,,
23,4.87,0.1,2.15,3.19,Compound,None,,,50,4.14,0,3.94,1.56,Compound,None,,,77,3.4,0,2.55,0.89,Artifact,Weak,,,104,2.87,0,1.08,0.12,Compound,None,,,131,2.08,0,1.22,0.26,Compound,None,,,158,0.84,0,3.3,0.81,Compound,None,,
24,4.83,0.1,3.64,6.05,Compound,None,,,51,4.12,0,4.45,1.5,Compound,None,,,78,3.39,0.1,2.77,1.98,Artifact,Weak,,,105,2.85,0,1.41,0.24,Compound,None,,,132,2.07,0,2.62,0.34,Compound,None,,,159,0.31,0,0.58,0.05,Artifact,Weak,,
25,4.82,0.1,3.3,4.4,Compound,None,,,52,3.82,0,1.43,0.12,Artifact,Weak,,,79,3.37,0,2.08,0.95,Artifact,Weak,,,106,2.8,0,12.78,1.1,Compound,None,,,133,2.06,0,4.51,1.69,Compound,None,,,160,0.07,0,1.98,0.83,CS Reference,None,,
26,4.76,0.1,2.97,3,Compound,None,,,53,3.78,0,2.85,0.31,Compound,None,,,80,3.36,0,5.79,3.67,Artifact,Weak,,,107,2.77,0,0.68,0.04,Artifact,Weak,,,134,2.05,0,1.38,0.14,Artifact,Weak,,,161,-1.1,0,0.69,0.05,Artifact,Weak,,
27,4.75,0.1,7.16,6.68,Compound,None,,,54,3.74,0,2.69,0.27,Artifact,Weak,,,81,3.26,0.1,13.35,13.9,Artifact,Weak,,,108,2.68,0.1,1.26,2.08,Solvent,Weak + C13_Sat,,,135,1.96,0,1.41,0.15,Impurity,Weak,,,,,,,,,,,
