,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.82,0,0.5,0.04,Artifact,Weak,,,30,4.74,0.1,2.61,1.63,Compound,None,,,59,3.57,0.1,2.45,1.95,Compound,None,,,88,2.89,0,0.83,0.11,Impurity,Weak,,,117,1.77,0,2.8,0.41,Impurity,None,,
2,11.3,0,0.56,0.05,Artifact,Weak,,,31,4.62,0,4.78,1.5,Compound,None,,,60,3.56,0,2.24,1.41,Compound,None,,,89,2.68,0.1,1.14,1.87,Solvent,Weak + C13_Sat,,,118,1.75,0,1.14,0.21,Impurity,None,,
3,10.2,0,2.04,0.29,Impurity,None,,,32,4.61,0,2.27,0.51,Compound,None,,,61,3.54,0.1,4.99,5.61,Compound,None,,,90,2.67,0.4,1.4,6.59,Solvent,Weak + C13_Sat,,,119,1.36,0,1.08,0.15,Impurity,Weak,,
4,9.41,0,1.48,0.15,Artifact,Weak,,,33,4.59,0.1,2.95,3.35,Compound,None,,,62,3.54,0.1,178.59,158.85,Compound,None,,,91,2.67,0.5,1.16,7.56,Solvent,Weak + C13_Sat,,,120,1.33,0,1.02,0.13,Impurity,Weak,,
5,9.03,0,0.58,0.06,Impurity,Weak,,,34,4.57,0.1,2.09,1.8,Compound,None,,,63,3.53,0.1,2.62,2.01,Compound,None,,,92,2.66,0.4,1.25,6.08,Solvent,Weak + C13_Sat,,,121,1.3,0,1.65,0.41,Impurity,None,,
6,8.74,0,0.85,0.07,Artifact,Weak,,,35,4.48,0,1.88,0.5,Compound,None,,,64,3.5,0,2.3,0.54,Compound,None,,,93,2.66,0.1,1.15,2,Solvent,Weak + C13_Sat,,,122,1.28,0,0.73,0.24,Compound,None,,
7,8.48,0.1,4.19,8.39,Compound,None,,,36,4.47,0,3.71,1.7,Compound,None,,,65,3.48,0,2.87,1.42,Compound,Weak + C13_Sat,,,94,2.52,0.3,1.06,4.5,Solvent,Weak,,,123,1.26,0,1.16,0.57,Compound,None,,
8,8.05,0,3.24,0.27,Artifact,Weak,,,37,4.45,0,2.62,0.95,Compound,None,,,66,3.47,0.1,2.52,1.71,Compound,None,,,95,2.52,0.2,0.72,1.81,Solvent,Weak,,,124,1.23,0.4,3.22,16.55,Compound,None,,
9,7.72,0,0.35,0.03,Artifact,Weak,,,38,4.44,0,1.65,0.39,Compound,None,,,67,3.45,0,1.93,0.98,Compound,None,,,96,2.51,27.1,1.32,445.23,Solvent,None,,,125,1.18,0,0.79,0.09,Impurity,Weak,,
10,7.69,0,0.91,0.09,Artifact,Weak,,,39,4.42,0,2.28,0.48,Impurity,None,,,68,3.44,0,2.59,0.95,Compound,None,,,97,2.5,60.4,1.16,896.04,Solvent,None,,,126,1.15,0,3.31,1.75,Compound,None,,
11,7.66,0,0.67,0.04,Artifact,Weak,,,40,4.38,0,1.99,0.19,Impurity,Weak,,,69,3.42,0,3.67,1.37,Compound,None,,,98,2.5,87.1,1.27,1444.22,Solvent,None,,,127,1.13,0,0.72,0.1,Impurity,Weak,,
12,7.62,0,0.52,0.04,Artifact,Weak,,,41,4.35,0,1.62,0.41,Compound,None,,,70,3.4,0,1.89,0.4,Artifact,Weak,,,99,2.5,60.2,1.29,1016.86,Solvent,None,,,128,1.07,0,0.83,0.38,Compound,None,,
13,6.57,0,1.67,0.77,Compound,None,,,42,4.35,0.1,13.82,9.83,Compound,None,,,71,3.26,0,0.95,0.25,Artifact,Weak,,,100,2.49,22.5,1.1,271.2,Solvent,None,,,129,1.05,0.1,0.81,0.67,Compound,None,,
14,6.55,0,2.08,1.04,Compound,None,,,43,4.34,0.1,2.71,2.37,Compound,None,,,72,3.25,0,1.16,0.25,Artifact,Weak,,,101,2.38,0,1,0.08,Artifact,Weak,,,130,1.04,0,4.94,1.48,Compound,None,,
15,6.28,0,1.5,0.88,Compound,None,,,44,4.32,0,1.94,0.64,Compound,None,,,73,3.24,0,1.9,0.64,Artifact,Weak,,,102,2.34,0.1,1.18,2.1,Solvent,Weak + C13_Sat,,,131,1.04,0,0.8,0.36,Compound,None,,
16,6.2,0,2.49,1.17,Compound,None,,,45,4.32,0,1.18,0.23,Compound,None,,,74,3.23,0,1.27,0.69,Artifact,Weak,,,103,2.33,0.4,1.24,5.8,Solvent,Weak + C13_Sat,,,132,1.02,0,7.96,2.52,Compound,None,,
17,6.19,0,1.92,0.72,Compound,None,,,46,4.28,0,1.66,0.43,Compound,None,,,75,3.22,0,0.65,0.08,Artifact,Weak,,,104,2.33,0.5,1.36,8.7,Solvent,Weak + C13_Sat,,,133,1,0,2.34,0.69,Compound,None,,
18,5.62,0,0.69,0.05,Artifact,Weak,,,47,4.26,0,3.9,1.37,Compound,None,,,76,3.16,0,1.71,0.46,Artifact,Weak,,,105,2.32,0.3,1.2,5.03,Solvent,Weak + C13_Sat,,,134,0.98,0,1.71,0.13,Artifact,Weak,,
19,5.23,0,1.26,0.14,Artifact,Weak,,,48,4.25,0,1.78,0.5,Compound,None,,,77,3.15,0,1.73,0.29,Artifact,Weak,,,106,2.32,0.1,1.24,2.15,Solvent,Weak + C13_Sat,,,135,0.9,0,2.19,0.28,Artifact,Weak,,
20,4.91,0,3.62,1.53,Compound,None,,,49,3.83,0,0.46,0.04,Artifact,Weak,,,78,3.14,0,2.46,0.66,Compound,None,,,107,2.3,0,0.84,0.07,Artifact,Weak,,,136,0.85,0.1,2.34,2.08,Compound,None,,
21,4.9,0,2.85,1.61,Compound,None,,,50,3.82,0,2.5,0.24,Artifact,Weak,,,79,3.13,0.1,3.27,3.7,Compound,None,,,108,2.29,0,1.27,0.48,Impurity,None,,,137,0.84,0,4.64,2.61,Compound,None,,
22,4.89,0,2.38,1.02,Compound,None,,,51,3.78,0,9.7,0.72,Artifact,Weak,,,80,3.12,0,1.52,0.37,Compound,None,,,109,2.25,0,0.9,0.06,Artifact,Weak,,,138,0.55,0,0.63,0.06,Artifact,Weak,,
23,4.88,0.1,1.99,3.44,Compound,None,,,52,3.74,0,1.3,0.24,Impurity,None,,,81,3.11,0,1.16,0.36,Compound,None,,,110,2.23,0,1.01,0.13,Compound,None,,,139,0.16,0,0.67,0.06,Artifact,Weak,,
24,4.87,0.1,1.91,3.43,Compound,None,,,53,3.66,0,6.67,2.76,Compound,None,,,82,3.1,0,3.5,2.02,Compound,Weak + C13_Sat,,,111,2.21,0,4.08,0.59,Compound,None,,,140,0.07,0,1.96,0.54,CS Reference,None,,
25,4.83,0.1,2.65,2.36,Compound,None,,,54,3.65,0.1,16.72,12.71,Compound,None,,,83,3.08,0,1.46,0.23,Compound,None,,,112,2.13,0,0.83,0.08,Artifact,Weak,,,141,-0.89,0,0.76,0.07,Artifact,Weak,,
26,4.82,0.1,2.18,1.61,Compound,None,,,55,3.64,0,1.18,0.34,Compound,None,,,84,3.06,0,2.62,0.77,Compound,None,,,113,2.09,0,2.27,0.81,Compound,None,,,142,-2.95,0,0.6,0.06,Artifact,Weak,,
27,4.76,0.1,5.38,8.98,Compound,None,,,56,3.63,0,2.54,1.14,Compound,None,,,85,3.04,0,3.24,1.53,Compound,None,,,114,2.06,0,2.74,0.29,Impurity,Weak,,,143,-3.28,0,0.81,0.08,Artifact,Weak,,
28,4.75,0.1,2.27,1.41,Compound,None,,,57,3.59,0,0.66,0.07,Artifact,Weak,,,86,3.03,0,2.14,0.25,Compound,None,,,115,1.96,0,1.5,0.23,Impurity,None,,,,,,,,,,,
29,4.75,0.1,2.29,2.22,Compound,None,,,58,3.58,0,2.3,0.67,Compound,None,,,87,2.91,0,1.22,0.13,Impurity,Weak,,,116,1.85,0.2,7.1,19.02,Compound,None,,,,,,,,,,,
