,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.86,0,0.75,0.05,Artifact,Weak,,,29,4.33,0,2.02,0.73,Compound,None,,,57,2.5,60,1.53,1218.51,Solvent,None,,
2,13.96,0,0.85,0.06,Artifact,Weak,,,30,4.32,0,1.71,0.36,Compound,None,,,58,2.5,82.3,1.35,1466.87,Solvent,None,,
3,13.46,0,0.47,0.03,Artifact,Weak,,,31,3.92,0,0.48,0.05,Impurity,Weak,,,59,2.5,58,1.47,1088.63,Solvent,None,,
4,10.22,0,0.61,0.04,Artifact,Weak,,,32,3.85,0,0.42,0.04,Artifact,Weak,,,60,2.49,21.5,1.23,285.56,Solvent,None,,
5,9.31,0,0.79,0.04,Artifact,Weak,,,33,3.66,0,6.18,0.48,Compound,None,,,61,2.47,0,0.3,0.08,Artifact,Weak,,
6,8.97,0,0.54,0.04,Artifact,Weak,,,34,3.64,0,6.17,0.9,Compound,None,,,62,2.34,0.1,1.34,2.23,Solvent,Weak + C13_Sat,,
7,8.59,0,0.63,0.06,Artifact,Weak,,,35,3.58,0,1.75,0.29,Compound,None,,,63,2.33,0.3,1.38,5.81,Solvent,Weak + C13_Sat,,
8,8.53,0.1,2.96,2.4,Compound,None,,,36,3.57,0,0.57,0.04,Artifact,Weak,,,64,2.33,0.5,1.38,8.61,Solvent,Weak + C13_Sat,,
9,7.94,0,0.56,0.03,Artifact,Weak,,,37,3.56,0,2.88,0.59,Compound,None,,,65,2.32,0.3,1.51,6.14,Solvent,Weak + C13_Sat,,
10,7.39,0,0.58,0.04,Artifact,Weak,,,38,3.54,0,3.51,0.87,Compound,None,,,66,2.32,0.1,1.24,1.8,Solvent,Weak + C13_Sat,,
11,7.03,0,14,2.36,Compound,None,,,39,3.53,0,2.06,0.34,Compound,None,,,67,2.29,0,0.84,0.07,Artifact,Weak,,
12,6.39,0,0.99,0.07,Artifact,Weak,,,40,3.48,0,2.01,0.29,Compound,None,,,68,2.21,0,3.69,0.37,Compound,None,,
13,6.28,0,1.38,0.8,Compound,None,,,41,3.47,0,1.25,0.2,Compound,None,,,69,2.08,0,0.38,0.03,Artifact,Weak,,
14,5.4,0,1.51,0.2,Compound,None,,,42,3.47,0,0.67,0.06,Compound,None,,,70,1.36,0,1.26,0.12,Compound,None,,
15,5.25,0,0.75,0.05,Artifact,Weak,,,43,3.45,0,1.39,0.19,Compound,None,,,71,1.3,0,1.33,0.34,Compound,None,,
16,5.21,0,0.68,0.05,Artifact,Weak,,,44,3.25,0,2.07,0.58,Compound,None,,,72,1.28,0,0.95,0.16,Compound,None,,
17,4.88,0,2.12,0.83,Compound,None,,,45,3.23,0,0.96,0.11,Compound,None,,,73,1.26,0,1.24,0.44,Compound,None,,
18,4.87,0,1.68,0.65,Compound,None,,,46,3.16,0,1.62,0.13,Artifact,Weak,,,74,1.23,0.2,3.17,7.89,Compound,None,,
19,4.82,0,1.38,0.15,Compound,None,,,47,3.14,0,2.36,0.26,Compound,None,,,75,1.15,0.1,2.29,2.75,Compound,None,,
20,4.81,0,1.68,0.15,Artifact,Weak,,,48,3.13,0,2.07,0.37,Compound,None,,,76,1.15,0.1,1.93,3.37,Compound,None,,
21,4.76,0,2.28,0.94,Compound,None,,,49,2.68,0.1,1.25,2.02,Solvent,Weak + C13_Sat,,,77,1.05,0,0.8,0.07,Compound,None,,
22,4.75,0,2.58,1.16,Compound,None,,,50,2.67,0.3,1.42,6.3,Solvent,Weak + C13_Sat,,,78,0.85,0,1.92,0.59,Compound,None,,
23,4.74,0,1.81,0.54,Compound,None,,,51,2.67,0.5,1.46,9.3,Solvent,Weak + C13_Sat,,,79,0.84,0,2.92,0.65,Compound,None,,
24,4.72,0,0.58,0.05,Artifact,Weak,,,52,2.66,0.3,1.39,5.88,Solvent,Weak + C13_Sat,,,80,0.07,0,1.87,0.72,CS Reference,None,,
25,4.58,0,1.93,0.78,Compound,None,,,53,2.66,0.1,1.27,1.99,Solvent,Weak + C13_Sat,,,81,-0.42,0,0.68,0.05,Artifact,Weak,,
26,4.57,0,1.97,0.75,Compound,None,,,54,2.52,0.4,1.57,9.28,Solvent,Weak,,,82,-0.55,0,0.61,0.04,Artifact,Weak,,
27,4.46,0,2.16,0.17,Artifact,Weak,,,55,2.52,0.3,1.11,4.3,Solvent,Weak,,,83,-0.72,0,0.62,0.05,Artifact,Weak,,
28,4.35,0,3.53,0.51,Compound,None,,,56,2.51,23,1.26,332.55,Solvent,None,,,84,-1.71,0,0.59,0.04,Artifact,Weak,,
