,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.42,0,0.55,0.05,Artifact,Weak,,,30,2.33,0.5,1.58,9.77,Solvent,Weak + C13_Sat,,
2,12.92,0,0.55,0.05,Artifact,Weak,,,31,2.32,0.3,1.6,6.25,Solvent,Weak + C13_Sat,,
3,10.4,0,0.67,0.08,Artifact,Weak,,,32,2.32,0.1,1.31,1.76,Solvent,Weak + C13_Sat,,
4,10.2,0,0.78,0.09,Artifact,Weak,,,33,2.29,0,9.06,1.47,Compound,None,,
5,9.78,0,0.49,0.04,Artifact,Weak,,,34,2.24,0,14.8,2.59,Compound,None,,
6,8.44,0.1,3.83,3.07,Compound,None,,,35,2.21,0,1.2,0.11,Impurity,Weak,,
7,7.97,0,0.61,0.07,Artifact,Weak,,,36,2.12,0,0.57,0.06,Artifact,Weak,,
8,6.52,0.2,1.39,2.9,Compound,None,,,37,1.78,0.1,11.67,12.75,Compound,None,,
9,6.29,0,1.28,0.69,Compound,None,,,38,1.64,0,0.55,0.07,Impurity,Weak,,
10,5.49,0,1.25,0.14,Artifact,Weak,,,39,1.62,0,1.34,0.14,Artifact,Weak,,
11,4.85,0,0.63,0.06,Artifact,Weak,,,40,1.36,0,2.6,0.42,Compound,None,,
12,4.44,0,0.47,0.05,Impurity,Weak,,,41,1.3,0,2.54,0.45,Compound,None,,
13,3.51,0.3,2.06,7.43,Compound,None,,,42,1.28,0,1.15,0.33,Compound,None,,
14,3.3,1.6,1.84,35.38,Artifact,Weak,,,43,1.26,0,2.35,1.23,Compound,None,,
15,2.68,0.1,1.68,3.09,Solvent,Weak + C13_Sat,,,44,1.24,0.3,3.87,15.63,Compound,None,,
16,2.67,0.3,1.61,6.86,Solvent,Weak + C13_Sat,,,45,1.18,0,1.08,0.09,Artifact,Weak,,
17,2.67,0.5,1.6,10.57,Solvent,Weak + C13_Sat,,,46,1.15,0.2,3.33,6.95,Compound,None,,
18,2.66,0.3,1.51,5.74,Solvent,Weak + C13_Sat,,,47,1.05,0,4.41,0.53,Compound,None,,
19,2.66,0.1,1.35,1.8,Solvent,Weak + C13_Sat,,,48,1.03,0,4.14,1.19,Compound,None,,
20,2.6,0,11.68,3.78,Artifact,Weak,,,49,1.01,0,1.03,0.11,Artifact,Weak,,
21,2.52,1.7,16.14,393.61,Solvent,None,,,50,0.98,0,1.2,0.18,Compound,None,,
22,2.52,0.5,2.06,13.27,Solvent,Weak,,,51,0.97,0,2.35,0.29,Compound,None,,
23,2.51,25,1.62,487.97,Solvent,None,,,52,0.85,0,1.76,0.86,Compound,None,,
24,2.5,53.9,1.51,1002.61,Solvent,None,,,53,0.84,0,1.6,0.37,Compound,None,,
25,2.5,85.8,1.69,1885.8,Solvent,None,,,54,0.07,0,1.72,0.96,CS Reference,None,,
26,2.5,50.8,1.46,900.08,Solvent,None,,,55,-0.75,0,0.64,0.07,Artifact,Weak,,
27,2.49,21,1.4,342.73,Solvent,None,,,56,-1.2,0,0.8,0.08,Artifact,Weak,,
28,2.34,0.2,1.71,3.32,Solvent,Weak + C13_Sat,,,57,-2.2,0,0.82,0.08,Artifact,Weak,,
29,2.33,0.3,1.47,5.98,Solvent,Weak + C13_Sat,,,,,,,,,,,
