,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.41,0,0.74,0.06,Artifact,Weak,,,28,2.49,12.3,1.54,177.79,Compound,None,,
2,10.69,0,0.45,0.04,Artifact,Weak,,,29,2.34,0.1,1.69,1.44,Solvent,Weak + C13_Sat,,
3,6.52,0,2.89,0.6,Impurity,Weak,,,30,2.33,0.2,2.06,5.84,Solvent,Weak + C13_Sat,,
4,5.87,0,0.72,0.07,Artifact,Weak,,,31,2.33,0.4,2.19,10.56,Solvent,Weak + C13_Sat,,
5,5.63,0,0.51,0.05,Artifact,Weak,,,32,2.32,0.4,2.13,9.81,Solvent,Weak + C13_Sat,,
6,5.6,0,0.74,0.06,Artifact,Weak,,,33,2.32,0.2,2.17,6.27,Solvent,Weak + C13_Sat,,
7,3.84,0.1,39.86,66.17,Compound,None,,,34,2.31,0.1,1.34,0.75,Compound,Weak + C13_Sat,,
8,3.62,0.1,197.93,211.6,Compound,None,,,35,1.36,0,2.64,0.36,Impurity,Weak,,
9,3.4,1,50.44,740.35,Compound,None,,,36,1.29,0,2.69,0.46,Impurity,Weak,,
10,3.36,3,12.92,482.6,Compound,None,,,37,1.28,0,0.78,0.18,Impurity,Weak,,
11,3.18,0,2.16,0.26,Artifact,Weak,,,38,1.27,0,1.44,0.53,Impurity,Weak,,
12,3.1,0,1.91,0.28,Artifact,Weak,,,39,1.26,0,1.05,0.2,Impurity,Weak,,
13,3.01,0,35.89,23.32,Compound,None,,,40,1.25,0,2,0.68,Impurity,Weak,,
14,2.68,0.1,2.32,2.03,Solvent,Weak + C13_Sat,,,41,1.23,0.1,5.46,8.14,Impurity,None,,
15,2.67,0.2,2.24,6.44,Solvent,Weak + C13_Sat,,,42,1.14,0,3.72,0.92,Impurity,Weak,,
16,2.67,0.4,2.34,11.41,Solvent,Weak + C13_Sat,,,43,1.11,0,0.5,0.03,Artifact,Weak,,
17,2.67,0.4,2.13,9.7,Solvent,Weak + C13_Sat,,,44,1.09,0,5.63,1.09,Impurity,Weak,,
18,2.66,0.2,2.23,5.98,Solvent,Weak + C13_Sat,,,45,1.05,0,3.48,1.23,Impurity,Weak,,
19,2.66,0.1,1.26,0.77,Compound,Weak + C13_Sat,,,46,1.02,0,0.8,0.09,Impurity,Weak,,
20,2.6,0.1,159.78,299.83,Artifact,Weak,,,47,1.02,0,4.31,2.07,Impurity,Weak,,
21,2.52,4.9,11.17,635.12,Compound,None,,,48,0.97,0,4.03,0.37,Impurity,Weak,,
22,2.52,1,2.71,30.13,Solvent,Weak,,,49,0.85,0,5.7,2.64,Impurity,Weak,,
23,2.51,13.9,1.88,374.71,Solvent,None,,,50,0.83,0,8.05,3.52,Impurity,Weak,,
24,2.5,39.9,2.12,985.33,Solvent,None,,,51,0.81,0,11.13,4.79,Impurity,Weak,,
25,2.5,69.6,2.06,1752.31,Solvent,None,,,52,-0.06,0,0.58,0.05,CS Reference,Weak,,
26,2.5,68.4,2.04,1672.93,Solvent,None,,,53,-2.78,0,0.57,0.05,Artifact,Weak,,
27,2.49,40,1.91,885.31,Solvent,None,,,,,,,,,,,
