,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.51,0,0.71,0.09,Artifact,Weak,,,28,4.6,0,2.51,1.42,Compound,None,,,55,3.54,0.1,7.46,14.23,Compound,None,,,82,2.9,0,2.29,0.75,Compound,None,,,109,2.1,0,1.27,0.24,Impurity,Weak,,
2,10.2,0,2.07,0.58,Impurity,None,,,29,4.58,0.1,2.53,3.25,Compound,None,,,56,3.53,0,1.63,0.42,Compound,Weak,,,83,2.89,0,3.42,1.12,Compound,None,,,110,2.06,0,1.61,0.22,Artifact,Weak,,
3,8.15,0,3.59,0.47,Artifact,Weak,,,30,4.57,0.1,2.48,2.82,Compound,None,,,57,3.52,0,3.65,2.12,Compound,None,,,84,2.87,0,5.6,2.39,Compound,None,,,111,2.03,0,31.19,9.84,Compound,None,,
4,7.18,0,0.44,0.06,Artifact,Weak,,,31,4.48,0,2.68,0.98,Compound,None,,,58,3.51,0.1,1.54,1.55,Compound,None,,,85,2.87,0,0.95,0.1,Artifact,Weak,,,112,1.91,0.1,1.43,1.37,Compound,None,,
5,7.09,0,8.62,1.25,Artifact,Weak,,,32,4.46,0.1,2.37,1.52,Compound,None,,,59,3.48,0,2.12,0.55,Impurity,Weak,,,86,2.85,0,2.69,0.36,Artifact,Weak,,,113,1.84,0,36.5,18.53,Compound,None,,
6,7.07,0,2.11,0.36,Artifact,Weak,,,33,4.45,0,4.58,1.57,Compound,None,,,60,3.47,0.1,2.72,2.01,Artifact,Weak,,,87,2.68,0.1,2.23,4.2,Solvent,Weak + C13_Sat,,,114,1.77,0,2.53,0.38,Artifact,Weak,,
7,6.83,0,14.85,1.81,Artifact,Weak,,,34,4.44,0,1.88,1,Compound,None,,,61,3.45,0,2.12,1.1,Artifact,Weak,,,88,2.67,0.3,1.96,7.58,Solvent,Weak + C13_Sat,,,115,1.55,0,4.56,0.76,Impurity,Weak,,
8,6.57,0.1,2.39,2.65,Compound,None,,,35,4.42,0,2.52,1.4,Compound,None,,,62,3.44,0,1.93,0.8,Artifact,Weak,,,89,2.67,0.4,1.88,10.3,Solvent,Weak + C13_Sat,,,116,1.48,0,20.87,5.41,Compound,None,,
9,6.55,0.1,2.24,2.15,Compound,None,,,36,4.4,0.1,2.98,2.74,Compound,None,,,63,3.42,0,3.39,1.76,Artifact,Weak,,,90,2.66,0.3,1.84,6.47,Solvent,Weak + C13_Sat,,,117,1.3,0,2.56,0.83,Impurity,None,,
10,6.22,0,1.47,0.21,Artifact,Weak,,,37,4.39,0.1,2.65,2.38,Compound,None,,,64,3.4,0,5.34,2.57,Artifact,Weak,,,91,2.66,0.1,1.58,2.1,Solvent,Weak + C13_Sat,,,118,1.26,0,1.58,0.63,Compound,None,,
11,6.2,0.1,3.77,3.38,Compound,None,,,38,4.37,0,0.77,0.14,Impurity,Weak,,,65,3.39,0,2.79,1.83,Artifact,Weak,,,92,2.52,1.6,12.63,303.47,Solvent,None,,,119,1.25,0.1,20.65,30.48,Compound,None,,
12,6.18,0,2.39,1.1,Compound,None,,,39,4.35,0.1,6.32,5.52,Compound,None,,,66,3.37,0.1,27.7,21.95,Artifact,Weak,,,93,2.51,25.8,2.15,718.94,Solvent,None,,,120,1.24,0.2,3.72,10.42,Compound,None,,
13,5.78,0,7.11,1.07,Artifact,Weak,,,40,4.33,0.1,12.37,19.08,Compound,None,,,67,3.35,0.5,11.11,80.04,Artifact,Weak,,,94,2.5,55,1.84,1292.49,Solvent,None,,,121,1.15,0.1,3.82,2.72,Compound,None,,
14,5.18,0,1.37,0.17,Artifact,Weak,,,41,4.31,0.1,2.37,1.81,Impurity,None,,,68,3.27,0.4,154.19,812.66,Artifact,Weak,,,95,2.5,77.5,1.88,1858.79,Solvent,None,,,122,1.13,0,5.09,1.34,Compound,None,,
