,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.2,0,0.84,0.1,Artifact,Weak,,,27,2.52,0.8,2.74,27.73,Solvent,Weak,,
2,12.73,0,0.59,0.04,Artifact,Weak,,,28,2.51,9,1.46,169.03,Solvent,None,,
3,12.46,0,0.47,0.04,Artifact,Weak,,,29,2.51,40.2,2.12,1143.67,Solvent,None,,
4,12.4,0,0.61,0.05,Artifact,Weak,,,30,2.5,68.9,2.05,1763.51,Solvent,None,,
5,11.13,0,0.71,0.07,Artifact,Weak,,,31,2.5,71.7,1.97,1755.55,Solvent,None,,
6,10.34,0,0.63,0.07,Artifact,Weak,,,32,2.5,39.5,1.89,860.15,Solvent,None,,
7,9.78,0,1.11,0.07,Artifact,Weak,,,33,2.49,10.9,1.36,145.87,Solvent,None,,
8,9.26,0,0.63,0.05,Artifact,Weak,,,34,2.45,0.3,111.88,465.56,Artifact,Weak,,
9,7.13,0.1,38.47,64.16,Compound,None,,,35,2.35,0,8.18,3.26,Compound,Weak + C13_Sat,,
10,7.12,0.2,14.66,28.36,Compound,None,,,36,2.34,0.1,1.34,0.89,Solvent,Weak + C13_Sat,,
11,6.52,0,2.16,0.29,Impurity,Weak,,,37,2.34,0.2,2.17,6.81,Solvent,Weak + C13_Sat,,
12,4.03,0,51.45,18.8,Compound,None,,,38,2.33,0.4,2.05,10.31,Solvent,Weak + C13_Sat,,
13,3.51,0,3.77,0.9,Impurity,Weak,,,39,2.33,0.4,2.16,11.81,Solvent,Weak + C13_Sat,,
14,3.42,0.1,28.52,39.15,Compound,None,,,40,2.32,0.2,1.78,4.24,Solvent,Weak + C13_Sat,,
15,3.29,0.4,65.8,324.74,Artifact,Weak,,,41,2.32,0.1,1.35,0.69,Solvent,Weak + C13_Sat,,
16,2.71,0,48.27,14.97,Artifact,Weak,,,42,2.18,0,0.67,0.04,Artifact,Weak,,
17,2.7,0,21.36,13.15,Compound,Weak + C13_Sat,,,43,1.3,0,1.94,0.26,Impurity,Weak,,
18,2.68,0,1.48,0.79,Solvent,Weak + C13_Sat,,,44,1.28,0,1.25,0.15,Impurity,Weak,,
19,2.68,0.2,2.22,6.95,Solvent,Weak + C13_Sat,,,45,1.28,0,1.92,0.5,Impurity,Weak,,
20,2.67,0.4,2.14,10.57,Solvent,Weak + C13_Sat,,,46,1.26,0,4.74,1.59,Compound,None,,
21,2.67,0.4,2.02,10.71,Solvent,Weak + C13_Sat,,,47,1.24,0.1,4.74,5.59,Compound,None,,
22,2.66,0.2,1.92,5.58,Solvent,Weak + C13_Sat,,,48,1.15,0,3.68,0.84,Impurity,Weak,,
23,2.66,0.1,1.31,0.71,Solvent,Weak + C13_Sat,,,49,1.09,0,0.48,0.03,Artifact,Weak,,
24,2.59,0.3,43.71,182.91,Compound,None,,,50,0.85,0,3.33,0.69,Impurity,Weak,,
25,2.58,0.3,10.21,30.04,Compound,None,,,51,0.83,0,18.53,10.36,Compound,None,,
26,2.53,5.7,12.83,752.98,Compound,None,,,52,0.07,0,3.16,0.54,Impurity,Weak,,
