,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.75,0,0.69,0.06,Artifact,Weak,,,23,2.49,18.3,1.51,309.22,Solvent,None,,
2,14.11,0,0.87,0.09,Artifact,Weak,,,24,2.34,0.1,1.96,3.23,Solvent,Weak + C13_Sat,,
3,9.41,0,0.53,0.05,Artifact,Weak,,,25,2.33,0.3,2.08,8.12,Solvent,Weak + C13_Sat,,
4,7.75,0,0.55,0.05,Artifact,Weak,,,26,2.33,0.4,1.92,10.34,Solvent,Weak + C13_Sat,,
5,7.08,0,0.47,0.05,Artifact,Weak,,,27,2.32,0.3,1.95,7.25,Solvent,Weak + C13_Sat,,
6,7.01,0,56.55,10.6,Compound,None,,,28,2.32,0.1,1.54,1.78,Solvent,Weak + C13_Sat,,
7,6.52,0.1,1.8,1.76,Compound,None,,,29,2.27,0,172.88,37.95,Compound,None,,
8,6.28,0,1.9,0.91,Compound,None,,,30,1.91,0,1.61,0.77,Compound,None,,
9,4.91,0,0.72,0.05,Artifact,Weak,,,31,1.3,0,3.94,0.4,Artifact,Weak,,
10,3.51,0.1,2.86,2.48,Compound,None,,,32,1.28,0,0.93,0.13,Compound,None,,
11,3.29,0.5,2.51,14.76,Artifact,Weak,,,33,1.24,0.2,5.67,17.17,Compound,None,,
12,2.68,0.1,2.16,3.87,Solvent,Weak + C13_Sat,,,34,1.15,0.2,3.93,8.94,Compound,None,,
13,2.67,0.3,2.01,8.17,Solvent,Weak + C13_Sat,,,35,1.11,0,1.7,0.26,Impurity,Weak,,
14,2.67,0.4,1.97,10.91,Solvent,Weak + C13_Sat,,,36,1.1,0,0.65,0.06,Artifact,Weak,,
15,2.66,0.3,1.87,6.44,Solvent,Weak + C13_Sat,,,37,1.05,0,2.28,0.73,Compound,None,,
16,2.66,0.1,1.53,1.89,Solvent,Weak + C13_Sat,,,38,1.05,0,2.05,0.71,Compound,None,,
17,2.55,0.4,24.21,122.51,Artifact,Weak,,,39,1.03,0,4.35,2.04,Compound,None,,
18,2.52,1.5,8.73,177.75,Solvent,None,,,40,0.85,0,2.42,0.76,Compound,None,,
19,2.51,23.4,2.11,644.04,Solvent,None,,,41,0.84,0,35.94,18.77,Compound,None,,
20,2.5,58.3,2.14,1600.96,Solvent,None,,,42,0.81,0,2.1,0.31,Compound,None,,
21,2.5,73.2,1.81,1619.01,Solvent,None,,,43,0.07,0,2.49,0.66,Compound,None,,
22,2.5,50.9,1.93,1195.73,Solvent,None,,,44,-0.43,0,0.67,0.09,Artifact,Weak,,
