,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.21,0.1,8.97,6.04,Impurity,Weak,,,23,2.18,0,4.09,1.21,Artifact,Weak,,
2,8.18,0,22.95,8.22,Impurity,Weak,,,24,2.05,0.2,73.24,161.53,Artifact,Weak,,
3,7.5,0,14.55,5.92,Impurity,Weak,,,25,2.02,0.3,30.26,102.44,Artifact,Weak,,
4,7.34,0.4,451.58,2438.79,Compound,None,,,26,1.91,0.1,7.18,9.58,Impurity,None,,
5,7.26,0,60.36,11.26,Artifact,Weak,,,27,1.83,0.6,52.73,410.05,Compound,None,,
6,7.23,0.1,72.21,44.74,Compound,None,,,28,1.75,0.1,33.78,59.83,Compound,None,,
7,7.15,0.1,79.37,42.47,Compound,None,,,29,1.55,0,11.89,6.45,Impurity,Weak,,
8,7.03,0.1,144.93,150.06,Compound,None,,,30,1.46,0,40.91,12.39,Artifact,Weak,,
9,6.55,0.1,12.5,11.62,Impurity,None,,,31,1.3,0.2,80.44,202.85,Compound,None,,
10,6.54,0,3.73,1.42,Impurity,Weak,,,32,1.23,1,11.15,160.54,Compound,None,,
11,4.97,0.6,290.68,2634.81,Compound,None,,,33,1.18,0.5,48.27,364.26,Compound,None,,
12,4.88,0.2,129.15,248.94,Compound,None,,,34,1.14,0.6,20.08,164.41,Compound,None,,
13,3.71,1.6,171.57,3596.13,Artifact,Weak,,,35,1.1,0.8,37.06,392.08,Compound,None,,
14,3.49,6.1,95.39,7564.45,Compound,None,,,36,1.04,0.6,56.75,458.77,Compound,None,,
15,3.07,0.3,110.31,274.71,Artifact,Weak,,,37,1.02,0.1,61.49,53.47,Compound,None,,
16,3.05,0,91.19,31.68,Artifact,Weak,,,38,0.86,0.2,160.42,532.1,Compound,None,,
17,2.67,0.6,9.63,62.75,Solvent,Weak + C13_Sat,,,39,0.85,0.2,17.7,38.43,Compound,None,,
18,2.6,0.4,46.81,160.78,Artifact,Weak,,,40,0.81,0.3,49.98,195.84,Compound,None,,
19,2.5,99.6,9.12,10874.66,Solvent,None,,,41,0.1,0,17.5,11.12,Impurity,Weak,,
20,2.36,0.6,91.69,481.38,Artifact,Weak,,,42,0.06,0.2,11.4,23.72,Impurity,None,,
21,2.33,0.5,9.01,47.51,Solvent,Weak + C13_Sat,,,43,0.01,0,75.64,51.53,CS Reference,None,,
22,2.3,0.1,4.97,3.59,Artifact,Weak,,,,,,,,,,,
