,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.63,0,0.94,0.07,Artifact,Weak,,,30,4.44,0,1.54,0.23,Impurity,Weak,,,59,2.51,24.3,1.57,480.99,Solvent,None,,,88,1.33,0,1.68,0.38,Impurity,Weak,,
2,10.2,0.1,2.64,2.4,Impurity,None,,,31,4.43,0,2.61,0.43,Impurity,Weak,,,60,2.5,55.7,1.57,1112.4,Solvent,None,,,89,1.3,0,1.26,0.19,Impurity,Weak,,
3,9.38,0,0.55,0.05,Artifact,Weak,,,32,4.41,0,7.88,3.09,Impurity,None,,,61,2.5,81.5,1.57,1669.07,Solvent,None,,,90,1.26,0,1.96,0.57,Impurity,Weak,,
4,7.91,0,1.2,0.11,Artifact,Weak,,,33,4.4,0,2.8,0.46,Impurity,Weak,,,62,2.5,55.3,1.63,1154.45,Solvent,None,,,91,1.23,0.3,6.35,29.96,Compound,None,,
5,7.69,0,0.52,0.06,Artifact,Weak,,,34,4.38,0,1.29,0.18,Artifact,Weak,,,63,2.49,20.7,1.34,316.55,Solvent,None,,,92,1.16,0,1.29,0.1,Artifact,Weak,,
6,7.39,0,1.48,0.29,Impurity,Weak,,,35,4.35,0,3.03,0.82,Impurity,None,,,64,2.41,0.1,206.01,256.26,Artifact,Weak,,,93,1.15,0.2,3.76,8.55,Compound,None,,
7,7.38,0,1.78,0.28,Impurity,Weak,,,36,4.33,0,6.25,2.15,Impurity,None,,,65,2.34,0.1,1.49,2.29,Solvent,Weak + C13_Sat,,,94,1.11,0,0.96,0.12,Artifact,Weak,,
8,7.24,0,1.46,0.2,Artifact,Weak,,,37,4.32,0,7.47,2.86,Impurity,None,,,66,2.33,0.3,1.57,6.38,Solvent,Weak + C13_Sat,,,95,1.08,0.1,2.06,1.63,Impurity,None,,
9,6.57,0,2.78,1.2,Impurity,None,,,38,4.28,0,1.4,0.27,Impurity,Weak,,,67,2.33,0.5,1.57,9.3,Solvent,Weak + C13_Sat,,,96,1.07,0,0.62,0.08,Artifact,Weak,,
10,6.55,0,2.02,0.78,Impurity,None,,,39,4.26,0,2.87,0.9,Impurity,None,,,68,2.32,0.3,1.57,6.21,Solvent,Weak + C13_Sat,,,97,1.07,0.1,2.17,1.78,Impurity,None,,
11,6.2,0,2.43,0.65,Impurity,Weak,,,40,4.25,0,1.47,0.35,Impurity,Weak,,,69,2.32,0.1,1.36,1.89,Solvent,Weak + C13_Sat,,,98,1.05,0,1.03,0.45,Impurity,Weak,,
12,6.19,0,2.23,0.55,Impurity,Weak,,,41,4.14,0,5.6,1.41,Impurity,None,,,70,2.3,0.1,2.02,1.48,Impurity,None,,,99,1.04,0,0.81,0.24,Impurity,Weak,,
13,5.45,0,1.35,0.18,Impurity,Weak,,,42,4.12,0,4.27,0.8,Impurity,Weak,,,71,2.22,0,3.35,0.71,Impurity,Weak,,,100,1.02,0,3.51,0.39,Artifact,Weak,,
14,5.43,0,0.93,0.18,Impurity,Weak,,,43,3.95,0,8.84,1.62,Impurity,Weak,,,72,2.2,0,2.06,0.17,Artifact,Weak,,,101,0.98,0,1.48,0.21,Artifact,Weak,,
15,5.25,0,1.88,0.2,Artifact,Weak,,,44,3.74,0.1,132.46,101.59,Compound,None,,,73,2.18,0,4.03,0.94,Impurity,None,,,102,0.96,0,2.02,0.24,Artifact,Weak,,
16,5.23,0,3.08,0.45,Artifact,Weak,,,45,3.65,0,0.81,0.09,Impurity,Weak,,,74,2.16,0,2.15,0.41,Impurity,Weak,,,103,0.92,0,1.98,0.39,Impurity,Weak,,
17,4.9,0,4.86,2.36,Impurity,None,,,46,3.13,0.2,2.9,5.82,Compound,None,,,75,2.09,0,5.05,2.65,Impurity,None,,,104,0.91,0,3.54,0.39,Impurity,Weak,,
18,4.89,0,1.53,0.17,Impurity,Weak,,,47,3.11,0.1,2.26,3.75,Compound,None,,,76,2.08,0,1.63,0.71,Compound,None,,,105,0.86,0.1,31.13,66.13,Compound,None,,
19,4.88,0,2.92,0.44,Impurity,Weak,,,48,3.04,0,2.79,0.68,Impurity,Weak,,,77,2.06,0,8.17,3.4,Compound,None,,,106,0.85,0,0.67,0.1,Artifact,Weak,,
20,4.87,0,3.09,0.7,Impurity,Weak,,,49,2.89,0,9.17,1.13,Artifact,Weak,,,78,1.96,0,3.64,0.42,Artifact,Weak,,,107,0.84,0,1.33,0.34,Impurity,Weak,,
21,4.83,0.1,4.83,4.57,Compound,None,,,50,2.88,0,0.99,0.11,Artifact,Weak,,,79,1.9,0,1.54,0.87,Impurity,None,,,108,0.83,0,1.54,0.33,Impurity,Weak,,
22,4.82,0,3.25,1.35,Compound,None,,,51,2.72,0,73.29,32.73,Compound,None,,,80,1.84,0,5.61,1.5,Impurity,None,,,109,0.81,0,2.66,0.52,Impurity,Weak,,
23,4.76,0,4.2,1.64,Impurity,None,,,52,2.68,0.2,1.72,3.46,Solvent,Weak + C13_Sat,,,81,1.81,0,0.69,0.07,Artifact,Weak,,,110,0.07,0,2.02,0.98,CS Reference,None,,
24,4.75,0,5.12,2.56,Impurity,None,,,53,2.67,0.3,1.57,6.63,Solvent,Weak + C13_Sat,,,82,1.8,0,56.26,10.79,Compound,None,,,111,-1.73,0,0.67,0.06,Artifact,Weak,,
25,4.62,0,13.24,2.78,Impurity,None,,,54,2.67,0.5,1.57,9.33,Solvent,Weak + C13_Sat,,,83,1.77,0,2.31,1.09,Impurity,None,,,112,-1.97,0,0.51,0.06,Artifact,Weak,,
