,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.66,0,0.65,0.05,Artifact,Weak,,,29,2.5,61,1.19,936.43,Solvent,None,,,57,1.1,0.1,125.13,161.31,Compound,None,,
2,13.45,0,0.55,0.04,Artifact,Weak,,,30,2.49,24.2,1.14,318,Solvent,None,,,58,1.08,0,0.86,0.21,Impurity,Weak,,
3,8.33,0,1.54,0.18,Impurity,Weak,,,31,2.34,0.1,1.16,1.95,Solvent,Weak + C13_Sat,,,59,1.02,0,5.29,0.76,Impurity,None,,
4,7.39,0,0.37,0.03,Artifact,Weak,,,32,2.33,0.4,1.31,5.82,Solvent,Weak + C13_Sat,,,60,1.02,0,1.26,0.25,Impurity,Weak,,
5,7.17,0.1,125.97,198.25,Compound,None,,,33,2.33,0.5,1.16,7.51,Solvent,Weak + C13_Sat,,,61,1.01,0,0.86,0.1,Impurity,Weak,,
6,6.64,0,0.74,0.05,Artifact,Weak,,,34,2.32,0.4,1.26,5.8,Solvent,Weak + C13_Sat,,,62,1.01,0,0.86,0.1,Impurity,Weak,,
7,5.45,0,0.77,0.1,Impurity,Weak,,,35,2.32,0.1,1.18,1.76,Solvent,Weak + C13_Sat,,,63,1,0,1.8,0.26,Impurity,Weak,,
8,5.41,0,12.06,2.23,Compound,None,,,36,2.3,0,1.18,0.09,Impurity,Weak,,,64,0.99,0,0.74,0.19,Impurity,Weak,,
9,4.91,0,12.37,1.33,Compound,None,,,37,2.27,0,1.61,0.1,Artifact,Weak,,,65,0.98,0,0.58,0.07,Impurity,Weak,,
10,4.48,0,0.85,0.06,Artifact,Weak,,,38,2.22,0,0.82,0.09,Impurity,Weak,,,66,0.98,0,1.31,0.15,Impurity,Weak,,
11,3.51,0,1.83,0.85,Artifact,Weak,,,39,2.21,0,4.07,0.26,Artifact,Weak,,,67,0.97,0,1.03,0.14,Impurity,Weak,,
12,3.49,0,1.49,0.18,Artifact,Weak,,,40,2.2,0,2.96,0.31,Impurity,Weak,,,68,0.85,0,1.54,0.56,Compound,None,,
13,3.45,0.1,223.48,385.42,Artifact,Weak,,,41,2.18,0,3.13,0.56,Impurity,None,,,69,0.83,0,5.53,1.45,Compound,None,,
14,3.42,0.1,38.2,34.19,Artifact,Weak,,,42,1.91,0.1,0.7,0.6,Impurity,None,,,70,0.12,0,0.99,0.45,CS Reference,Weak + C13_Sat,,
15,3.25,0.1,49.41,53.93,Artifact,Weak,,,43,1.83,0.1,49.85,36.7,Compound,None,,,71,0.08,0,0.72,0.06,Artifact,Weak,,
16,3.14,0,1.99,0.59,Artifact,Weak,,,44,1.75,0,1.21,0.19,Impurity,Weak,,,72,0.08,0,0.77,0.08,Impurity,Weak,,
17,3.11,0,2.61,0.49,Artifact,Weak,,,45,1.36,0,1.26,0.1,Artifact,Weak,,,73,0.07,0.6,1.59,11.83,Compound,None,,
18,2.75,0,0.67,0.11,Impurity,Weak,,,46,1.29,0,1.84,0.15,Impurity,Weak,,,74,0.06,0,1.1,0.23,Impurity,Weak,,
19,2.68,0.2,1.2,2.29,Solvent,Weak + C13_Sat,,,47,1.28,0,0.64,0.08,Impurity,Weak,,,75,0.05,0,1.7,0.3,Compound,Weak,,
20,2.67,0.4,1.16,5.29,Solvent,Weak + C13_Sat,,,48,1.26,0,1.16,0.3,Impurity,None,,,76,0,0,0.73,0.07,CS Reference,Weak,,
21,2.67,0.5,1.29,9.08,Solvent,Weak + C13_Sat,,,49,1.23,0.2,3.38,8.5,Compound,None,,,77,-0.02,0.3,0.94,3.79,CS Reference,None,,
22,2.66,0.3,1.21,5.13,Solvent,Weak + C13_Sat,,,50,1.16,0,2.34,0.19,Impurity,Weak,,,78,-0.03,9.4,0.86,91.48,CS Reference,None,,
23,2.66,0.1,1.17,2.05,Solvent,Weak + C13_Sat,,,51,1.15,0.1,1.5,1.45,Compound,None,,,79,-0.04,0.2,0.64,1.95,CS Reference,None,,
24,2.52,0.3,0.82,2.69,Solvent,Weak,,,52,1.14,0.2,2.11,5.15,Compound,None,,,80,-0.07,0,0.71,0.08,CS Reference,Weak,,
25,2.52,0.2,0.68,2.09,Solvent,Weak,,,53,1.14,0.1,1.54,1.71,Compound,None,,,81,-0.18,0,1.11,0.51,CS Reference,Weak + C13_Sat,,
26,2.51,25,1.09,323.1,Solvent,None,,,54,1.11,0,1.42,0.46,Compound,None,,,82,-2.37,0,0.5,0.04,Artifact,Weak,,
27,2.5,61.1,1.22,971.26,Solvent,None,,,55,1.11,0,0.65,0.05,Artifact,Weak,,,83,-3.17,0,0.61,0.05,Artifact,Weak,,
28,2.5,87.3,1.31,1471.08,Solvent,None,,,56,1.1,0,0.75,0.36,Compound,None,,,,,,,,,,,
