,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.25,0,0.87,0.07,Artifact,Weak,,,27,2.33,0.5,1.46,10.31,Solvent,Weak + C13_Sat,,,53,0.98,0,1.15,0.06,Artifact,Weak,,
2,14.37,0,0.51,0.04,Artifact,Weak,,,28,2.32,0.3,1.16,4.74,Solvent,Weak + C13_Sat,,,54,0.97,0,1.84,0.43,Impurity,Weak,,
3,12.41,0,0.73,0.04,Artifact,Weak,,,29,2.32,0.1,1.15,1.66,Solvent,Weak + C13_Sat,,,55,0.87,0,4.86,0.3,Artifact,Weak,,
4,10.98,0,0.69,0.05,Artifact,Weak,,,30,2.29,0,0.71,0.1,Impurity,Weak,,,56,0.85,0,2.76,0.31,Compound,None,,
5,10.48,0,0.72,0.04,Artifact,Weak,,,31,2.26,0,3.42,0.36,Artifact,Weak,,,57,0.84,0.1,49.58,48.85,Compound,None,,
6,7.19,0,0.84,0.05,Artifact,Weak,,,32,2.22,0,3.05,0.2,Artifact,Weak,,,58,0.7,0,0.77,0.06,Artifact,Weak,,
7,5.49,0,0.67,0.06,Artifact,Weak,,,33,2.21,0,1.75,0.19,Impurity,Weak,,,59,0.44,0,0.76,0.07,Artifact,Weak,,
8,5.4,0,7.86,1.4,Compound,None,,,34,2.19,0,2.42,0.17,Artifact,Weak,,,60,0.13,0,1.1,0.13,Impurity,Weak,,
9,3.47,1.3,66.37,1214.37,Compound,None,,,35,2.17,0,2.34,0.38,Impurity,Weak,,,61,0.12,0.1,1.05,0.8,CS Reference,Weak + C13_Sat,,
10,2.75,0,1.75,0.2,Impurity,Weak,,,36,2.16,0,1.84,0.12,Artifact,Weak,,,62,0.08,0,6.42,0.48,Compound,None,,
11,2.68,0.1,1.21,2.01,Solvent,Weak + C13_Sat,,,37,1.9,0.1,0.87,0.73,Impurity,None,,,63,0.07,0.6,1.66,10.48,Compound,None,,
12,2.67,0.4,1.4,6.96,Solvent,Weak + C13_Sat,,,38,1.83,0,2.15,0.16,Artifact,Weak,,,64,0.06,0,3.18,0.87,Compound,None,,
13,2.67,0.5,1.28,8.38,Solvent,Weak + C13_Sat,,,39,1.3,0,1.08,0.22,Impurity,Weak,,,65,0.05,0,1.42,0.97,Compound,None,,
14,2.66,0.3,1.23,5.41,Solvent,Weak + C13_Sat,,,40,1.28,0,0.91,0.21,Impurity,Weak,,,66,0.04,0,0.92,0.31,Impurity,None,,
15,2.66,0.1,1.12,1.95,Solvent,Weak + C13_Sat,,,41,1.26,0,1.16,0.37,Compound,None,,,67,0.01,0,0.65,0.24,CS Reference,Weak,,
16,2.58,0,11.25,4.91,Artifact,Weak,,,42,1.24,0.1,157.91,115.98,Compound,None,,,68,0,0,0.84,0.27,CS Reference,Weak,,
17,2.54,0.1,20.68,29.43,Artifact,Weak,,,43,1.23,0.2,3.9,11.34,Compound,None,,,69,0,0.1,0.94,1.04,CS Reference,Weak,,
18,2.52,0.2,0.79,2.17,Solvent,Weak,,,44,1.18,0,1.05,0.11,Impurity,Weak,,,70,-0.01,0.1,0.73,0.63,CS Reference,Weak,,
19,2.52,0.9,9.76,127.08,Solvent,Weak,,,45,1.16,0,1.98,0.31,Compound,Weak,,,71,-0.02,0.3,1.81,5.27,CS Reference,None,,
20,2.51,24.8,1.23,373.16,Solvent,None,,,46,1.15,0.2,3.44,8.41,Compound,None,,,72,-0.03,13.9,0.77,135,CS Reference,None,,
21,2.5,63.9,1.42,1187.45,Solvent,None,,,47,1.11,0,0.66,0.06,Artifact,Weak,,,73,-0.04,0.4,0.85,3.71,CS Reference,None,,
22,2.5,84.7,1.28,1281.58,Solvent,None,,,48,1.05,0,3.32,0.6,Impurity,Weak,,,74,-0.04,0,26.55,15.23,CS Reference,Weak,,
23,2.5,58.5,1.31,926.24,Solvent,None,,,49,1.02,0,16.12,4.73,Compound,None,,,75,-0.06,0.1,0.66,0.47,CS Reference,Weak,,
24,2.49,23.9,1.17,318.85,Solvent,None,,,50,1,0,0.48,0.04,Artifact,Weak,,,76,-0.18,0.1,1.07,0.74,CS Reference,Weak + C13_Sat,,
25,2.34,0.2,1.2,2.39,Solvent,Weak + C13_Sat,,,51,1,0,1.41,0.22,Impurity,Weak,,,,,,,,,,,
26,2.33,0.3,1.28,5.04,Solvent,Weak + C13_Sat,,,52,0.99,0,0.88,0.18,Impurity,Weak,,,,,,,,,,,
