,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.19,0,0.46,0.03,Artifact,Weak,,,27,2.32,0.1,1.27,1.76,Solvent,Weak + C13_Sat,,,53,0.95,0,1.85,0.22,Impurity,Weak,,
2,9.92,0,0.76,0.09,Artifact,Weak,,,28,2.18,0,3.28,0.27,Artifact,Weak,,,54,0.92,0,2.89,0.2,Artifact,Weak,,
3,8.49,0,3.8,0.37,Artifact,Weak,,,29,2.16,0,2.66,0.68,Compound,None,,,55,0.9,0,1.4,0.17,Impurity,Weak,,
4,7.22,0,7.22,0.71,Artifact,Weak,,,30,2.14,0,2.56,0.25,Compound,None,,,56,0.88,0,0.94,0.12,Artifact,Weak,,
5,4.67,0,0.69,0.06,Artifact,Weak,,,31,2.03,0,1.01,0.1,Artifact,Weak,,,57,0.85,0,3.09,1.4,Compound,None,,
6,3.25,0.1,27.59,22,Artifact,Weak,,,32,2.02,0,0.94,0.16,Impurity,None,,,58,0.84,0.1,32.55,28.95,Compound,None,,
7,3.22,0,192.7,51.54,Artifact,Weak,,,33,1.88,0.1,1.63,1.24,Compound,None,,,59,0.13,0,1.04,0.44,Impurity,None,,
8,3.15,0,0.94,0.09,Artifact,Weak,,,34,1.81,0,36.74,18.04,Compound,None,,,60,0.12,0.1,1.21,0.86,CS Reference,Weak + C13_Sat,,
9,2.85,0,0.72,0.05,Artifact,Weak,,,35,1.48,0,20.8,2.49,Compound,None,,,61,0.09,0,56.98,15.53,Compound,None,,
10,2.68,0.1,1.34,2.22,Solvent,Weak + C13_Sat,,,36,1.36,0,1.23,0.17,Impurity,Weak,,,62,0.08,0,0.63,0.05,Artifact,Weak,,
11,2.67,0.3,1.64,7.15,Solvent,Weak + C13_Sat,,,37,1.32,0,1.66,0.23,Impurity,Weak,,,63,0.07,0.4,1.92,9.32,Compound,None,,
12,2.67,0.5,1.56,10.24,Solvent,Weak + C13_Sat,,,38,1.3,0,1.71,0.23,Impurity,None,,,64,0.05,0,1.51,0.66,Compound,None,,
13,2.66,0.3,1.44,5.73,Solvent,Weak + C13_Sat,,,39,1.26,0,1.46,0.34,Compound,None,,,65,0.04,0,1.03,0.3,Compound,None,,
14,2.66,0.1,1.27,1.87,Solvent,Weak + C13_Sat,,,40,1.24,0.1,9.03,7.47,Compound,None,,,66,0,0,9.79,5.19,CS Reference,Weak,,
15,2.57,0.1,46.29,76.33,Artifact,Weak,,,41,1.24,0.3,3.11,12.59,Compound,None,,,67,0,0.1,1.12,0.81,CS Reference,Weak,,
16,2.52,0.2,1.04,2.95,Solvent,Weak,,,42,1.19,0,2.49,0.31,Impurity,Weak,,,68,-0.01,0.1,1.16,1.33,CS Reference,Weak,,
17,2.52,0.2,0.81,1.62,Solvent,Weak,,,43,1.15,0.2,3.6,9.22,Compound,None,,,69,-0.02,0.5,2.42,14.74,CS Reference,None,,
18,2.51,23.4,1.32,381.06,Solvent,None,,,44,1.11,0.1,108.06,169.45,Compound,None,,,70,-0.03,10.9,1.04,137.34,CS Reference,None,,
19,2.5,60.9,1.65,1326.62,Solvent,None,,,45,1.1,0,0.47,0.06,Impurity,Weak,,,71,-0.04,0.2,0.81,2.25,CS Reference,Weak,,
20,2.5,80.6,1.42,1422.7,Solvent,None,,,46,1.06,0,1.4,0.18,Artifact,Weak,,,72,-0.05,0,1.42,0.38,CS Reference,Weak,,
21,2.5,56.6,1.54,1084.94,Solvent,None,,,47,1.05,0,2.44,0.19,Artifact,Weak,,,73,-0.06,0.1,0.99,1.3,CS Reference,None,,
22,2.49,21.6,1.28,311.36,Solvent,None,,,48,1.04,0,3.99,0.66,Compound,None,,,74,-0.18,0.1,1.22,0.79,CS Reference,Weak + C13_Sat,,
23,2.34,0.1,1.35,2.24,Solvent,Weak + C13_Sat,,,49,1.02,0,10.3,2.55,Compound,None,,,75,-1.76,0,1.26,0.11,Artifact,Weak,,
24,2.33,0.3,1.57,6.91,Solvent,Weak + C13_Sat,,,50,1,0,0.89,0.12,Compound,None,,,76,-3.02,0,0.8,0.07,Artifact,Weak,,
25,2.33,0.5,1.6,9.72,Solvent,Weak + C13_Sat,,,51,0.99,0,1.15,0.24,Impurity,None,,,,,,,,,,,
26,2.32,0.3,1.5,6.33,Solvent,Weak + C13_Sat,,,52,0.97,0,2.09,0.46,Impurity,None,,,,,,,,,,,
