,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.54,0,0.61,0.05,Artifact,Weak,,,29,5.7,0,1.81,0.11,Artifact,Weak,,,57,4.45,0.1,4.83,8.47,Compound,None,,,85,3.65,0.1,116.52,140.32,Compound,None,,,113,3.14,0.2,4.01,8.69,Compound,None,,,141,2.56,0,0.77,0.2,Artifact,Weak,,,169,1.82,0,3.17,0.8,Compound,None,,
2,13.24,0,0.68,0.05,Artifact,Weak,,,30,5.6,0,0.84,0.09,Artifact,Weak,,,58,4.45,0.1,2.95,2.11,Compound,None,,,86,3.65,0,3.5,1.26,Compound,None,,,114,3.13,0,1.78,0.72,Compound,None,,,142,2.54,0.2,21.49,62.54,Artifact,Weak,,,170,1.8,0,2.2,0.27,Compound,None,,
3,10.2,0.1,2.19,2.52,Compound,None,,,31,5.4,0,30.21,3.28,Artifact,Weak,,,59,4.43,0.1,3.01,2.1,Compound,None,,,87,3.64,0,1.4,0.29,Compound,None,,,115,3.12,0,2.14,0.52,Compound,None,,,143,2.52,0.3,1.07,4.04,Solvent,Weak,,,171,1.78,0,2.54,0.42,Compound,None,,
4,8.88,0,0.54,0.05,Artifact,Weak,,,32,5.3,0,2.88,0.49,Compound,None,,,60,4.41,0.1,5.34,5.4,Compound,None,,,88,3.63,0,2.04,0.68,Compound,None,,,116,3.11,0.2,2.06,4.93,Compound,None,,,144,2.52,0.1,0.7,1.21,Artifact,Weak,,,172,1.77,0,1.71,0.72,Compound,None,,
5,8.34,0,17.34,3.36,Compound,None,,,33,5.23,0,2.69,0.3,Impurity,None,,,61,4.4,0.1,4.07,4.98,Compound,None,,,89,3.61,0,1.45,0.12,Compound,Weak,,,117,3.1,0.1,4.74,8.24,Compound,None,,,145,2.51,25.1,1.36,437.12,Solvent,None,,,173,1.77,0,0.99,0.26,Compound,None,,
6,8.05,0,5.54,0.39,Artifact,Weak,,,34,5.19,0,0.61,0.05,Artifact,Weak,,,62,4.38,0.1,2.86,2.25,Compound,None,,,90,3.61,0,1.37,0.43,Compound,None,,,118,3.08,0,3.8,1.62,Compound,None,,,146,2.5,57.8,1.44,1101.86,Solvent,None,,,174,1.48,0,22.54,4.3,Compound,None,,
7,7.91,0,0.86,0.07,Artifact,Weak,,,35,5.14,0,1.72,0.12,Artifact,Weak,,,63,4.37,0,0.93,0.07,Artifact,Weak,,,91,3.59,0,2.24,0.69,Compound,None,,,119,3.08,0,1.98,0.81,Compound,None,,,147,2.5,84.5,1.48,1656.16,Solvent,None,,,175,1.3,0,1.43,0.18,Impurity,Weak,,
8,7.79,0,3.3,0.23,Artifact,Weak,,,36,5.1,0,21.41,5.4,Compound,None,,,64,4.37,0,3.17,1.24,Compound,None,,,92,3.58,0,0.71,0.04,Artifact,Weak,,,120,3.06,0,1.13,0.17,Compound,None,,,148,2.5,53.8,1.37,908.82,Solvent,None,,,176,1.28,0,1.12,0.15,Impurity,Weak,,
9,7.77,0,3.32,0.42,Compound,None,,,37,5.01,0,26,4.74,Compound,None,,,65,4.35,0.1,3.2,2.05,Compound,None,,,93,3.58,0,2.15,0.98,Compound,None,,,121,3.06,0,1.77,0.95,Compound,None,,,149,2.49,23,1.23,320.59,Solvent,None,,,177,1.26,0,1.08,0.29,Compound,None,,
10,7.69,0,3.76,0.29,Impurity,Weak,,,38,4.96,0,7.58,0.69,Artifact,Weak,,,66,4.34,0.1,14,25.73,Compound,None,,,94,3.57,0.1,2.3,2.19,Compound,None,,,122,3.05,0,1.81,0.91,Compound,None,,,150,2.34,0.1,1.25,2.07,Solvent,Weak + C13_Sat,,,178,1.24,0.3,4.83,17.99,Compound,None,,
11,7.44,0,2.58,0.4,Compound,None,,,39,4.91,0.1,2.14,1.63,Compound,None,,,67,4.32,0.1,3.22,2.8,Compound,None,,,95,3.56,0.1,3.2,3.03,Compound,None,,,123,3.05,0,2.18,1.04,Compound,None,,,151,2.33,0.3,1.51,6.99,Solvent,Weak + C13_Sat,,,179,1.15,0.1,2.54,3.5,Compound,None,,
12,7.42,0,5.23,0.41,Artifact,Weak,,,40,4.9,0.1,2.64,3.8,Compound,None,,,68,4.3,0,3.15,1.3,Compound,None,,,96,3.54,0.1,3.07,2.96,Compound,None,,,124,3.04,0.1,2.62,3.07,Compound,None,,,152,2.33,0.5,1.31,7.74,Solvent,Weak + C13_Sat,,,180,1.15,0.1,1.78,2.52,Compound,None,,
13,7.39,0,1.01,0.07,Artifact,Weak,,,41,4.89,0.1,2.02,1.36,Compound,None,,,69,4.28,0.1,1.95,1.46,Compound,None,,,97,3.54,0.1,2.87,3.82,Compound,None,,,125,3.03,0,2.74,1.26,Compound,None,,,153,2.32,0.3,1.45,5.83,Solvent,Weak + C13_Sat,,,181,1.14,0.1,1.65,1.5,Compound,None,,
14,7.26,0,21.89,2.25,Artifact,Weak,,,42,4.88,0.1,2.23,2.34,Compound,None,,,70,4.26,0.1,1.79,1.41,Compound,None,,,98,3.53,0.1,2.44,1.83,Compound,None,,,126,3.02,0,3.37,0.64,Compound,None,,,154,2.32,0.1,1.18,1.68,Solvent,Weak + C13_Sat,,,182,1.11,0,2.63,0.93,Compound,None,,
15,7.1,0,0.39,0.03,Artifact,Weak,,,43,4.87,0.1,2.18,2.41,Compound,None,,,71,4.26,0.1,1.9,1.57,Compound,None,,,99,3.52,0.1,3.05,2.28,Compound,None,,,127,3.01,0,1.04,0.18,Compound,None,,,155,2.31,0.1,1.57,2.06,Compound,None,,,183,1.1,0,0.82,0.05,Artifact,Weak,,
16,6.8,0,4.1,0.54,Compound,None,,,44,4.83,0.2,6.47,17.09,Compound,None,,,72,4.25,0.1,1.83,1.43,Compound,None,,,100,3.52,0.1,2.19,1.39,Compound,None,,,128,2.91,0,2.35,0.91,Compound,None,,,156,2.3,0.1,1.38,2.32,Compound,None,,,184,1.09,0,2.34,0.59,Compound,None,,
17,6.57,0.1,2.03,2.66,Compound,None,,,45,4.82,0.1,3.23,4.69,Compound,None,,,73,4.2,0,2.3,0.19,Artifact,Weak,,,101,3.5,0,1.12,0.14,Impurity,Weak,,,129,2.9,0,2,0.75,Compound,None,,,157,2.28,0,5.71,1.32,Compound,None,,,185,1.08,0.1,2.69,3.95,Compound,None,,
18,6.55,0.1,2.23,3.28,Compound,None,,,46,4.77,0.1,3.34,3.13,Compound,None,,,74,4.15,0.1,4.31,3.72,Compound,None,,,102,3.48,0,2.19,0.52,Artifact,Weak,,,130,2.89,0,0.97,0.15,Compound,None,,,158,2.26,0,3.8,0.92,Compound,None,,,186,1.07,0,0.78,0.19,Compound,None,,
19,6.53,0,1.13,0.1,Artifact,Weak,,,47,4.75,0.1,7.81,15.93,Compound,None,,,75,4.13,0.1,4.55,3.75,Compound,None,,,103,3.47,0.1,2.34,1.75,Artifact,Weak,,,131,2.89,0,2.9,1.47,Compound,None,,,159,2.21,0,15.57,7.86,Compound,None,,,187,1.06,0.1,2.56,3.22,Compound,None,,
