,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.09,0,0.7,0.06,Artifact,Weak,,,30,2.49,20.2,1.45,307.53,Solvent,None,,
2,15.04,0,0.38,0.03,Artifact,Weak,,,31,2.43,0,0.79,0.06,Artifact,Weak,,
3,11.09,0,0.45,0.04,Artifact,Weak,,,32,2.34,0.1,1.63,2.46,Solvent,Weak + C13_Sat,,
4,10.91,0,0.76,0.08,Artifact,Weak,,,33,2.33,0.3,1.84,7.91,Solvent,Weak + C13_Sat,,
5,10.68,0,0.61,0.04,Artifact,Weak,,,34,2.33,0.4,1.62,8.9,Solvent,Weak + C13_Sat,,
6,9.73,0,0.61,0.05,Artifact,Weak,,,35,2.32,0.3,1.67,6.45,Solvent,Weak + C13_Sat,,
7,9.56,0,1.09,0.09,Artifact,Weak,,,36,2.32,0.1,1.49,1.97,Solvent,Weak + C13_Sat,,
8,8.32,0,1.31,0.15,Artifact,Weak,,,37,2.21,0,0.64,0.05,Artifact,Weak,,
9,7.48,0,2.4,0.3,Impurity,Weak,,,38,2.1,0,0.53,0.05,Artifact,Weak,,
10,7.12,0.1,55.45,43.05,Compound,None,,,39,2.08,0,0.64,0.05,Artifact,Weak,,
11,7.09,0,2.21,0.28,Impurity,Weak,,,40,1.93,0,0.54,0.03,Artifact,Weak,,
12,6.53,0,1.63,0.51,Compound,None,,,41,1.91,0,1.41,0.46,Compound,None,,
13,6.52,0.2,1.46,2.75,Compound,None,,,42,1.49,0,0.53,0.04,Artifact,Weak,,
14,6.28,0,1.92,0.52,Compound,None,,,43,1.3,0,2.03,0.15,Artifact,Weak,,
15,6.24,0,0.7,0.05,Artifact,Weak,,,44,1.26,0,1.7,0.47,Compound,None,,
16,5.75,0,3.12,0.34,Impurity,Weak,,,45,1.23,0.2,3.82,8.8,Compound,None,,
17,5.42,0,1.89,0.19,Artifact,Weak,,,46,1.15,0.1,2.47,3.57,Compound,None,,
18,3.51,0,2.92,0.93,Compound,None,,,47,1.14,0.2,2.7,4.6,Compound,None,,
19,2.68,0.1,1.54,2.13,Solvent,Weak + C13_Sat,,,48,1.02,0,2.07,0.28,Impurity,None,,
20,2.67,0.3,1.92,8.17,Solvent,Weak + C13_Sat,,,49,1,0,2.1,0.33,Impurity,None,,
21,2.67,0.4,1.66,9.41,Solvent,Weak + C13_Sat,,,50,0.99,0,1.38,0.21,Impurity,Weak,,
22,2.66,0.3,1.69,6.41,Solvent,Weak + C13_Sat,,,51,0.85,0,1.72,0.43,Compound,None,,
23,2.66,0.1,1.34,1.82,Solvent,Weak + C13_Sat,,,52,0.83,0,30.95,12.52,Compound,None,,
24,2.54,0.3,24.72,86.97,Artifact,Weak,,,53,0.07,0,2.45,0.52,Compound,None,,
25,2.52,0.3,1.56,5.24,Solvent,Weak,,,54,-0.14,0,0.48,0.04,Artifact,Weak,,
26,2.51,24.8,1.71,526.62,Solvent,None,,,55,-1.86,0,0.81,0.07,Artifact,Weak,,
27,2.5,55.2,1.66,1128.09,Solvent,None,,,56,-2.32,0,0.59,0.06,Artifact,Weak,,
28,2.5,82.3,1.68,1735.48,Solvent,None,,,57,-2.38,0,0.62,0.05,Artifact,Weak,,
29,2.5,53.4,1.68,1095.77,Solvent,None,,,,,,,,,,,
