,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.8,0,0.76,0.06,Artifact,Weak,,,22,2.49,28.1,1.92,681.36,Solvent,None,,,43,1.05,0,1.99,0.33,Compound,None,,
2,11.07,0,0.33,0.04,Artifact,Weak,,,23,2.44,0,19.22,7.38,Artifact,Weak,,,44,1.02,0,10.67,2.12,Compound,None,,
3,11.03,0,0.47,0.04,Artifact,Weak,,,24,2.42,0.2,111.19,244.16,Artifact,Weak,,,45,1,0,1.42,0.32,Compound,None,,
4,9.91,0,0.49,0.05,Artifact,Weak,,,25,2.34,0.1,1.38,1.29,Solvent,Weak + C13_Sat,,,46,0.99,0,1.32,0.18,Compound,None,,
5,8.21,0,0.62,0.07,Artifact,Weak,,,26,2.33,0.3,1.73,5.92,Solvent,Weak + C13_Sat,,,47,0.97,0,1.56,0.36,Compound,None,,
6,7.88,0,3.68,0.5,Artifact,Weak,,,27,2.33,0.5,2.02,12.1,Solvent,Weak + C13_Sat,,,48,0.85,0,3.07,1.68,Compound,None,,
7,6.56,0,14.65,6.31,Compound,None,,,28,2.32,0.3,1.78,7.71,Solvent,Weak + C13_Sat,,,49,0.83,0.1,22.43,20.16,Compound,None,,
8,5.42,0,2.96,0.41,Artifact,Weak,,,29,2.32,0.2,1.84,3.82,Solvent,Weak + C13_Sat,,,50,0.12,0,1.53,0.71,CS Reference,Weak + C13_Sat,,
9,5.07,0,0.66,0.09,Impurity,Weak,,,30,2.19,0,2.13,0.4,Compound,None,,,51,0.09,0,8.23,1.65,Compound,None,,
10,4.92,0,0.36,0.04,Artifact,Weak,,,31,2.17,0,3.27,1.21,Compound,None,,,52,0.07,0.2,2.11,5.01,Compound,None,,
11,2.68,0.1,1.39,1.33,Solvent,Weak + C13_Sat,,,32,2.15,0,2.42,0.38,Compound,None,,,53,0.06,0.2,2.83,8.15,Compound,None,,
12,2.67,0.3,1.72,6.03,Solvent,Weak + C13_Sat,,,33,2.08,0,1.31,0.1,Artifact,Weak,,,54,0.05,0.1,4.1,8.57,Compound,None,,
13,2.67,0.5,2.02,12.31,Solvent,Weak + C13_Sat,,,34,1.9,0.1,1.62,1.58,Compound,None,,,55,0,0,1.46,0.22,CS Reference,Weak,,
14,2.66,0.3,1.77,7.35,Solvent,Weak + C13_Sat,,,35,1.84,0,18.17,3.55,Compound,None,,,56,0,0.1,3.3,2.18,CS Reference,Weak,,
15,2.66,0.2,1.99,4.42,Solvent,Weak + C13_Sat,,,36,1.48,0,24.75,2.95,Compound,None,,,57,-0.03,6.9,1.43,114.76,CS Reference,None,,
16,2.56,0.2,29.66,101.21,Artifact,Weak,,,37,1.3,0,1.36,0.17,Compound,None,,,58,-0.04,0.5,3.62,23.12,CS Reference,None,,
17,2.54,0.3,12.41,49.88,Artifact,Weak,,,38,1.28,0,0.91,0.1,Artifact,Weak,,,59,-0.18,0,1.69,0.68,CS Reference,Weak + C13_Sat,,
18,2.51,18.8,1.42,259.64,Solvent,None,,,39,1.26,0,1.39,0.24,Compound,None,,,60,-0.73,0,0.58,0.07,Artifact,Weak,,
19,2.5,48.3,1.67,909.68,Solvent,None,,,40,1.23,0.4,3.86,19.81,Compound,None,,,61,-2.94,0,0.58,0.06,Artifact,Weak,,
20,2.5,84.1,2.02,2083.47,Solvent,None,,,41,1.15,0.2,3.86,10.56,Compound,None,,,,,,,,,,,
21,2.5,55.4,1.73,1181.36,Solvent,None,,,42,1.11,0,0.95,0.11,Artifact,Weak,,,,,,,,,,,
