,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,3.41,0.3,27.28,122.43,Artifact,Weak,,,22,2.16,0,1.58,0.24,Impurity,Weak,,,43,0.99,0,1.05,0.09,Artifact,Weak,,
2,3.21,0.3,80.1,287.7,Artifact,Weak,,,23,1.91,0.1,1.09,1.17,Impurity,None,,,44,0.98,0,1.49,0.18,Artifact,Weak,,
3,2.68,0.1,1.38,1.54,Compound,Weak + C13_Sat,,,24,1.89,0.1,43.78,33.25,Compound,None,,,45,0.87,0,9.15,5.25,Compound,None,,
4,2.68,0.2,1.53,5.14,Solvent,Weak + C13_Sat,,,25,1.87,0,1.03,0.12,Artifact,Weak,,,46,0.86,0,2.71,0.36,Impurity,Weak,,
5,2.67,0.5,2.44,15.55,Solvent,Weak + C13_Sat,,,26,1.85,0,9.27,1.89,Compound,None,,,47,0.86,0.1,3.56,2.31,Impurity,None,,
6,2.67,0.3,1.6,5.89,Solvent,Weak + C13_Sat,,,27,1.84,0,3.42,0.71,Compound,None,,,48,0.85,0,1.24,0.25,Impurity,Weak,,
7,2.66,0.1,1.59,2.58,Solvent,Weak + C13_Sat,,,28,1.82,0,21.69,13.68,Compound,None,,,49,0.84,0,6.35,2.41,Impurity,None,,
8,2.65,0,2.69,0.39,Artifact,Weak,,,29,1.8,0,60.27,24.59,Compound,None,,,50,0.82,0.1,25.31,17.88,Compound,None,,
9,2.51,15.1,1.27,180.06,Compound,None,,,30,1.51,0,12.16,1.67,Artifact,Weak,,,51,0.13,0,1.22,0.17,Impurity,Weak,,
10,2.51,36.9,1.28,659.68,Solvent,None,,,31,1.26,0,3.44,1.04,Impurity,None,,,52,0.12,0,1.5,0.84,CS Reference,Weak + C13_Sat,,
11,2.5,90.5,2.82,3653.66,Solvent,None,,,32,1.24,0.3,4.11,20.77,Compound,None,,,53,0.09,0,31.76,20.63,Compound,None,,
12,2.5,39.2,1.31,644.32,Solvent,None,,,33,1.18,0,1.53,0.18,Artifact,Weak,,,54,0.07,0.4,2.79,18.13,Compound,None,,
13,2.5,23,1.74,520.79,Solvent,None,,,34,1.17,0,2.81,0.66,Compound,None,,,55,0.05,0.1,3.75,4.28,Compound,None,,
14,2.34,0.1,1.37,1.42,Compound,Weak + C13_Sat,,,35,1.15,0.2,4.07,11.66,Compound,None,,,56,0.04,0,0.8,0.12,Artifact,Weak,,
15,2.34,0.2,1.49,4.89,Solvent,Weak + C13_Sat,,,36,1.13,0,24.36,11.94,Compound,None,,,57,0,0.1,12.02,24.85,CS Reference,None,,
16,2.33,0.5,2.46,15.68,Solvent,Weak + C13_Sat,,,37,1.11,0.1,85.88,177.57,Compound,None,,,58,-0.02,0.3,2.36,9.39,CS Reference,None,,
17,2.33,0.3,1.7,6.7,Solvent,Weak + C13_Sat,,,38,1.08,0,0.64,0.07,Artifact,Weak,,,59,-0.03,9.1,1.44,154.89,CS Reference,None,,
18,2.32,0.1,1.37,1.77,Solvent,Weak + C13_Sat,,,39,1.06,0.1,152.83,176.09,Compound,None,,,60,-0.03,0.4,2.38,13.8,CS Reference,None,,
19,2.22,0,4.27,0.54,Artifact,Weak,,,40,1.03,0,6.81,1.74,Compound,None,,,61,-0.04,0.1,4.88,3.58,CS Reference,Weak,,
20,2.2,0,1.98,0.3,Impurity,Weak,,,41,1.02,0,3.34,0.9,Compound,None,,,62,-0.17,0,1.43,0.83,CS Reference,Weak + C13_Sat,,
21,2.18,0,3.37,0.59,Impurity,None,,,42,1,0,1.67,0.21,Impurity,Weak,,,,,,,,,,,
