,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.93,0,0.49,0.05,Artifact,Weak,,,27,2.68,0.1,2.92,4.94,Solvent,Weak + C13_Sat,,,53,1.28,0,2.14,0.93,Compound,None,,
2,11.47,0,0.93,0.1,Artifact,Weak,,,28,2.67,0.3,2.72,9.75,Solvent,Weak + C13_Sat,,,54,1.26,0.1,8.2,6.22,Compound,None,,
3,11.27,0,0.51,0.05,Artifact,Weak,,,29,2.67,0.4,2.38,11.93,Solvent,Weak + C13_Sat,,,55,1.23,0.5,4.81,34.76,Compound,None,,
4,7.51,0,4.85,1.02,Compound,None,,,30,2.66,0.2,2.08,5.69,Solvent,Weak + C13_Sat,,,56,1.19,0,1.04,0.1,Artifact,Weak,,
5,7.49,0,7.77,2.44,Compound,None,,,31,2.66,0.1,2.22,2.75,Solvent,Weak + C13_Sat,,,57,1.16,0,2.14,0.51,Compound,None,,
6,7.26,0,14.76,3.65,Compound,None,,,32,2.56,0.3,106.86,501.87,Artifact,Weak,,,58,1.15,0.2,4.11,10.84,Compound,None,,
7,7.08,0,16.89,3.04,Compound,None,,,33,2.51,25.5,3.97,1472.66,Solvent,None,,,59,1.12,0,2.58,0.41,Impurity,Weak,,
8,6.53,0,0.92,0.13,Compound,Weak,,,34,2.5,50.1,2.47,1551.22,Solvent,None,,,60,1.07,0,1.2,0.3,Compound,None,,
9,6.52,0.1,2.29,3.33,Compound,None,,,35,2.5,72.1,2.31,2004.35,Solvent,None,,,61,1.05,0,1.9,1.24,Compound,None,,
10,6.28,0,2.48,1.05,Compound,None,,,36,2.5,42.9,1.94,907.4,Solvent,None,,,62,1.04,0,1.57,0.24,Compound,None,,
11,5.41,0,4.64,1.07,Compound,None,,,37,2.49,19.2,1.92,389.85,Solvent,None,,,63,1,0,1.96,0.14,Artifact,Weak,,
12,5.39,0,0.59,0.06,Artifact,Weak,,,38,2.34,0.1,2.54,4.19,Solvent,Weak + C13_Sat,,,64,0.9,0,1.52,0.27,Impurity,None,,
13,5.33,0,3.19,0.31,Artifact,Weak,,,39,2.33,0.3,2.38,7.67,Solvent,Weak + C13_Sat,,,65,0.89,0,1.73,0.39,Impurity,None,,
14,5.32,0,3.62,0.59,Impurity,Weak,,,40,2.33,0.4,2.5,12.72,Solvent,Weak + C13_Sat,,,66,0.87,0,0.81,0.08,Artifact,Weak,,
15,4.78,0,0.78,0.06,Artifact,Weak,,,41,2.32,0.3,2.37,7.27,Solvent,Weak + C13_Sat,,,67,0.85,0.1,3.58,2.54,Compound,None,,
16,4.38,0,1.43,0.1,Artifact,Weak,,,42,2.32,0.1,1.74,1.6,Solvent,Weak + C13_Sat,,,68,0.83,0.1,29.89,40.71,Compound,None,,
17,4.36,0,2.33,0.33,Artifact,Weak,,,43,2.19,0,3.42,0.61,Compound,None,,,69,0.77,0,1.86,0.35,Impurity,None,,
18,4.35,0,2.1,0.26,Impurity,None,,,44,2.18,0,1.75,0.24,Compound,None,,,70,0.72,0,1.15,0.15,Artifact,Weak,,
19,4.32,0,0.39,0.04,Artifact,Weak,,,45,2.02,0,28.95,3.5,Compound,None,,,71,0.71,0,1.9,0.18,Artifact,Weak,,
20,3.93,0.1,37.35,47.88,Compound,None,,,46,1.91,0,2.23,0.95,Compound,None,,,72,0.2,0,0.6,0.05,Artifact,Weak,,
21,3.87,0,0.59,0.06,Artifact,Weak,,,47,1.84,0,4.52,0.94,Compound,None,,,73,0.08,0,2.05,0.24,Artifact,Weak,,
22,3.82,0,0.56,0.05,Artifact,Weak,,,48,1.55,0,12.2,5.6,Compound,None,,,74,0.07,0,2.85,1.22,Compound,None,,
23,3.51,0.2,2.79,7.61,Compound,None,,,49,1.48,0,0.6,0.05,Artifact,Weak,,,75,-1.68,0,0.81,0.09,Artifact,Weak,,
24,3.47,0,0.78,0.09,Artifact,Weak,,,50,1.47,0,28.04,3.19,Compound,None,,,76,-3.14,0,0.42,0.04,Artifact,Weak,,
25,3.45,0,0.31,0.04,Artifact,Weak,,,51,1.33,0,5.38,2.23,Compound,None,,,77,-3.42,0,0.5,0.05,Artifact,Weak,,
26,3.3,8,3.5,358.61,Compound,None,,,52,1.3,0,1.73,0.46,Compound,None,,,,,,,,,,,
