,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.92,0,0.73,0.06,Artifact,Weak,,,25,2.5,80,1.71,1699.89,Solvent,None,,
2,11.46,0,0.9,0.07,Artifact,Weak,,,26,2.5,55,1.61,1119.54,Solvent,None,,
3,10.2,0,1.22,0.28,Compound,None,,,27,2.49,20.5,1.28,284.89,Solvent,None,,
4,10.07,0,0.45,0.02,Artifact,Weak,,,28,2.34,0.1,1.63,2.54,Solvent,Weak + C13_Sat,,
5,8.32,0,0.95,0.21,Impurity,None,,,29,2.33,0.3,1.72,6.95,Solvent,Weak + C13_Sat,,
6,7.16,1.4,19.71,355.97,Compound,None,,,30,2.33,0.4,1.72,9.68,Solvent,Weak + C13_Sat,,
7,6.52,0.1,1.71,1.54,Compound,None,,,31,2.32,0.3,1.47,5.06,Solvent,Weak + C13_Sat,,
8,6.29,0,2.38,0.44,Compound,None,,,32,2.32,0.1,1.44,1.8,Solvent,Weak + C13_Sat,,
9,3.61,0,0.52,0.03,Artifact,Weak,,,33,2.21,0,2.65,0.17,Artifact,Weak,,
10,3.43,0.1,87.29,60.28,Artifact,Weak,,,34,2.18,0,1.76,0.18,Impurity,Weak,,
11,3.43,0,0.77,0.06,Artifact,Weak,,,35,2.16,0,1.66,0.16,Artifact,Weak,,
12,3.4,0.1,18.21,32,Artifact,Weak,,,36,1.91,0,1.19,0.59,Compound,None,,
13,3.14,0,42,6.01,Artifact,Weak,,,37,1.3,0,1.36,0.22,Impurity,None,,
14,3.11,0,2.23,1.38,Artifact,Weak,,,38,1.28,0,1.24,0.1,Artifact,Weak,,
15,2.68,0.1,1.61,2.58,Solvent,Weak + C13_Sat,,,39,1.26,0,2.13,0.74,Compound,None,,
16,2.67,0.3,1.68,6.5,Solvent,Weak + C13_Sat,,,40,1.25,0,3.59,1.44,Compound,None,,
17,2.67,0.4,1.7,9.5,Solvent,Weak + C13_Sat,,,41,1.23,0.3,3.23,13.23,Compound,None,,
18,2.66,0.3,1.52,5.57,Solvent,Weak + C13_Sat,,,42,1.15,0.2,3.45,6.57,Compound,None,,
19,2.66,0.1,1.45,2.01,Solvent,Weak + C13_Sat,,,43,0.87,0,4.11,0.76,Compound,None,,
20,2.63,0,22.83,2.04,Artifact,Weak,,,44,0.85,0,2.27,1.21,Compound,None,,
21,2.57,0.2,24.61,54.46,Artifact,Weak,,,45,0.83,0,7.14,2.35,Compound,None,,
22,2.52,1.5,15.54,277.53,Solvent,None,,,46,0.81,0,1.52,0.13,Artifact,Weak,,
23,2.51,24.3,1.61,504.21,Solvent,None,,,47,0.07,0,1.95,0.71,CS Reference,None,,
24,2.5,56.8,1.64,1224.91,Solvent,None,,,48,-3.14,0,0.75,0.06,Artifact,Weak,,
