,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0.1,5.74,5.65,Impurity,None,,,27,2.68,0.2,2.3,5.79,Solvent,Weak + C13_Sat,,,53,2.06,0,22.7,14.69,Compound,None,,,79,1.1,0.1,3.52,6.01,Compound,None,,
2,10.16,0,28.47,4.02,Impurity,Weak,,,28,2.67,0.4,3.28,19.18,Solvent,Weak + C13_Sat,,,54,2.04,0,6.11,1.58,Compound,Weak,,,80,1.09,0.1,7.53,8.58,Compound,None,,
3,8.17,0,4.19,2.43,Impurity,None,,,29,2.67,0.2,2.16,5.65,Solvent,Weak + C13_Sat,,,55,2.02,0,15.05,7.55,Compound,None,,,81,1.08,0.1,5.9,4.69,Compound,None,,
4,8.16,0,6.64,1.27,Impurity,Weak,,,30,2.66,0.1,1.5,1.3,Solvent,Weak + C13_Sat,,,56,1.91,0.3,1.85,6.42,Compound,None,,,82,1.07,0,11.16,4.58,Compound,None,,
5,7.49,0,1.88,0.23,Artifact,Weak,,,31,2.6,0.1,29.34,29.15,Artifact,Weak,,,57,1.84,0.3,79.43,278.92,Compound,None,,,83,1.06,0.1,8.28,6.1,Compound,None,,
6,7.15,0,5.92,0.77,Artifact,Weak,,,32,2.56,0.2,20.31,36.81,Artifact,Weak,,,58,1.83,0.2,45.38,111.61,Compound,None,,,84,1.05,0,6.41,3.07,Compound,None,,
7,7.13,0,2.24,0.46,Impurity,Weak,,,33,2.51,14,1.53,205.04,Compound,None,,,59,1.76,0.1,2.37,1.7,Impurity,None,,,85,1.05,0.3,130.49,382.57,Compound,None,,
8,7.08,0.1,161.82,235.6,Compound,None,,,34,2.51,35.8,1.99,858.32,Solvent,None,,,60,1.52,0,1.76,0.27,Artifact,Weak,,,86,1.03,0.1,6.83,7.46,Compound,None,,
9,4.9,0.1,208.24,268.18,Compound,None,,,35,2.51,86.4,3.2,3516.16,Solvent,None,,,61,1.5,0,26.95,11.38,Compound,None,,,87,1.02,0,6.15,1.22,Impurity,Weak,,
10,4.88,0,71.77,31,Compound,None,,,36,2.5,37.9,2.03,985.18,Solvent,None,,,62,1.48,0,6.87,1.52,Compound,None,,,88,0.92,0,1.49,0.42,Impurity,Weak,,
11,4,0,48.58,7.76,Artifact,Weak,,,37,2.5,14.8,1.53,246.94,Solvent,None,,,63,1.36,0,4.16,1.11,Impurity,Weak,,,89,0.91,0,1.96,0.64,Impurity,Weak,,
12,3.99,0,4.79,2.8,Impurity,None,,,38,2.43,0.3,55.64,199.35,Artifact,Weak,,,64,1.34,0.1,2.18,2.31,Impurity,None,,,90,0.87,0.1,10.57,14.08,Compound,None,,
13,3.9,0.1,117.37,116.98,Compound,None,,,39,2.38,0,4.61,1.95,Artifact,Weak,,,65,1.32,0,2.33,0.58,Impurity,Weak,,,91,0.86,0.1,3.65,6,Compound,None,,
14,3.83,0,0.85,0.09,Artifact,Weak,,,40,2.36,0,2.93,0.69,Artifact,Weak,,,66,1.3,0.1,2.8,2.71,Impurity,None,,,92,0.84,0.1,14.32,28.77,Compound,None,,
15,3.81,0,0.77,0.11,Artifact,Weak,,,41,2.34,0.1,1.48,1.01,Compound,Weak + C13_Sat,,,67,1.28,0.1,1.86,1.42,Compound,None,,,93,0.82,0.1,23.52,43.77,Compound,None,,
16,3.71,0.2,80.99,215.89,Artifact,Weak,,,42,2.34,0.2,2.13,5.23,Solvent,Weak + C13_Sat,,,68,1.27,0.2,120.32,293.21,Compound,None,,,94,0.79,0,1.42,0.26,Impurity,Weak,,
17,3.59,0,3.19,1.59,Artifact,Weak,,,43,2.33,0.4,3.43,19.61,Solvent,Weak + C13_Sat,,,69,1.26,0.2,24.05,59.44,Compound,None,,,95,0.69,0,0.71,0.08,Artifact,Weak,,
18,3.56,0,1.41,0.26,Artifact,Weak,,,44,2.33,0.2,2.33,6.75,Solvent,Weak + C13_Sat,,,70,1.24,0.9,4.33,52.45,Compound,None,,,96,0.1,0,31.3,12.46,Compound,None,,
19,3.51,0.1,4.01,6.67,Artifact,Weak,,,45,2.32,0,1.36,0.61,Solvent,Weak + C13_Sat,,,71,1.23,0.1,1.69,1.85,Compound,None,,,97,0.08,0,5.91,0.93,Impurity,Weak,,
20,3.5,0.1,10.36,9.99,Artifact,Weak,,,46,2.3,0,3.21,0.52,Artifact,Weak,,,72,1.19,0,2.6,1.43,Impurity,None,,,98,0.07,0.2,2.35,7.68,Compound,None,,
21,3.49,0.1,18.94,34.87,Artifact,Weak,,,47,2.27,0,7.8,2.18,Impurity,Weak,,,73,1.17,0.1,4.77,4.89,Compound,None,,,99,0,0,2.78,0.38,CS Reference,Weak,,
22,3.46,0.2,67.67,142.35,Artifact,Weak,,,48,2.2,0,4,0.78,Impurity,Weak,,,74,1.15,0.4,6.17,31.54,Compound,None,,,100,-0.01,0,1.27,0.15,CS Reference,Weak,,
23,3.43,0,31.92,22.17,Artifact,Weak,,,49,2.18,0,2.41,1.51,Impurity,None,,,75,1.14,0.1,4.11,3.46,Compound,None,,,101,-0.06,0,1.69,0.71,Impurity,None,,
24,3.25,1.1,41.38,435.88,Artifact,Weak,,,50,2.16,0,2.39,0.49,Impurity,Weak,,,76,1.13,0.1,6.58,9.23,Compound,None,,,,,,,,,,,
25,3.21,1,108.9,1322.94,Compound,None,,,51,2.1,0,1.75,0.37,Impurity,Weak,,,77,1.12,0.1,6.45,12.03,Compound,None,,,,,,,,,,,
26,2.68,0.1,2.36,1.58,Compound,Weak + C13_Sat,,,52,2.09,0,1.23,0.15,Artifact,Weak,,,78,1.11,0.1,5.71,8.48,Compound,None,,,,,,,,,,,
