,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.78,0,0.67,0.06,Artifact,Weak,,,26,2.33,0.3,1.77,6.59,Solvent,Weak + C13_Sat,,
2,10.23,0,0.65,0.09,Artifact,Weak,,,27,2.33,0.5,2.01,12.46,Solvent,Weak + C13_Sat,,
3,7.47,0,0.64,0.08,Artifact,Weak,,,28,2.32,0.3,1.74,6.5,Solvent,Weak + C13_Sat,,
4,6.96,0,1.21,0.18,Artifact,Weak,,,29,2.32,0.1,1.69,2.29,Solvent,Weak + C13_Sat,,
5,6.58,0,25.88,5.92,Impurity,Weak,,,30,1.9,0,1.96,0.61,Impurity,Weak,,
6,5.57,0,1.12,0.15,Artifact,Weak,,,31,1.51,0,2.38,0.34,Artifact,Weak,,
7,5.41,0,2.32,0.32,Artifact,Weak,,,32,1.23,0.2,3.73,10.17,Impurity,None,,
8,3.52,0.7,92.57,988.71,Compound,None,,,33,1.15,0.2,3.98,10.64,Impurity,None,,
9,3.43,1.4,37.03,514.75,Compound,None,,,34,1.01,0,1.72,0.27,Impurity,Weak,,
10,3.42,1,14.86,137.77,Artifact,Weak,,,35,1.01,0,1.29,0.2,Artifact,Weak,,
11,2.7,0.1,560.34,723.06,Compound,None,,,36,1,0,0.44,0.05,Artifact,Weak,,
12,2.68,0.1,1.75,2.45,Solvent,Weak + C13_Sat,,,37,1,0,2.23,0.5,Impurity,Weak,,
13,2.67,0.3,2.11,9.08,Solvent,Weak + C13_Sat,,,38,0.99,0,1.16,0.15,Artifact,Weak,,
14,2.67,0.4,1.88,11.02,Solvent,Weak + C13_Sat,,,39,0.97,0,0.65,0.08,Artifact,Weak,,
15,2.66,0.3,1.79,7.14,Solvent,Weak + C13_Sat,,,40,0.85,0,45.27,28.69,Impurity,None,,
16,2.66,0.1,1.52,2.05,Solvent,Weak + C13_Sat,,,41,0.85,0,1.18,0.19,Impurity,Weak,,
17,2.57,0.4,97.99,541.56,Compound,None,,,42,0.83,0,1,0.13,Artifact,Weak,,
18,2.53,1,40.22,568.78,Compound,None,,,43,0.12,0,1.54,0.89,CS Reference,Weak + C13_Sat,,
19,2.52,2.6,12.64,481.41,Solvent,None,,,44,0.09,0,0.46,0.07,Artifact,Weak,,
20,2.51,21.1,1.73,490.79,Solvent,None,,,45,0.07,0.1,2.27,2.68,Impurity,Weak,,
21,2.5,55.5,2.01,1451.33,Solvent,None,,,46,0.02,0,0.7,0.08,Artifact,Weak,,
22,2.5,74.8,1.77,1614.78,Solvent,None,,,47,0,0,1.9,0.33,CS Reference,Weak,,
23,2.5,52.9,1.77,1130.67,Solvent,None,,,48,-0.03,9.5,1.32,146.57,CS Reference,None,,
24,2.49,21,1.57,377.9,Solvent,None,,,49,-0.04,0.9,6.28,84.18,CS Reference,None,,
25,2.34,0.1,1.61,2.44,Solvent,Weak + C13_Sat,,,50,-0.18,0,1.71,1,CS Reference,Weak + C13_Sat,,
