,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.05,0,0.63,0.11,Artifact,Weak,,,26,2.32,0.2,2.87,7.7,Solvent,Weak + C13_Sat,,
2,14.04,0,0.66,0.12,Impurity,Weak,,,27,2.32,0.1,2.88,2.9,Artifact,Weak,,
3,13.03,0,0.94,0.15,Artifact,Weak,,,28,2.23,0,183.9,73.82,Compound,None,,
4,12.76,0,0.56,0.07,Artifact,Weak,,,29,2.18,0,2.04,0.51,Impurity,None,,
5,11.23,0,0.71,0.11,Artifact,Weak,,,30,2.16,0,0.74,0.12,Artifact,Weak,,
6,10.68,0,1.07,0.17,Artifact,Weak,,,31,2.02,0,0.38,0.05,Artifact,Weak,,
7,8.01,0,0.78,0.07,Artifact,Weak,,,32,1.91,0,2.45,0.73,Impurity,None,,
8,7.84,0,1.09,0.17,Artifact,Weak,,,33,1.48,0,23.11,4.15,Compound,None,,
9,6.52,0.2,3.9,8.93,Compound,None,,,34,1.33,0,2.18,0.25,Artifact,Weak,,
10,6.28,0,5.59,0.69,Artifact,Weak,,,35,1.25,0.1,120.4,102.54,Compound,None,,
11,5.72,0,0.87,0.09,Artifact,Weak,,,36,1.23,0.5,5.89,38.55,Compound,None,,
12,5.42,0,4.88,1.33,Compound,None,,,37,1.18,0,1.76,0.31,Artifact,Weak,,
13,3.53,0,0.54,0.08,Artifact,Weak,,,38,1.15,0.2,5.12,12.92,Compound,None,,
14,3.51,0,3.37,2.22,Artifact,Weak,,,39,1.05,0,1.08,0.19,Artifact,Weak,,
15,3.43,0.1,84.6,127.67,Artifact,Weak,,,40,1.02,0,72.79,37.65,Compound,None,,
16,2.67,0.3,3.57,16.28,Solvent,Weak + C13_Sat,,,41,0.87,0,2.67,0.55,Compound,None,,
17,2.67,0.3,3.17,13.07,Solvent,Weak + C13_Sat,,,42,0.85,0.1,13.19,15.31,Compound,None,,
18,2.66,0.2,2.93,8.64,Solvent,Weak + C13_Sat,,,43,0.83,0,2.64,0.84,Compound,None,,
19,2.66,0.1,2.72,2.8,Artifact,Weak,,,44,0.83,0,1.36,0.13,Artifact,Weak,,
20,2.56,0.3,53.23,239.12,Artifact,Weak,,,45,0.79,0,34.36,14.61,Compound,None,,
21,2.51,42,3.18,1904.55,Solvent,None,,,46,0.08,0,1.92,0.81,CS Reference,None,,
22,2.5,76.4,3.26,3510.95,Solvent,None,,,47,0.07,0.1,4.5,5.56,CS Reference,None,,
23,2.49,50.8,2.51,1849.68,Solvent,None,,,48,0.05,0,1.52,0.23,CS Reference,Weak,,
24,2.33,0.3,4.56,15.13,Solvent,Weak + C13_Sat,,,49,-2.18,0,0.79,0.09,Artifact,Weak,,
25,2.33,0.3,3.43,14.92,Solvent,Weak + C13_Sat,,,,,,,,,,,
