,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.33,0,0.55,0.06,Artifact,Weak,,,29,4.77,0,3.33,0.51,Compound,None,,,57,3.49,0,2.16,0.37,Artifact,Weak,,,85,3.01,0,6.9,3.51,Artifact,Weak,,,113,2.32,0.2,2.02,5.18,Solvent,Weak + C13_Sat,,,141,1.09,0,2.74,1.48,Compound,None,,
2,10.2,0.1,5.37,4.22,Compound,None,,,30,4.64,0.1,15.24,13.52,Compound,None,,,58,3.48,0,3.66,1.43,Artifact,Weak,,,86,2.99,0,1.06,0.23,Artifact,Weak,,,114,2.31,0.2,2.01,4.68,Compound,None,,,142,1.08,0.1,3.9,5.54,Compound,None,,
3,8.34,0,0.79,0.08,Artifact,Weak,,,31,4.56,0,0.87,0.08,Artifact,Weak,,,59,3.47,0.1,5.43,5.69,Artifact,Weak,,,87,2.91,0,3.56,2.19,Compound,None,,,115,2.28,0,2.44,0.19,Artifact,Weak,,,143,1.07,0.1,3.76,4.56,Compound,None,,
4,8.33,0,1.84,0.21,Artifact,Weak,,,32,4.47,0.2,20.83,31.69,Compound,None,,,60,3.46,0,3.13,1.86,Artifact,Weak,,,88,2.9,0,3.45,1.02,Compound,None,,,116,2.26,0,1.32,0.1,Artifact,Weak,,,144,1.06,0,1.7,0.38,Compound,None,,
5,7.9,0,2.27,0.18,Artifact,Weak,,,33,4.36,0,5.03,2.12,Compound,None,,,61,3.44,0,4.69,1.81,Artifact,Weak,,,89,2.89,0.1,4.82,3.86,Compound,None,,,117,2.22,0.1,14.13,8.57,Compound,None,,,145,1.05,0,1.64,0.62,Compound,None,,
6,7.7,0,4.58,0.72,Impurity,None,,,34,4.28,0,2.65,1.17,Compound,None,,,62,3.44,0,43.74,21.22,Artifact,Weak,,,90,2.88,0.1,7.03,5.49,Compound,None,,,118,2.17,0,3.72,0.76,Impurity,None,,,146,1.04,0,2.17,0.57,Compound,None,,
7,7.44,0,2.12,0.23,Artifact,Weak,,,35,4.26,0.1,6.98,8.31,Compound,None,,,63,3.43,0.1,37.8,36.3,Artifact,Weak,,,91,2.87,0,2.35,0.51,Compound,None,,,119,2.09,0.1,2.87,4.62,Compound,None,,,147,1.03,0,1.28,0.09,Artifact,Weak,,
8,7.37,0,0.64,0.06,Artifact,Weak,,,36,4.24,0.1,2.96,2.02,Compound,None,,,64,3.42,0.1,6.02,6.81,Artifact,Weak,,,92,2.86,0,4.02,0.96,Compound,None,,,120,2.08,0.1,1.57,1.93,Compound,None,,,148,1.03,0.1,133,99.11,Compound,None,,
9,7.24,0.2,263.76,675.97,Compound,None,,,37,4.17,0,3.52,0.31,Impurity,Weak,,,65,3.38,0.5,12.64,90.96,Artifact,Weak,,,93,2.75,0,1.35,0.53,Impurity,None,,,121,2.06,0.1,5.63,4.46,Compound,None,,,149,1.03,0,2.03,0.32,Impurity,Weak,,
10,6.57,0.1,4.51,4.55,Compound,None,,,38,3.95,0,3.22,0.48,Impurity,Weak,,,66,3.26,0.1,4.66,5.01,Artifact,Weak,,,94,2.72,0,0.85,0.06,Artifact,Weak,,,122,2.06,0,1.25,0.24,Impurity,Weak,,,150,1.02,0.1,3.33,2.21,Compound,None,,
