,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.67,0,0.8,0.06,Artifact,Weak,,,26,2.52,1.3,10.19,198.53,Solvent,Weak,,
2,14.75,0,0.59,0.06,Artifact,Weak,,,27,2.51,24.8,2.07,682.56,Solvent,None,,
3,14.21,0,0.53,0.05,Artifact,Weak,,,28,2.5,55.4,1.88,1344.51,Solvent,None,,
4,12.4,0,0.36,0.04,Artifact,Weak,,,29,2.5,75.6,1.79,1634.72,Solvent,None,,
5,11.18,0,0.67,0.06,Artifact,Weak,,,30,2.5,53.4,1.86,1194.79,Solvent,None,,
6,10.2,0,0.64,0.07,Artifact,Weak,,,31,2.49,22.1,1.73,465.96,Solvent,None,,
7,9.23,0,0.46,0.04,Artifact,Weak,,,32,2.34,0.1,2.07,3.7,Solvent,Weak + C13_Sat,,
8,7.83,0,0.74,0.08,Artifact,Weak,,,33,2.33,0.3,1.91,7.63,Solvent,Weak + C13_Sat,,
9,7.51,0,0.74,0.06,Artifact,Weak,,,34,2.33,0.4,1.93,10.66,Solvent,Weak + C13_Sat,,
10,6.68,0,0.61,0.05,Artifact,Weak,,,35,2.32,0.3,1.78,6.51,Solvent,Weak + C13_Sat,,
11,6.53,0,2.06,0.71,Compound,None,,,36,2.32,0.1,1.75,2.5,Solvent,Weak + C13_Sat,,
12,6.52,0.1,1.79,2.73,Compound,None,,,37,1.91,0,1.3,0.58,Impurity,None,,
13,6.28,0,2.06,0.9,Compound,None,,,38,1.3,0,1.23,0.14,Artifact,Weak,,
14,6.03,0,0.4,0.03,Artifact,Weak,,,39,1.23,0.1,4.46,8.49,Compound,None,,
15,5.41,0,3.13,0.59,Impurity,None,,,40,1.15,0.2,3.97,10.18,Compound,None,,
16,4.04,0,0.36,0.03,Artifact,Weak,,,41,1.01,0,3.49,0.48,Impurity,Weak,,
17,3.51,0,2.38,0.38,Impurity,Weak,,,42,1,0,2.54,0.34,Impurity,Weak,,
18,2.72,0,0.41,0.04,Artifact,Weak,,,43,0.86,0,67.37,10.34,Compound,None,,
19,2.69,0,1.01,0.09,Artifact,Weak,,,44,0.85,0,3.27,0.78,Compound,None,,
20,2.68,0.1,2.03,3.27,Solvent,Weak + C13_Sat,,,45,0.82,0,27.23,3.57,Compound,None,,
21,2.67,0.3,2.11,8.81,Solvent,Weak + C13_Sat,,,46,0.71,0,0.83,0.07,Artifact,Weak,,
22,2.67,0.4,1.83,10.14,Solvent,Weak + C13_Sat,,,47,0.07,0,2.05,0.61,Impurity,None,,
23,2.66,0.3,1.83,6.83,Solvent,Weak + C13_Sat,,,48,-1.97,0,0.59,0.05,Artifact,Weak,,
24,2.66,0.1,1.78,2.76,Solvent,Weak + C13_Sat,,,49,-2.14,0,0.65,0.05,Artifact,Weak,,
25,2.56,0.1,32.42,59.63,Artifact,Weak,,,,,,,,,,,
