,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.54,0,0.85,0.09,Artifact,Weak,,,27,4.9,0.1,2.73,3.1,Compound,None,,,53,4.31,0.1,2.88,2.81,Compound,None,,,79,3.45,0.1,2.77,1.95,Compound,None,,,105,2.76,0,0.7,0.09,Artifact,Weak,,,131,1.88,0.1,5.37,5.68,Compound,None,,
2,13.7,0,0.43,0.05,Artifact,Weak,,,28,4.89,0.1,2.05,1.25,Compound,None,,,54,4.3,0,2.32,0.51,Compound,None,,,80,3.44,0.1,2.41,1.87,Compound,None,,,106,2.75,0,0.86,0.1,Artifact,Weak,,,132,1.83,0,4.86,1.09,Compound,None,,
3,11.86,0,0.83,0.09,Artifact,Weak,,,29,4.88,0.1,2.33,3.44,Compound,None,,,55,4.28,0,1.63,0.76,Compound,None,,,81,3.43,0,0.92,0.14,Artifact,Weak,,,107,2.68,0.1,1.2,1.86,Solvent,Weak + C13_Sat,,,133,1.82,0,16.28,3.71,Compound,None,,
4,10.2,0,1.63,1.04,Compound,None,,,30,4.87,0.1,2.28,3.15,Compound,None,,,56,4.26,0.1,2.66,1.79,Compound,None,,,82,3.42,0.1,3.46,2.38,Artifact,Weak,,,108,2.67,0.3,1.68,6.9,Solvent,Weak + C13_Sat,,,134,1.81,0,0.77,0.07,Artifact,Weak,,
5,8.63,0,0.67,0.06,Artifact,Weak,,,31,4.82,0.2,3.19,5.42,Compound,None,,,57,4.25,0.1,1.9,1.22,Compound,None,,,83,3.4,0,3.59,1.93,Artifact,Weak,,,109,2.67,0.5,1.59,10,Solvent,Weak + C13_Sat,,,135,1.77,0,2.73,1.15,Compound,None,,
6,8.41,0.1,6.69,6.1,Compound,None,,,32,4.81,0.2,3.41,6.55,Compound,None,,,58,4.13,0.1,2.28,2.19,Compound,None,,,84,3.39,0.1,2.62,2.55,Artifact,Weak,,,110,2.66,0.3,1.46,5.85,Solvent,Weak + C13_Sat,,,136,1.47,0,24.3,7.69,Compound,None,,
7,8.03,0,0.54,0.06,Artifact,Weak,,,33,4.76,0.1,3.49,5.92,Compound,None,,,59,4.11,0.1,2.41,2.54,Compound,None,,,85,3.37,0.1,2.73,2.51,Artifact,Weak,,,111,2.66,0.1,1.44,2.33,Solvent,Weak + C13_Sat,,,137,1.33,0,1.51,0.34,Impurity,None,,
8,7.86,0,1.04,0.12,Artifact,Weak,,,34,4.74,0.2,4.01,7.63,Compound,None,,,60,3.68,0,1,0.12,Artifact,Weak,,,86,3.35,0.2,14.36,37.94,Artifact,Weak,,,112,2.52,0.2,1.17,3.2,Solvent,Weak,,,138,1.3,0,1.46,0.6,Compound,None,,
9,7.84,0,0.82,0.09,Artifact,Weak,,,35,4.74,0.1,2.86,2.68,Compound,None,,,61,3.66,0,2.69,0.92,Compound,None,,,87,3.25,0,2.59,0.85,Artifact,Weak,,,113,2.52,0.1,0.85,1.19,Artifact,Weak,,,139,1.26,0.1,1.64,1.26,Compound,None,,
10,7.79,0,2.25,0.37,Impurity,Weak,,,36,4.62,0.1,2.72,2.58,Compound,None,,,62,3.65,0,6.37,2.55,Compound,None,,,88,3.23,0,1.41,0.66,Artifact,Weak,,,114,2.51,21.8,1.31,318.6,Solvent,None,,,140,1.23,0.7,3.79,37.39,Compound,None,,
11,7.69,0,4.38,0.7,Compound,None,,,37,4.6,0.1,2.6,2.2,Compound,None,,,63,3.63,0,4.61,1.98,Compound,None,,,89,3.21,0,1.67,0.33,Artifact,Weak,,,115,2.5,56.3,1.6,1098.19,Solvent,None,,,141,1.19,0,2.72,0.44,Impurity,Weak,,
12,7.24,0,48.46,7.33,Artifact,Weak,,,38,4.58,0.1,2.26,3.14,Compound,None,,,64,3.61,0,1.2,0.21,Impurity,Weak,,,90,3.16,0,1.85,0.4,Artifact,Weak,,,116,2.5,83.8,1.57,1685.06,Solvent,None,,,142,1.15,0.1,3.98,2.54,Compound,None,,
13,6.57,0.1,1.83,2.28,Compound,None,,,39,4.57,0.1,1.94,2.38,Compound,None,,,65,3.61,0,1.08,0.28,Impurity,None,,,91,3.15,0,1.37,0.24,Artifact,Weak,,,117,2.5,55.9,1.57,1122.54,Solvent,None,,,143,1.13,0,0.61,0.07,Artifact,Weak,,
14,6.55,0.1,1.95,2.44,Compound,None,,,40,4.48,0.1,2.27,1.69,Compound,None,,,66,3.59,0,1.46,0.3,Impurity,None,,,92,3.13,0.2,2.78,6.66,Compound,None,,,118,2.49,20.9,1.37,328.56,Solvent,None,,,144,1.13,0,0.5,0.06,Artifact,Weak,,
15,6.34,0,1.23,0.15,Artifact,Weak,,,41,4.46,0.1,3.09,2.98,Compound,None,,,67,3.59,0,1.14,0.13,Impurity,Weak,,,93,3.11,0.1,2.26,3.94,Compound,Weak + C13_Sat,,,119,2.34,0.1,1.3,2.02,Solvent,Weak + C13_Sat,,,145,1.07,0,1.62,0.83,Compound,None,,
16,6.2,0.1,2.36,2.33,Compound,None,,,42,4.46,0,1.12,0.21,Compound,None,,,68,3.58,0.1,2.35,1.64,Compound,None,,,94,3.1,0.1,5,8.2,Compound,None,,,120,2.33,0.3,1.57,6.66,Solvent,Weak + C13_Sat,,,146,1.07,0,1.44,0.62,Compound,None,,
17,6.19,0.1,2.8,2.32,Compound,None,,,43,4.45,0.1,3.5,2.26,Compound,None,,,69,3.57,0.1,2.52,2.64,Compound,None,,,95,3.07,0,2.79,0.38,Compound,None,,,121,2.33,0.5,1.58,9.42,Solvent,Weak + C13_Sat,,,147,1.05,0.1,2.54,1.75,Compound,None,,
18,6.16,0,0.94,0.15,Artifact,Weak,,,44,4.44,0.1,2.14,1.87,Compound,None,,,70,3.56,0.1,2.39,1.78,Compound,None,,,96,3.06,0,1.46,0.64,Compound,None,,,122,2.32,0.3,1.61,7.04,Solvent,Weak + C13_Sat,,,148,1.02,0,1.24,0.22,Impurity,Weak,,
19,6.03,0,0.47,0.05,Artifact,Weak,,,45,4.42,0.1,1.95,1.88,Compound,None,,,71,3.54,0.1,6.22,10.27,Compound,None,,,97,3.04,0.1,3,2.51,Compound,None,,,123,2.32,0.1,1.31,1.91,Solvent,Weak + C13_Sat,,,149,1.01,0,1.08,0.13,Artifact,Weak,,
