,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.06,0,0.63,0.06,Artifact,Weak,,,29,3.02,0,3.31,1.46,Artifact,Weak,,,57,2.23,0,3.81,1.64,Impurity,None,,,85,1.32,0,1.09,0.09,Artifact,Weak,,,113,0.83,0.1,2.99,4.35,Compound,None,,
2,7.76,0,1.39,0.14,Artifact,Weak,,,30,3.01,0,2.45,1.13,Artifact,Weak,,,58,2.21,0,3.36,0.82,Impurity,None,,,86,1.3,0,1.54,0.28,Impurity,Weak,,,114,0.82,0,1.24,0.31,Impurity,Weak,,
3,7.65,0,0.46,0.04,Artifact,Weak,,,31,2.99,0,2.06,0.47,Artifact,Weak,,,59,2.2,0,3.93,1.03,Impurity,None,,,87,1.28,0,1.1,0.22,Impurity,Weak,,,115,0.82,0,1.85,0.57,Impurity,None,,
4,7.55,0,13.97,2.33,Compound,None,,,32,2.69,0,20.09,12.32,Artifact,Weak,,,60,2.18,0,3.42,1.48,Impurity,None,,,88,1.26,0,0.73,0.11,Impurity,Weak,,,116,0.81,0,3.12,1.05,Compound,None,,
5,7.39,0,1.29,0.27,Impurity,Weak,,,33,2.68,0.2,1.4,2.81,Solvent,Weak + C13_Sat,,,61,2.16,0,2.38,0.67,Impurity,None,,,89,1.25,0.1,13.58,17.43,Compound,None,,,117,0.8,0,5.07,2.79,Compound,None,,
6,7.39,0,1.61,0.61,Impurity,None,,,34,2.67,0.4,1.4,6.67,Solvent,Weak + C13_Sat,,,62,2.12,0.1,2.88,2.36,Compound,None,,,90,1.23,0.1,2.83,5.84,Compound,None,,,118,0.78,0,2.61,0.4,Impurity,Weak,,
7,7.38,0,0.75,0.08,Artifact,Weak,,,35,2.67,0.5,1.44,9.41,Solvent,Weak + C13_Sat,,,63,2.09,0,1.65,0.41,Impurity,None,,,91,1.22,0,0.98,0.11,Impurity,Weak,,,119,0.12,0.1,1.15,0.87,CS Reference,Weak + C13_Sat,,
8,7.26,0,1.89,0.29,Impurity,Weak,,,36,2.66,0.4,1.45,6.64,Solvent,Weak + C13_Sat,,,64,2.04,0,21.1,9.58,Compound,None,,,92,1.21,0,4.99,0.55,Artifact,Weak,,,120,0.11,0,0.7,0.08,Artifact,Weak,,
9,7.24,0,4.51,0.54,Impurity,Weak,,,37,2.66,0.1,1.12,1.63,Solvent,Weak + C13_Sat,,,65,1.9,0,2.16,1.06,Impurity,None,,,93,1.18,0,2.08,0.47,Impurity,None,,,121,0.08,0,4.15,1.85,Compound,None,,
10,6.68,0,0.89,0.09,Artifact,Weak,,,38,2.56,0.5,20.36,130.08,Compound,None,,,66,1.83,0,2.63,0.84,Compound,None,,,94,1.16,0,2.34,0.51,Compound,None,,,122,0.07,0.6,1.31,10.82,Compound,None,,
11,6.01,0,1.04,0.29,Impurity,None,,,39,2.52,0.7,2.45,22.93,Solvent,Weak,,,67,1.82,0.1,48.95,29.41,Compound,None,,,95,1.15,0.2,3.8,10.65,Compound,None,,,123,0.06,0,0.67,0.08,Impurity,Weak,,
