,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
14,7.48,0.2,1.74,4.94,Compound,None,,,41,4.74,0.2,3.28,6.45,Compound,None,,,68,4.13,0.1,2.46,2.65,Compound,None,,,95,3.43,0,1.25,0.27,Artifact,Weak,,,122,2.88,0,2.72,1.78,Compound,None,,,149,2.21,0,2.33,0.39,Compound,Weak,,,176,1.23,1.8,3.86,99.53,Compound,None,,,203,0.79,0.2,2.57,5.89,Compound,None,,
15,7.23,0,27.41,4.76,Compound,None,,,42,4.74,0,1.52,0.34,Compound,None,,,69,4.11,0.1,2.32,2.21,Compound,None,,,96,3.42,0.1,4.24,6.26,Artifact,Weak,,,123,2.87,0,0.71,0.06,Artifact,Weak,,,150,2.19,0,2.66,0.96,Compound,None,,,177,1.19,0.1,8.66,14.55,Compound,None,,,204,0.78,0.1,1.74,3.22,Compound,None,,
16,7.13,0.1,2.01,1.51,Compound,None,,,43,4.62,0.1,2.8,3.85,Compound,None,,,70,4.03,0,1.63,0.15,Artifact,Weak,,,97,3.4,0.6,77.23,704.37,Artifact,Weak,,,124,2.87,0,1.99,0.58,Compound,None,,,151,2.18,0,9.1,3.54,Compound,None,,,178,1.17,0.1,6.4,10.15,Compound,None,,,205,0.77,0.1,2.32,1.9,Compound,None,,
17,7.11,0,2.37,1.38,Compound,None,,,44,4.6,0.1,2.6,3.25,Compound,None,,,71,4.01,0,1.76,0.36,Impurity,None,,,98,3.39,0.5,15.47,85.96,Artifact,Weak,,,125,2.85,0,1.8,0.59,Compound,None,,,152,2.15,0.1,9.92,7.17,Compound,None,,,179,1.17,0.1,1.95,2.49,Compound,None,,,206,0.76,0.1,1.56,1.26,Compound,None,,
18,7.09,0.2,3.3,7.81,Compound,None,,,45,4.59,0.1,2.51,2.07,Compound,None,,,72,3.99,0,0.62,0.08,Artifact,Weak,,,99,3.37,1.2,12.54,155.09,Artifact,Weak,,,126,2.71,0,1.9,0.41,Impurity,None,,,153,2.14,0,2.98,0.27,Artifact,Weak,,,180,1.15,0.1,1.99,2.11,Compound,None,,,207,0.71,0,1.56,0.76,Compound,None,,
19,7.07,0.2,3.08,5.51,Compound,None,,,46,4.57,0.1,2.16,1.62,Compound,None,,,73,3.91,0,0.76,0.1,Artifact,Weak,,,100,3.26,0,1.2,0.22,Artifact,Weak,,,127,2.68,0.1,1.5,2.7,Solvent,Weak + C13_Sat,,,154,2.09,0,2.19,1.18,Compound,None,,,181,1.11,0,2.33,0.78,Compound,None,,,208,0.69,0.1,1.67,1.57,Compound,None,,
20,6.79,0,13.97,2.65,Compound,None,,,47,4.55,0,1.33,0.29,Compound,Weak,,,74,3.68,0,2.43,0.69,Compound,None,,,101,3.23,0,0.96,0.18,Artifact,Weak,,,128,2.67,0.3,1.64,7.44,Solvent,Weak + C13_Sat,,,155,2.08,0,1.08,0.31,Compound,None,,,182,1.09,0,3.08,1.02,Compound,None,,,209,0.67,0,2.14,0.83,Compound,None,,
21,6.57,0.1,1.9,3.63,Compound,None,,,48,4.48,0.1,2.33,2.04,Compound,None,,,75,3.66,0,1.68,0.45,Compound,None,,,102,3.16,0,1.52,0.29,Artifact,Weak,,,129,2.67,0.5,1.5,8.8,Solvent,Weak + C13_Sat,,,156,2.06,0,22.1,7.38,Compound,None,,,183,1.07,0.1,2.08,2.05,Compound,None,,,210,0.07,0.1,1.99,2.84,Compound,None,,
22,6.55,0.1,1.84,3.22,Compound,None,,,49,4.46,0.1,2.6,3.76,Compound,None,,,76,3.65,0,1.55,0.48,Compound,None,,,103,3.15,0,1.16,0.15,Artifact,Weak,,,130,2.66,0.3,1.45,5.85,Solvent,Weak + C13_Sat,,,157,2.03,0,5.43,0.8,Compound,None,,,184,1.06,0.1,3.2,1.94,Compound,None,,,211,-2,0,0.7,0.1,Artifact,Weak,,
23,6.2,0.1,2.46,3.33,Compound,None,,,50,4.46,0,1.17,0.24,Compound,Weak,,,77,3.65,0,1.74,0.64,Compound,None,,,104,3.13,0.2,2.65,6.93,Compound,None,,,131,2.66,0.1,1.37,2.1,Solvent,Weak + C13_Sat,,,158,2.01,0,8.53,2.15,Compound,None,,,185,1.04,0,1.54,0.45,Compound,None,,,,,,,,,,,
24,6.19,0.1,2.27,3.06,Compound,None,,,51,4.45,0.1,2.44,2.1,Compound,None,,,78,3.64,0,2.43,0.84,Compound,None,,,105,3.12,0,1.8,0.78,Compound,None,,,132,2.55,0.4,26.37,160.36,Compound,None,,,159,1.88,0.1,3.68,3.75,Compound,None,,,186,1.02,0,6.12,2.47,Compound,None,,,,,,,,,,,
25,5.87,0,0.78,0.08,Artifact,Weak,,,52,4.44,0.1,2.48,3.28,Compound,None,,,79,3.63,0,1.74,0.46,Compound,None,,,106,3.11,0.2,2.99,6.86,Compound,None,,,133,2.52,0.5,2.05,13.26,Solvent,Weak,,,160,1.83,0.1,3.87,3.56,Compound,None,,,187,1,0,2.29,0.6,Compound,None,,,,,,,,,,,
26,5.57,0,2.45,0.34,Artifact,Weak,,,53,4.42,0.1,2.09,2.45,Compound,None,,,80,3.61,0,1.04,0.17,Impurity,Weak,,,107,3.1,0.1,3.93,5.27,Compound,None,,,134,2.52,0.6,1.97,16.82,Solvent,Weak,,,161,1.82,0,1.42,0.43,Compound,None,,,188,0.98,0,1.62,0.31,Compound,None,,,,,,,,,,,
27,5.43,0,28.69,3.48,Compound,None,,,54,4.4,0.1,1.99,1.39,Compound,None,,,81,3.61,0,1.71,0.56,Impurity,None,,,108,3.08,0,2.08,0.91,Compound,None,,,135,2.51,25.8,1.5,478.38,Solvent,None,,,162,1.81,0,1.55,0.35,Impurity,Weak,,,189,0.95,0,2.1,0.28,Impurity,Weak,,,,,,,,,,,
