,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.54,0,0.36,0.03,Artifact,Weak,,,29,2.34,0.1,1.24,2.14,Solvent,Weak + C13_Sat,,
2,14.09,0,0.64,0.05,Artifact,Weak,,,30,2.33,0.3,1.41,6.32,Solvent,Weak + C13_Sat,,
3,13.74,0,0.47,0.03,Artifact,Weak,,,31,2.33,0.5,1.44,9.42,Solvent,Weak + C13_Sat,,
4,12.91,0,0.97,0.06,Artifact,Weak,,,32,2.32,0.3,1.26,4.62,Solvent,Weak + C13_Sat,,
5,12.55,0,0.36,0.03,Artifact,Weak,,,33,2.32,0.1,1.37,2.21,Solvent,Weak + C13_Sat,,
6,9.83,0,0.83,0.06,Artifact,Weak,,,34,1.91,0,0.81,0.48,Impurity,None,,
7,9.4,0,0.62,0.05,Artifact,Weak,,,35,1.34,0,1.2,0.09,Artifact,Weak,,
8,8.32,0,0.84,0.11,Impurity,Weak,,,36,1.3,0,2.25,0.23,Impurity,Weak,,
9,7.16,5.6,12,857.48,Compound,None,,,37,1.28,0,1.15,0.11,Impurity,Weak,,
10,6.53,0,2.52,0.89,Compound,None,,,38,1.26,0,1.74,0.67,Impurity,None,,
11,6.52,0.3,1.99,6.79,Compound,None,,,39,1.25,0,1.83,0.4,Compound,Weak,,
12,5.44,0,4.78,0.83,Impurity,Weak,,,40,1.23,0.2,3.39,11.37,Compound,None,,
13,4.8,0,0.96,0.07,Artifact,Weak,,,41,1.2,0,98.13,17.85,Compound,None,,
14,4.04,0,2.4,0.34,Impurity,Weak,,,42,1.15,0.1,1.75,1.89,Compound,None,,
15,3.51,0,3.16,0.74,Impurity,Weak,,,43,1.15,0.2,1.86,3.71,Compound,None,,
16,3.36,0.1,14.74,19.34,Artifact,Weak,,,44,1.14,0.1,1.74,2,Compound,None,,
17,2.68,0.1,1.21,2,Solvent,Weak + C13_Sat,,,45,1.04,0,81.89,16.31,Compound,None,,
18,2.67,0.3,1.45,6.46,Solvent,Weak + C13_Sat,,,46,1.02,0,2.45,0.41,Impurity,Weak,,
19,2.67,0.5,1.46,8.72,Solvent,Weak + C13_Sat,,,47,1,0,1.4,0.19,Impurity,Weak,,
20,2.66,0.3,1.35,5.57,Solvent,Weak + C13_Sat,,,48,0.99,0,1.02,0.22,Impurity,Weak,,
21,2.66,0.1,1.24,1.7,Solvent,Weak + C13_Sat,,,49,0.97,0,0.67,0.06,Impurity,Weak,,
22,2.52,0.3,1.2,5.13,Solvent,Weak,,,50,0.87,0,2.35,0.36,Impurity,Weak,,
23,2.52,0.2,0.76,1.56,Solvent,Weak,,,51,0.85,0,1.75,0.65,Compound,None,,
24,2.51,24.2,1.22,347.65,Solvent,None,,,52,0.83,0,32.28,19.11,Compound,None,,
25,2.5,59.4,1.5,1133.23,Solvent,None,,,53,0.81,0,1.02,0.08,Artifact,Weak,,
26,2.5,84.2,1.33,1463.17,Solvent,None,,,54,0.07,0,1.76,0.9,CS Reference,None,,
27,2.5,59.1,1.4,1052.15,Solvent,None,,,55,-1.1,0,0.31,0.03,Artifact,Weak,,
28,2.49,21.9,1.15,267.92,Solvent,None,,,,,,,,,,,
