,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.8,0,0.41,0.05,Artifact,Weak,,,26,5.22,0,3.32,0.43,Compound,None,,,51,3.96,0,0.43,0.04,Artifact,Weak,,,76,2.66,0.3,1.27,5.2,Solvent,Weak + C13_Sat,,,101,1.3,0,1.64,0.5,Compound,None,,
2,14.71,0,1.26,0.1,Artifact,Weak,,,27,5.21,0,1.96,0.32,Compound,None,,,52,3.8,0,0.86,0.12,Impurity,Weak,,,77,2.66,0.1,1.32,2.34,Solvent,Weak + C13_Sat,,,102,1.28,0,0.91,0.43,Compound,None,,
3,14.7,0,0.5,0.04,Artifact,Weak,,,28,5.17,0,0.45,0.03,Artifact,Weak,,,53,3.66,0,2.43,0.32,Compound,None,,,78,2.64,0,0.51,0.04,Artifact,Weak,,,103,1.26,0,1.34,0.49,Compound,None,,
4,13.21,0,0.61,0.04,Artifact,Weak,,,29,4.9,0,1.98,0.42,Compound,None,,,54,3.65,0,0.71,0.1,Compound,None,,,79,2.52,0.3,1.22,4.46,Solvent,Weak,,,104,1.24,0.2,2.98,7.9,Compound,None,,
5,13.08,0,1.24,0.09,Artifact,Weak,,,30,4.88,0,2.42,1.17,Compound,None,,,55,3.58,0,3.77,0.57,Compound,None,,,80,2.52,0.2,0.85,2.13,Solvent,Weak,,,105,1.15,0,0.98,0.16,Compound,None,,
6,12.39,0,0.63,0.06,Artifact,Weak,,,31,4.87,0,1.65,0.55,Compound,None,,,56,3.57,0,1.5,0.38,Compound,None,,,81,2.51,23,1.1,293.2,Solvent,None,,,106,1.15,0,3.06,1.9,Compound,None,,
7,12.16,0,0.65,0.06,Artifact,Weak,,,32,4.82,0,2.57,0.6,Compound,None,,,57,3.56,0,4.22,0.95,Compound,None,,,82,2.5,59.6,1.4,1085.37,Solvent,None,,,107,1.13,0,0.94,0.16,Compound,None,,
8,11.48,0,0.47,0.04,Artifact,Weak,,,33,4.81,0,2.94,0.51,Compound,None,,,58,3.54,0,2.66,0.58,Compound,None,,,83,2.5,85.1,1.23,1309.24,Solvent,None,,,108,1.1,0,0.69,0.05,Artifact,Weak,,
9,10.68,0,0.72,0.07,Artifact,Weak,,,34,4.76,0,1.4,0.45,Compound,None,,,59,3.53,0,3.87,0.78,Compound,None,,,84,2.5,57.6,1.4,995.67,Solvent,None,,,109,1.02,0,9.78,1.48,Compound,None,,
10,10.32,0,0.35,0.03,Artifact,Weak,,,35,4.75,0,5.21,3.04,Compound,None,,,60,3.51,0,1.27,0.17,Impurity,None,,,85,2.49,23.5,1.21,326.24,Solvent,None,,,110,1,0,0.8,0.06,Artifact,Weak,,
11,10.2,0,0.5,0.05,Artifact,Weak,,,36,4.73,0,1.41,0.42,Compound,None,,,61,3.48,0,2.74,0.19,Artifact,Weak,,,86,2.43,0,0.58,0.05,Artifact,Weak,,,111,0.99,0,0.8,0.09,Impurity,Weak,,
12,9.12,0,0.51,0.04,Artifact,Weak,,,37,4.61,0,4.08,0.46,Artifact,Weak,,,62,3.47,0,1.39,0.17,Impurity,None,,,87,2.43,0,0.43,0.04,Artifact,Weak,,,112,0.97,0,0.67,0.08,Artifact,Weak,,
13,8.04,0,0.66,0.05,Artifact,Weak,,,38,4.6,0,1.56,0.15,Compound,None,,,63,3.44,0,1.77,0.16,Artifact,Weak,,,88,2.34,0.1,1.25,2.13,Solvent,Weak + C13_Sat,,,113,0.85,0,2.74,1.23,Compound,None,,
14,7.89,0,0.49,0.04,Artifact,Weak,,,39,4.58,0,1.83,0.86,Compound,None,,,64,3.23,0,0.93,0.08,Artifact,Weak,,,89,2.33,0.3,1.26,5.76,Solvent,Weak + C13_Sat,,,114,0.83,0,4.73,1.51,Compound,None,,
15,7.88,0,1.03,0.11,Artifact,Weak,,,40,4.57,0,1.79,0.8,Compound,None,,,65,3.15,0,0.76,0.07,Artifact,Weak,,,90,2.33,0.5,1.31,8.69,Solvent,Weak + C13_Sat,,,115,0.82,0,26.82,8.22,Compound,None,,
16,7.42,0,0.71,0.06,Artifact,Weak,,,41,4.48,0,8.09,0.93,Artifact,Weak,,,66,3.13,0,2.48,0.36,Compound,None,,,91,2.32,0.3,1.34,5.52,Solvent,Weak + C13_Sat,,,116,0.62,0,1.2,0.1,Artifact,Weak,,
17,6.57,0,1.56,0.29,Impurity,None,,,42,4.46,0,1.7,0.28,Impurity,None,,,67,3.12,0,1.21,0.13,Compound,Weak,,,92,2.32,0.1,1.22,1.91,Solvent,Weak + C13_Sat,,,117,0.25,0,0.47,0.04,Artifact,Weak,,
18,6.55,0,1.5,0.23,Impurity,None,,,43,4.45,0,1.54,0.16,Artifact,Weak,,,68,3.1,0,7.05,1.45,Compound,None,,,93,2.23,0,0.89,0.09,Artifact,Weak,,,118,0.07,0,1.54,0.47,Compound,None,,
19,6.53,0,1.13,0.18,Compound,None,,,44,4.44,0,0.9,0.13,Impurity,None,,,69,3.06,0,1.52,0.25,Compound,None,,,94,2.22,0,1.2,0.14,Artifact,Weak,,,119,-0.62,0,0.56,0.06,Artifact,Weak,,
20,6.52,0.1,1.46,1.21,Compound,None,,,45,4.42,0,1.51,0.28,Impurity,None,,,70,3.04,0,3.11,0.49,Compound,None,,,95,2.2,0,1.82,0.16,Artifact,Weak,,,120,-1.29,0,0.51,0.05,Artifact,Weak,,
21,6.31,0,0.71,0.05,Artifact,Weak,,,46,4.35,0,3.07,0.65,Compound,None,,,71,3.02,0,4.14,0.49,Artifact,Weak,,,96,2.18,0,3.3,0.43,Compound,None,,,121,-1.41,0,0.78,0.07,Artifact,Weak,,
22,6.28,0,1.34,0.2,Impurity,None,,,47,4.33,0,2.12,0.77,Compound,None,,,72,2.91,0,0.82,0.07,Artifact,Weak,,,97,2.1,0,0.65,0.06,Artifact,Weak,,,122,-1.56,0,0.49,0.05,Artifact,Weak,,
23,6.19,0,2.65,0.32,Compound,None,,,48,4.28,0,0.57,0.07,Artifact,Weak,,,73,2.68,0.1,1.27,2.12,Solvent,Weak + C13_Sat,,,98,1.9,0.1,1.22,0.77,Compound,None,,,123,-2.36,0,0.69,0.05,Artifact,Weak,,
24,6.18,0,2.48,0.17,Artifact,Weak,,,49,4.26,0,2.09,0.28,Impurity,None,,,74,2.67,0.3,1.34,5.84,Solvent,Weak + C13_Sat,,,99,1.44,0,0.62,0.06,Artifact,Weak,,,,,,,,,,,
25,5.82,0,0.7,0.07,Artifact,Weak,,,50,4.25,0,1.16,0.15,Impurity,Weak,,,75,2.67,0.5,1.34,8.54,Solvent,Weak + C13_Sat,,,100,1.36,0,0.72,0.09,Impurity,Weak,,,,,,,,,,,
