,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.27,0,0.55,0.04,Artifact,Weak,,,26,2.5,70.2,1.98,1808.81,Solvent,None,,
2,12.83,0,0.31,0.03,Artifact,Weak,,,27,2.49,38.4,1.79,860.7,Solvent,None,,
3,11.47,0,0.69,0.05,Artifact,Weak,,,28,2.49,10.2,1.44,158.7,Compound,None,,
4,11.37,0,0.57,0.04,Artifact,Weak,,,29,2.44,0.1,43.95,91.76,Artifact,Weak,,
5,10.75,0,0.78,0.05,Artifact,Weak,,,30,2.34,0,2.83,0.57,Impurity,Weak,,
6,9.74,0,0.61,0.05,Artifact,Weak,,,31,2.34,0.1,1.81,1.66,Solvent,Weak + C13_Sat,,
7,9.09,0,0.6,0.04,Artifact,Weak,,,32,2.33,0.2,1.97,6.31,Solvent,Weak + C13_Sat,,
8,8.32,0,0.81,0.05,Artifact,Weak,,,33,2.33,0.4,1.92,10.02,Solvent,Weak + C13_Sat,,
9,7.93,0,0.53,0.05,Artifact,Weak,,,34,2.32,0.4,1.93,10.16,Solvent,Weak + C13_Sat,,
10,6.99,0,0.53,0.05,Artifact,Weak,,,35,2.32,0.2,1.89,5.77,Solvent,Weak + C13_Sat,,
11,6.98,0,0.48,0.04,Artifact,Weak,,,36,2.31,0.1,1.29,0.94,Compound,Weak + C13_Sat,,
12,6.52,0,1.49,0.18,Impurity,Weak,,,37,1.36,0,0.67,0.06,Artifact,Weak,,
13,4.27,0,135.85,19.38,Compound,None,,,38,1.27,0,5.19,0.57,Impurity,Weak,,
14,3.43,0.1,49.62,88.35,Compound,None,,,39,1.25,0,7.2,0.84,Impurity,Weak,,
15,3.29,0.1,3.73,4.43,Artifact,Weak,,,40,1.23,0,4.92,2.57,Impurity,Weak,,
16,2.68,0.1,2.43,2.52,Solvent,Weak + C13_Sat,,,41,1.21,0,0.71,0.08,Impurity,Weak,,
17,2.67,0.2,2.14,6.76,Solvent,Weak + C13_Sat,,,42,1.14,0,3.23,0.87,Impurity,Weak,,
18,2.67,0.4,1.98,10.69,Solvent,Weak + C13_Sat,,,43,1.02,0,4.2,0.63,Impurity,Weak,,
19,2.66,0.4,1.98,10.6,Solvent,Weak + C13_Sat,,,44,0.85,0,3.23,0.5,Impurity,Weak,,
20,2.66,0.2,1.95,6.13,Solvent,Weak + C13_Sat,,,45,0.83,0,18.17,5.77,Impurity,Weak,,
21,2.66,0.1,1.3,0.83,Compound,Weak + C13_Sat,,,46,0.81,0,10.76,1.95,Impurity,Weak,,
22,2.57,0.3,235.49,903.62,Compound,None,,,47,-0.84,0,0.56,0.05,Artifact,Weak,,
23,2.51,12.6,2.4,439.62,Solvent,None,,,48,-1.55,0,0.66,0.05,Artifact,Weak,,
24,2.5,38,2,977.19,Solvent,None,,,49,-3.26,0,0.54,0.04,Artifact,Weak,,
25,2.5,71.6,2.07,1972.11,Solvent,None,,,,,,,,,,,
