,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,0.93,0.07,Artifact,Weak,,,27,4.68,0,6.73,0.72,Artifact,Weak,,,53,2.56,0,1.14,0.12,Artifact,Weak,,,79,2.02,0,1.15,0.18,Impurity,None,,,105,1.08,0,0.97,0.12,Impurity,Weak,,
2,9.42,0,0.71,0.05,Artifact,Weak,,,28,4.61,0,0.53,0.05,Artifact,Weak,,,54,2.54,0,0.51,0.04,Artifact,Weak,,,80,1.9,0,1.52,0.81,Impurity,None,,,106,1.06,0,2.75,0.39,Impurity,None,,
3,8.43,0,5.35,1.41,Compound,None,,,29,4.41,0,49.92,7.99,Compound,None,,,55,2.54,0,0.69,0.11,Artifact,Weak,,,81,1.9,0.1,1.19,0.97,Impurity,None,,,107,1.04,0,2.94,0.78,Impurity,None,,
4,7.39,0,0.8,0.32,Impurity,None,,,30,3.9,0,2.85,0.22,Impurity,Weak,,,56,2.52,0.3,0.89,3.4,Solvent,Weak,,,82,1.85,0,1.04,0.08,Artifact,Weak,,,108,1.02,0,2.25,0.35,Impurity,None,,
5,7.38,0,0.73,0.3,Impurity,None,,,31,3.76,0,0.63,0.08,Impurity,Weak,,,57,2.52,0.2,0.96,2.23,Solvent,Weak,,,83,1.83,0.1,37.17,33.23,Compound,None,,,109,1.01,0,4.39,1.1,Impurity,None,,
6,7.25,0,1.88,0.39,Impurity,None,,,32,3.74,0.1,48.64,54.47,Compound,None,,,58,2.51,25.2,1.21,368.28,Solvent,None,,,84,1.82,0,1.86,0.27,Compound,None,,,110,1,0,2.23,0.43,Impurity,None,,
7,7.24,0,1.33,0.33,Impurity,None,,,33,3.64,0,2.38,0.48,Artifact,Weak,,,59,2.5,57.7,1.23,905.18,Solvent,None,,,85,1.82,0,1.22,0.15,Impurity,Weak,,,111,0.99,0,0.84,0.19,Impurity,None,,
8,7.21,0,12.93,1.56,Compound,None,,,34,3.53,0.3,142.02,506.79,Artifact,Weak,,,60,2.5,90,1.34,1625.23,Solvent,None,,,86,1.81,0,2.23,1.33,Compound,None,,,112,0.98,0,3.71,0.38,Impurity,Weak,,
9,6.89,0,2.63,0.31,Impurity,Weak,,,35,3.53,0.1,2.33,1.51,Artifact,Weak,,,61,2.5,56.9,1.13,816.78,Solvent,None,,,87,1.72,0.1,0.98,0.72,Impurity,None,,,113,0.97,0,1.4,0.34,Impurity,None,,
10,6.01,0,0.61,0.14,Impurity,None,,,36,3.5,0,3.57,1.49,Artifact,Weak,,,62,2.49,23.5,1.1,294.11,Solvent,None,,,88,1.72,0.1,0.87,0.64,Impurity,None,,,114,0.9,0,0.95,0.21,Impurity,None,,
11,5.79,0,3.64,0.56,Impurity,None,,,37,3.42,0.1,76.06,64.98,Artifact,Weak,,,63,2.34,0.2,1.14,2.17,Solvent,Weak + C13_Sat,,,89,1.65,0,1.49,0.16,Impurity,Weak,,,115,0.89,0,1.16,0.09,Artifact,Weak,,
