,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.28,0,0.63,0.05,Artifact,Weak,,,22,2.5,63.1,1.59,1356.98,Solvent,None,,,43,1.14,0.1,1.81,2.1,Compound,None,,
2,13.02,0,0.64,0.05,Artifact,Weak,,,23,2.5,82.7,1.17,1221.76,Solvent,None,,,44,1.09,0,0.98,0.07,Artifact,Weak,,
3,12.51,0,0.71,0.05,Artifact,Weak,,,24,2.5,57.9,1.26,929,Solvent,None,,,45,1.01,0,2.08,0.33,Compound,None,,
4,10.52,0,0.53,0.04,Artifact,Weak,,,25,2.49,22.1,1.14,280.93,Solvent,None,,,46,1.01,0,1.09,0.12,Compound,None,,
5,8.58,0,0.54,0.03,Artifact,Weak,,,26,2.42,0,0.51,0.04,Artifact,Weak,,,47,1,0,1.48,0.2,Compound,None,,
6,8.32,0,0.5,0.04,Artifact,Weak,,,27,2.34,0,0.63,0.05,Artifact,Weak,,,48,0.99,0,0.91,0.17,Compound,None,,
7,7.85,0,0.49,0.03,Artifact,Weak,,,28,2.34,0.1,1.3,2.4,Solvent,Weak + C13_Sat,,,49,0.98,0,0.63,0.1,Compound,None,,
8,7.73,0,0.6,0.03,Artifact,Weak,,,29,2.33,0.3,1.17,4.94,Solvent,Weak + C13_Sat,,,50,0.97,0,1.35,0.08,Artifact,Weak,,
9,7.72,0,0.82,0.06,Artifact,Weak,,,30,2.33,0.5,1.54,9.67,Solvent,Weak + C13_Sat,,,51,0.87,0,1.11,0.11,Artifact,Weak,,
10,6.53,0,11.78,4.7,Compound,None,,,31,2.32,0.3,1.14,4.46,Solvent,Weak + C13_Sat,,,52,0.85,0,1.49,0.38,Compound,None,,
11,4.8,0,0.88,0.07,Artifact,Weak,,,32,2.32,0.1,1.18,1.81,Solvent,Weak + C13_Sat,,,53,0.84,0,35.23,15.74,Compound,None,,
12,2.68,0.1,1.26,2.19,Solvent,Weak + C13_Sat,,,33,2.22,0,0.89,0.07,Artifact,Weak,,,54,0.12,0,1.08,0.55,CS Reference,Weak + C13_Sat,,
13,2.67,0.3,1.37,5.63,Solvent,Weak + C13_Sat,,,34,2.2,0,0.7,0.07,Artifact,Weak,,,55,0.07,0.1,1.85,0.97,Compound,None,,
14,2.67,0.5,1.35,9,Solvent,Weak + C13_Sat,,,35,2.18,0,1.39,0.19,Compound,None,,,56,0,0,0.44,0.03,CS Reference,Weak,,
15,2.66,0.3,1.14,4.7,Solvent,Weak + C13_Sat,,,36,2.16,0,1.11,0.09,Artifact,Weak,,,57,-0.02,0.3,1.15,4.38,CS Reference,None,,
16,2.66,0.1,1.14,1.72,Solvent,Weak + C13_Sat,,,37,1.91,0,0.76,0.46,Compound,None,,,58,-0.03,10.2,0.82,102.23,CS Reference,None,,
17,2.59,0.1,16.63,11.45,Artifact,Weak,,,38,1.51,0,8.84,0.71,Artifact,Weak,,,59,-0.04,0.3,0.68,2.09,CS Reference,None,,
18,2.53,0.2,24.59,49.52,Artifact,Weak,,,39,1.36,0,0.98,0.07,Artifact,Weak,,,60,-0.18,0,1.06,0.63,CS Reference,Weak + C13_Sat,,
19,2.52,0.3,0.95,3.53,Solvent,Weak,,,40,1.23,0.2,3.02,7.9,Compound,None,,,61,-0.6,0,0.93,0.07,Artifact,Weak,,
20,2.52,0.2,0.7,1.58,Solvent,Weak,,,41,1.15,0.1,2.06,2.32,Compound,None,,,62,-2.05,0,0.49,0.04,Artifact,Weak,,
21,2.51,22.5,1.04,284.27,Solvent,None,,,42,1.15,0.1,1.84,3.43,Compound,None,,,63,-2.1,0,0.66,0.06,Artifact,Weak,,
