,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.28,0,0.64,0.07,Artifact,Weak,,,30,6.11,0,21.26,3.84,Compound,None,,,59,4.82,0.2,5.33,15.87,Compound,None,,,88,3.79,0,2.28,0.65,Impurity,Weak,,,117,3.44,0.2,2.76,8.33,Artifact,Weak,,,146,2.99,0,1.35,0.24,Artifact,Weak,,,175,2.26,0,1.43,0.17,Artifact,Weak,,,204,1.77,0.1,1.38,1.38,Compound,None,,
2,10.2,0.1,4.55,4.78,Compound,None,,,31,6.01,0,1.88,0.45,Impurity,Weak,,,60,4.77,0.7,6.21,63.96,Compound,None,,,89,3.75,0,1.37,0.29,Impurity,Weak,,,118,3.42,0,1.36,0.42,Artifact,Weak,,,147,2.91,0,2.97,1.05,Compound,None,,,176,2.26,0,1.06,0.15,Impurity,Weak,,,205,1.75,0.1,1.41,1.3,Impurity,None,,
3,8.39,0.2,22.43,67.17,Compound,None,,,32,5.79,0,5.07,2.12,Compound,None,,,61,4.76,1.3,9.28,161.92,Compound,None,,,90,3.74,0,4.73,1.55,Impurity,None,,,119,3.42,0.1,5.28,6.11,Artifact,Weak,,,148,2.9,0.1,4.38,4.08,Compound,None,,,177,2.25,0,0.72,0.08,Artifact,Weak,,,206,1.47,0,21.34,3.93,Compound,None,,
4,8.3,0,0.94,0.09,Artifact,Weak,,,33,5.78,0,1.78,0.35,Impurity,Weak,,,62,4.67,0,2.49,0.69,Impurity,None,,,91,3.73,0,2.76,0.61,Impurity,Weak,,,120,3.39,0.1,4.27,2.18,Artifact,Weak,,,149,2.88,0.1,4.24,4.16,Compound,None,,,178,2.24,0,1.47,0.14,Impurity,Weak,,,207,1.28,0,1.11,0.25,Impurity,Weak,,
5,8.05,0,3.99,0.94,Impurity,None,,,34,5.77,0,1.83,0.3,Impurity,Weak,,,63,4.66,0,2.43,0.63,Impurity,Weak,,,92,3.7,0,2.65,0.54,Impurity,Weak,,,121,3.27,0.2,45.14,83.64,Artifact,Weak,,,150,2.88,0.1,4.3,5.33,Compound,None,,,179,2.23,0,1.47,0.15,Artifact,Weak,,,208,1.26,0.1,12.65,18.96,Compound,None,,
6,7.92,0,0.67,0.07,Artifact,Weak,,,35,5.7,0,9.28,1.45,Impurity,Weak,,,64,4.62,0.1,12.44,11.25,Compound,None,,,93,3.69,0,2.45,0.41,Impurity,Weak,,,122,3.27,0.4,214.44,776.18,Artifact,Weak,,,151,2.86,0,2.84,1.07,Compound,None,,,180,2.21,0,1.63,0.24,Impurity,Weak,,,209,1.24,0.3,6.32,26.75,Compound,None,,
7,7.91,0,1.17,0.17,Impurity,Weak,,,36,5.69,0,1.78,0.22,Artifact,Weak,,,65,4.59,0.6,4.55,36.94,Compound,None,,,94,3.68,0,2.75,0.68,Artifact,Weak,,,123,3.26,0.2,2.69,7.43,Artifact,Weak,,,152,2.86,0,3.29,1.3,Compound,None,,,181,2.2,0,0.5,0.05,Artifact,Weak,,,210,1.23,0.5,4.93,35.99,Compound,None,,
8,7.89,0,1.72,0.42,Impurity,Weak,,,37,5.65,0,1.33,0.24,Impurity,Weak,,,66,4.58,0.7,4.2,35.94,Compound,None,,,95,3.67,0.3,2.67,9.09,Artifact,Weak,,,124,3.25,0.2,3.61,11.32,Artifact,Weak,,,153,2.75,0,0.7,0.09,Impurity,Weak,,,182,2.17,0,14.55,6.6,Compound,None,,,211,1.22,0.2,5.68,13.62,Compound,None,,
9,7.87,0,1.16,0.18,Impurity,Weak,,,38,5.63,0,1.63,0.27,Impurity,Weak,,,67,4.49,0.1,3,1.83,Compound,None,,,96,3.66,0.3,2.83,12.24,Compound,None,,,125,3.24,0.2,3.18,9.65,Artifact,Weak,,,154,2.68,0.1,1.27,1.74,Solvent,Weak + C13_Sat,,,183,2.16,0.1,24.76,17.06,Compound,None,,,212,1.19,0.1,112.85,82.36,Compound,None,,
10,7.84,0,1.11,0.11,Artifact,Weak,,,39,5.62,0,0.8,0.07,Artifact,Weak,,,68,4.47,0.1,3.97,7.41,Compound,None,,,97,3.65,0.3,2.39,10.31,Compound,None,,,126,3.23,0.4,2.84,14.84,Artifact,Weak,,,155,2.67,0.3,1.56,6.48,Solvent,Weak + C13_Sat,,,184,2.09,0.1,2.76,4.81,Compound,None,,,213,1.19,0,2.51,0.53,Compound,Weak,,
