,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.47,0,0.78,0.04,Artifact,Weak,,,25,2.82,0,0.76,0.07,Artifact,Weak,,,49,1.65,0,1.07,0.09,Artifact,Weak,,
2,13.19,0,1.06,0.08,Artifact,Weak,,,26,2.68,0.1,1.29,1.9,Solvent,Weak + C13_Sat,,,50,1.55,0.1,12.53,7.6,Compound,None,,
3,12.8,0,0.77,0.06,Artifact,Weak,,,27,2.67,0.3,1.52,6.84,Solvent,Weak + C13_Sat,,,51,1.3,0,1.61,0.26,Impurity,None,,
4,10.61,0,0.96,0.06,Artifact,Weak,,,28,2.67,0.5,1.47,9.1,Solvent,Weak + C13_Sat,,,52,1.26,0,1.12,0.24,Impurity,None,,
5,10.59,0,0.97,0.1,Impurity,Weak,,,29,2.66,0.3,1.36,5.36,Solvent,Weak + C13_Sat,,,53,1.23,0.4,3.15,16.26,Compound,None,,
6,9.63,0,0.43,0.03,Artifact,Weak,,,30,2.66,0.1,1.35,1.96,Solvent,Weak + C13_Sat,,,54,1.16,0,1.34,0.37,Impurity,None,,
7,7.05,0.1,39.26,44.23,Compound,None,,,31,2.55,0,0.52,0.03,Artifact,Weak,,,55,1.15,0.1,2.4,2.86,Compound,None,,
8,6.83,0,8.72,3.06,Compound,None,,,32,2.52,0.2,1.03,2.79,Artifact,Weak,,,56,1.14,0.2,2.6,5.66,Compound,None,,
9,6.81,0,7.95,1.59,Compound,None,,,33,2.52,0.1,0.81,1.3,Artifact,Weak,,,57,1.12,0,1.61,0.26,Impurity,None,,
10,6.52,0.2,1.45,3.14,Compound,None,,,34,2.51,23,1.29,334.97,Solvent,None,,,58,1.04,0,63.38,15.41,Compound,None,,
11,6.29,0,1.35,0.55,Compound,None,,,35,2.5,58.7,1.49,1093.34,Solvent,None,,,59,1.01,0,1.75,0.25,Impurity,None,,
12,5.75,0,3.98,0.36,Compound,None,,,36,2.5,85.2,1.47,1588.01,Solvent,None,,,60,1,0,1.36,0.25,Compound,None,,
13,5.34,0,2.19,0.4,Compound,None,,,37,2.5,56.4,1.46,1018.83,Solvent,None,,,61,0.99,0,0.75,0.1,Compound,None,,
14,5.33,0,3.73,0.73,Compound,None,,,38,2.49,21.6,1.27,295.82,Solvent,None,,,62,0.98,0,3.3,0.56,Compound,None,,
15,4.46,0,7.05,0.67,Artifact,Weak,,,39,2.34,0.1,1.29,2.11,Solvent,Weak + C13_Sat,,,63,0.96,0,2.64,0.28,Compound,None,,
16,4.11,0,4.8,0.47,Artifact,Weak,,,40,2.33,0.3,1.47,6.31,Solvent,Weak + C13_Sat,,,64,0.87,0,4.89,1.54,Compound,None,,
17,4.09,0,1.94,0.26,Impurity,Weak,,,41,2.33,0.5,1.42,8.34,Solvent,Weak + C13_Sat,,,65,0.85,0,3.27,1.92,Compound,None,,
18,3.99,0,9.08,1.12,Compound,None,,,42,2.32,0.3,1.51,6.54,Solvent,Weak + C13_Sat,,,66,0.84,0,3.23,0.66,Compound,None,,
19,3.96,0,2.66,0.43,Compound,None,,,43,2.32,0.1,1.27,1.91,Solvent,Weak + C13_Sat,,,67,0.82,0,22.4,11.97,Compound,None,,
20,3.95,0,7.17,0.8,Compound,None,,,44,2.21,0,2.28,0.2,Artifact,Weak,,,68,0.75,0,1.81,0.4,Compound,None,,
21,3.82,0,0.94,0.28,Impurity,None,,,45,2.2,0,2.2,0.33,Compound,None,,,69,0.71,0,1.53,0.11,Artifact,Weak,,
22,3.56,0,0.67,0.07,Artifact,Weak,,,46,2.18,0,1.64,0.42,Compound,None,,,70,0.07,0,2.02,0.37,Compound,None,,
23,3.51,0.1,1.88,2.5,Compound,None,,,47,2.16,0,2.11,0.15,Artifact,Weak,,,71,-1.59,0,0.73,0.06,Artifact,Weak,,
24,2.99,0,1.05,0.06,Artifact,Weak,,,48,1.91,0,0.96,0.46,Compound,None,,,,,,,,,,,
