"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","mean","median","sd","outlier"
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,100.13,9.30766049753971e-06,1.43350140091537e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,FALSE
