Sample	coreID	depth	Site	length	location	drying	rep	saturation	k__Archaea.p__Crenarchaeota	k__Bacteria.__	k__Bacteria.p__Acidobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Chlamydiae	k__Bacteria.p__Chloroflexi	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Firmicutes	k__Bacteria.p__Gemmatimonadetes	k__Bacteria.p__Nitrospirae	k__Bacteria.p__OD1	k__Bacteria.p__Planctomycetes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobia	k__Bacteria.p__WS3	Other				
DOC_034	C1	0-5cm	CPCRW	90d	up	FAD	r1	saturated	0.000966525	0	0	0.321100917	0.001396091	0	0	0.002209199	0.004801939	0	0	0	0	0.656270136	0.002377957	0	0.010877236				
DOC_035	C37	0-5cm	CPCRW	90d	up	FAD	r4	saturated	0	0	0	0.381755503	0	0	0.00100769	0	0.006019623	0	0	0	0.003049589	0.602678335	0	0	0.00548926				
DOC_036	C18	0-5cm	CPCRW	90d	up	FAD	r3	saturated	0	0	0	0.434793544	0.001131838	0	0	0	0.016055334	0	0	0	0.001592957	0.538922658	0	0	0.007503668				
DOC_037	C55	5cm-end	CPCRW	150d	low	CW	r4	saturated	0	0	0.000115882	0.030418912	0.008285532	0	0.000115882	0	0.004924967	0	0	0	0	0.95196709	0	0	0.004171736				
DOC_038	C60	5cm-end	CPCRW	150d	low	CW	r1	saturated	0.00146421	0.001105064	0.1494599	0.05425864	0.047020471	0.000663038	0.027433213	0.000276266	0.057850098	0.037406415	0.003232312	0.000193386	0.01917286	0.381910103	0.213553609	0.001519463	0.003480951				
DOC_039	C72	5cm-end	CPCRW	150d	low	CW	r3	saturated	0.0038547	9.07E-05	0.23581697	0.092240715	0.032923677	0	0.02643871	0.000226747	0.057004217	0.030157362	0.00231282	9.07E-05	0.015690898	0.427599655	0.071017187	0.002086073	0.002448869				
DOC_040	C49	5cm-end	CPCRW	150d	low	FAD	r3	saturated	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.375	0.375	0	0				
DOC_041	C46	5cm-end	CPCRW	150d	low	FAD	r4	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0				
DOC_042	C79	5cm-end	CPCRW	150d	low	FAD	r2	saturated	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0				
DOC_043	C28	5cm-end	CPCRW	150d	up	CW	r1	saturated	0.000134438	0.002204775	0.071305657	0.118439449	0.098999785	0.000564638	0.010055926	0.003065175	0.094509572	0.007044526	0.000241988	0	0.026242203	0.423505055	0.120832437	5.38E-05	0.022800602				
DOC_044	C4	5cm-end	CPCRW	150d	up	CW	r4	saturated	0.000292198	0.000486997	0.05688127	0.106457583	0.118535112	0	0.003798578	0.005746567	0.025031655	0.028732833	0.000486997	0	0.031167819	0.481932405	0.131391838	0	0.009058147				
DOC_045	C26	5cm-end	CPCRW	150d	up	CW	r3	saturated	0.000225251	0.000788377	0.032661336	0.022862935	0.229079851	0	0.004054511	0.002477757	0.027480572	0.003716635	0.000337876	0	0.006194391	0.602995833	0.064421669	0	0.002703007				
DOC_046	C35	5cm-end	CPCRW	150d	up	FAD	r2	saturated	0	0.010516736	0.047830923	0.179644049	0.116897563	0	0.00657296	0.000303367	0.126453635	0	0	0	0.00616847	0.494488826	0.010314491	0	0.00080898				
DOC_047	C33	5cm-end	CPCRW	150d	up	FAD	r1	saturated	0	0.001461063	0.076510982	0.102956217	0.018945113	0	0.018847709	0.003457848	0.293283982	0.012175522	0.000146106	0.000292213	0.009691716	0.347197195	0.090342376	9.74E-05	0.024594555				
DOC_048	C8	5cm-end	CPCRW	150d	up	FAD	r3	saturated	0.00026264	0.00577807	0.065101773	0.092810243	0.004826001	0.000361129	0.014740643	0	0.499047932	0.002724885	0.00022981	0	0.00531845	0.19471438	0.08913329	0	0.024950755				
DOC_049	C65	5cm-end	CPCRW	30d	low	CW	r3	saturated	0	0	0.14619883	0	0.029239766	0	0.040935673	0	0	0.081871345	0	0	0.023391813	0.397660819	0.280701754	0	0				
DOC_050	C66	5cm-end	CPCRW	30d	low	CW	r2	saturated	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0				
DOC_051	C69	5cm-end	CPCRW	30d	low	CW	r1	saturated	0	0	0.176470588	0.294117647	0	0	0	0	0.176470588	0	0.176470588	0	0	0.176470588	0	0	0				
DOC_052	C50	5cm-end	CPCRW	30d	low	FAD	r1	saturated	0	0	0	0.333333333	0	0	0.333333333	0	0	0	0	0	0	0	0.333333333	0	0				
DOC_053	C44	5cm-end	CPCRW	30d	low	FAD	r3	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0				
DOC_054	C56	5cm-end	CPCRW	30d	low	FAD	r4	saturated	0	0	0	0.666666667	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0				
DOC_055	C20	5cm-end	CPCRW	30d	up	CW	r3	saturated	0.000251813	0.001259065	0.106466559	0.114961053	0.032181708	0.000369326	0.016569299	0.002635643	0.060468708	0.05432447	0.001729116	0.000268601	0.025349181	0.356970185	0.199049825	0.00115834	0.025987107				
DOC_056	C3	5cm-end	CPCRW	30d	up	CW	r4	saturated	0.000213666	0.001281996	0.097175334	0.178753045	0.044912611	0.001410196	0.011837101	0.001794795	0.016922354	0.034186573	0.000598265	0.001153797	0.034485706	0.424725439	0.127772317	0.000213666	0.022563138				
DOC_057	C9	5cm-end	CPCRW	30d	up	CW	r2	saturated	0.000121514	0.000830346	0.08613322	0.09848715	0.029912712	0	0.005204852	0.000425299	0.006663021	0.002470786	0	0.000101262	0.01433866	0.590538105	0.120278672	0	0.0444944				
DOC_058	C6	5cm-end	CPCRW	30d	up	FAD	r1	saturated	0.000128365	0.002765687	0.039384781	0.151879383	0.161133348	0.000478452	0.006838365	0.004271061	0.087335022	0.002859043	0.000291739	0.000735183	0.009860782	0.385294015	0.117197437	0	0.029547338				
DOC_059	C39	5cm-end	CPCRW	30d	up	FAD	r4	saturated	0	0.005228823	0.050221603	0.146232757	0.075892635	0.000174294	0.018101688	0	0.058786913	0.020193217	0.004780638	0	0.043747821	0.495717345	0.077162492	0.000323689	0.003436084				
DOC_060	C27	5cm-end	CPCRW	30d	up	FAD	r3	saturated	0	0.005457918	0.041983988	0.107147042	0.051376684	0.001064245	0.007723101	0.006141379	0.06404999	0.021304433	8.79E-05	0.000810389	0.02048428	0.603778559	0.054237454	0.000712751	0.013639914				
DOC_061	C61	5cm-end	CPCRW	90d	low	CW	r2	saturated	0.001726122	0	0.090333717	0.026179517	0.04027618	0	0.003452244	0	0.027905639	0.020425777	0.003452244	0.000575374	0.027617952	0.372554661	0.378596087	0	0.006904488				
DOC_062	C86	5cm-end	CPCRW	90d	low	CW	r1	saturated	0	0.002980767	0.087767027	0.106716188	0.095195288	0.001324785	0.006127132	0.000331196	0.01653616	0.006127132	0.000165598	0.000165598	0.014217785	0.508764874	0.131059119	4.73E-05	0.022474037				
DOC_063	C53	5cm-end	CPCRW	90d	low	CW	r4	saturated	0	0	0	0.333333333	0	0	0.444444444	0	0	0	0	0	0	0.222222222	0	0	0				
DOC_064	C71	5cm-end	CPCRW	90d	low	FAD	r4	saturated	0.003008498	0.000310154	0.12598474	0.076080888	0.047515663	0	0.026704299	0.000930463	0.107220396	0.021369642	0.002047019	0.000217108	0.012685317	0.519911916	0.052726258	0.001519757	0.00176788				
DOC_065	C77	5cm-end	CPCRW	90d	low	FAD	r1	saturated	0	0	0.005451063	0.202278643	0.006187693	0	0	0	0.006580563	0	0	0	9.82E-05	0.777832343	0	0.001571478	0				
DOC_066	C52	5cm-end	CPCRW	90d	low	FAD	r3	saturated	0	0	0.118721461	0.127853881	0.01826484	0	0.00913242	0	0.054794521	0.02739726	0	0	0.01369863	0.442922374	0.187214612	0	0				
DOC_067	C34	5cm-end	CPCRW	90d	up	CW	r3	saturated	2.69E-05	0.001499119	0.112487731	0.101113247	0.027071541	0.000490743	0.018587735	0.001747852	0.015939067	0.090155559	0.000342848	0.001062156	0.037706549	0.426697769	0.142806244	0.000168063	0.022096885				
DOC_068	C15	5cm-end	CPCRW	90d	up	CW	r2	saturated	6.91E-05	0.003134652	0.121006776	0.099525192	0.110796109	0.000783663	0.010602499	0.000622321	0.068063431	0.003849168	0	0.000691467	0.014613009	0.449799474	0.079173005	0	0.037270087				
DOC_069	C11	5cm-end	CPCRW	90d	up	CW	r1	saturated	0.00171412	0.000435793	0.318158048	0.129401511	0.007466589	0.00020337	0.08747821	0.000348635	0.002033701	0.017402673	0.039047066	0	0.059413132	0.236722836	0.081754794	0.002643812	0.015775712				
DOC_070	C1	5cm-end	CPCRW	90d	up	FAD	r1	saturated	5.75E-05	0.007124594	0.090924761	0.138297567	0.031945761	0.000603292	0.009882502	0.001493867	0.171220087	0.037892499	0.000948031	0.000574564	0.014766296	0.422218392	0.063948979	0.000172369	0.007928984				
DOC_071	C37	5cm-end	CPCRW	90d	up	FAD	r4	saturated	0	0.008227686	0.035503906	0.163177103	0.028268664	0.001280574	0.01267768	0.002977334	0.307625816	0.006658983	0.000160072	0.000192086	0.012069407	0.340600589	0.071423998	0	0.009156102				
DOC_072	C18	5cm-end	CPCRW	90d	up	FAD	r3	saturated	0.000756757	0	0	0.289189189	0	0	0	0	0.014378378	0.000216216	0	0	0	0.695459459	0	0	0				
DOC_073	S13	0-5cm	SR	150d	low	CW	r2	saturated	0	0	0.001242693	0.093616238	0.00671975	0	9.21E-05	0	0.000506283	0	0	0	0.000138077	0.894509136	0.003175772	0	0				
DOC_074	S26	0-5cm	SR	150d	low	CW	r3	saturated	0.000904341	0.000602894	0.044513666	0.213650523	0.036575563	0	0.014243368	0.001657958	0.075110531	0.006983521	0.000828979	0	0.024944735	0.559083601	0.01909164	0.000502412	0.00130627				
DOC_075	S4	0-5cm	SR	150d	low	CW	r4	saturated	0.002029359	0.002996624	0.049064977	0.290862193	0.061241133	3.79E-05	0.013010659	0.000455183	0.121704662	0.011777871	0.003869059	0	0.014319311	0.405644274	0.020729811	0.000512081	1.74E-03				
DOC_076	S8	0-5cm	SR	150d	low	FAD	r3	saturated	0.001386918	0.000258031	0.01512708	0.189943233	0.075022578	0.000258031	0.005483163	6.45E-05	0.081860405	0.008031222	0.000129016	0	0.05834731	0.551315959	0.011385628	0	0.001386918				
DOC_077	S49	0-5cm	SR	150d	low	FAD	r3	saturated	0.000700705	0.002849535	0.026907086	0.117017798	0.045358995	0	0.004157519	0.000186855	0.364600364	0.000186855	0.001494838	0	0.021675153	0.40313916	0.010604008	0.000186855	0.000934274				
DOC_078	S14	0-5cm	SR	150d	low	FAD	r4	saturated	0.00026839	0.00053678	0.010942048	0.115655387	0.0912732	4.13E-05	0.003778104	0.000185808	0.0865867	0.006441357	0.000433553	0	0.045440469	0.61704895	0.020831183	8.26E-05	4.54E-04				
DOC_079	S56	0-5cm	SR	150d	up	CW	r4	saturated	0.000328079	0.002550069	0.049360991	0.330077397	0.009767809	2.98E-05	0.015732884	0.000134214	0.136808983	0.019520706	0.001908824	0	0.015449543	0.404476788	0.012780172	0.00038773	6.86E-04				
DOC_080	S61	0-5cm	SR	150d	up	CW	r1	saturated	0.000604184	0.000358734	0.05014727	0.088550714	0.035458047	0.000188807	0.016294087	0	0.117664829	0.020749943	0.000283211	5.66E-05	0.088229741	0.536477607	0.041292198	0.000283211	0.003360773				
DOC_081	S63	0-5cm	SR	150d	up	CW	r2	saturated	0.000675068	0.00090009	0.095747075	0.180805581	0.028352835	0.000225023	0.059180918	0	0.072007201	0.010351035	0.007538254	0	0.078532853	0.412016202	0.045679568	0.000562556	0.007425743				
DOC_082	S80	0-5cm	SR	150d	up	FAD	r2	saturated	0.000258287	0.003374946	0.061282824	0.150615583	0.02000861	5.17E-05	0.01534223	0.000241068	0.186035299	0.008575118	0.001859664	0	0.062264313	0.469582437	0.018544985	0.000516573	1.45E-03				
DOC_083	S86	0-5cm	SR	150d	up	FAD	r1	saturated	0.001729038	0.002984368	0.160753198	0.395926101	0.022477499	0.000165798	0.064945523	0.000805306	0.032070109	0.006702984	0.01293226	0.000189484	0.05	0.20802937	0.033822833	0.001989578	0.004476551				
DOC_084	S3	0-5cm	SR	30d	low	CW	r4	saturated	0.003377163	0.001051903	0.031750865	0.121577855	0.037287197	0.000221453	0.012678201	0.00049827	0.196262976	0.009024221	0.001217993	0.00016609	0.016083045	0.554934256	0.010961938	8.30E-05	0.002823529				
DOC_085	S9	0-5cm	SR	30d	low	CW	r2	saturated	0.002178128	0.001434377	0.045953197	0.102876723	0.075171992	0.000770314	0.018195341	0.002417191	0.057454777	0.016282838	0.000371876	0.00010625	0.045421946	0.600924376	0.027040667	5.31E-05	0.00334688				
DOC_086	S20	0-5cm	SR	30d	low	CW	r3	saturated	0.001921635	0.00138264	0.036745407	0.082583427	0.077662167	0.000656168	0.014857518	0.000656168	0.141005812	0.015373078	4.69E-05	0.000374953	0.057953693	0.539885639	0.025684289	0.000468691	0.002741845				
DOC_087	S27	0-5cm	SR	30d	low	FAD	r3	saturated	0.000329797	0.001117646	0.029150406	0.056175452	0.118873559	0.000274831	0.010956595	0.000201543	0.052639294	0.015555433	0.000201543	0	0.034940178	0.651807472	0.024533245	3.66E-05	0.003206361				
DOC_088	S16	0-5cm	SR	30d	low	FAD	r2	saturated	0.001436543	0.000442013	0.021621821	0.044919609	0.118459583	0.000349927	0.007974658	0.000313093	0.101257896	0.011418679	0.000478848	0	0.020664125	0.64408715	0.024384404	0.000147338	0.002044312				
DOC_089	S39	0-5cm	SR	30d	low	FAD	r4	saturated	0.000520757	0.002728769	0.036265545	0.161997209	0.052304872	8.33E-05	0.011873268	0.001041515	0.144416439	0.004811798	0.001478951	0.000145812	0.045889141	0.515404004	0.017164164	0.000437436	3.44E-03				
DOC_090	S83	0-5cm	SR	30d	up	CW	r1	saturated	0.000337758	0.002499409	0.20319519	0.179889891	0.00932212	6.76E-05	0.037693789	0.000101327	0.032762522	0.008004864	0.01293613	0	0.062046138	0.376735232	0.064883305	0.005573006	3.95E-03				
DOC_091	S54	0-5cm	SR	30d	up	CW	r4	saturated	0.000594707	0.002703214	0.117130268	0.190955046	0.023409834	0	0.016570703	0.000351418	0.103992647	0.020247074	0.002973536	0	0.025356148	0.466709918	0.024923634	0.001567864	0.002513989				
DOC_092	S66	0-5cm	SR	30d	up	CW	r3	saturated	0.000339802	0.000547459	0.085082685	0.151098694	0.047855471	0.000132145	0.013044627	0.000528581	0.047477913	0.015932946	0.000585215	0	0.038416522	0.567129804	0.029808201	0.000868383	0.001151552				
DOC_093	S57	0-5cm	SR	30d	up	FAD	r4	saturated	0.0003412	0.004435599	0.070628376	0.388655104	0.008188797	8.53E-05	0.021808359	0	0.033920955	0.010918396	0.006425931	0	0.022775092	0.407534831	0.02061416	0.000568666	3.10E-03				
DOC_094	S76	0-5cm	SR	30d	up	FAD	r2	saturated	7.23E-05	0.001988072	0.003036327	0.262461594	0	0	0.002168805	0	0.007084764	0	0	0	0	0.720838605	0	0	0.002349539				
DOC_095	S15	0-5cm	SR	90d	low	CW	r2	saturated	0.001945255	0.002917882	0.017437821	0.114943727	0.114353203	0.001181048	0.009413645	0.000764207	0.10313325	0.010490482	0.002674726	0.000382104	0.022092539	0.572217591	0.022544116	0.00020842	0.003299986				
DOC_096	S11	0-5cm	SR	90d	low	CW	r1	saturated	0.003487399	0	0.01311262	0.255091602	0.008695248	0	0.004603367	0	0.033758021	0.010229703	0	0	0.009811215	0.649679159	0.007021296	0	0.004510369				
DOC_097	S25	0-5cm	SR	90d	low	CW	r4	saturated	0.008192264	0.001449958	0.308007395	0.030666618	0.036103962	0.000906224	0.022909341	0.001268714	0	0.022039366	0.043426251	0.001594954	0.033566535	0.376880415	0.070105484	0.018704462	0.024178055				
DOC_098	S1	0-5cm	SR	90d	low	FAD	r1	saturated	0	0.003279929	0.012640343	0.121609688	0.011580674	0	0.006030024	0.001362432	0.028762457	0.002674404	0.003431311	0.000252302	0.004617131	0.786350448	0.014255078	0	0.003153778				
DOC_099	S18	0-5cm	SR	90d	low	FAD	r3	saturated	0.777777778	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
DOC_100	S37	0-5cm	SR	90d	low	FAD	r4	saturated	0.001731902	0.002078282	0.014894354	0.087319331	0.066693957	9.45E-05	0.007462922	0	0.21806216	0.005951444	0.000220424	0	0.02075133	0.560285921	0.013477344	0	9.76E-04				
DOC_101	S53	0-5cm	SR	90d	up	CW	r4	saturated	0.000460138	0.001331977	0.115325002	0.149690013	0.025622397	0.000169524	0.017194614	0.001162453	0.140051342	0.013561949	0.002421777	0	0.03642352	0.467063838	0.026494236	0.000750751	0.00227647				
DOC_102	S87	0-5cm	SR	90d	up	CW	r1	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0				
DOC_103	S65	0-5cm	SR	90d	up	CW	r3	saturated	0	0.153846154	0	0	0.153846154	0	0.153846154	0	0	0	0	0	0	0.538461538	0	0	0				
DOC_104	S52	0-5cm	SR	90d	up	FAD	r3	saturated	7.37E-05	0	0	0.235948435	0	0	0	0	0.002430939	0	0	0	0	0.761546961	0	0	0				
DOC_105	S72	0-5cm	SR	90d	up	FAD	r4	saturated	0.000524086	0.001572258	0.037253789	0.092959776	0.07612351	0.000262043	0.006332707	0.000436738	0.135432589	0.00574311	0.001332052	0	0.034371315	0.590863432	0.015635236	0.000327554	0.000829803				
DOC_106	S78	0-5cm	SR	90d	up	FAD	r1	saturated	0	0.003807044	0.034705507	0.158004618	0.04192661	0	0.007908827	0.001031586	0.080954954	0.001645626	0.00140001	0	0.028491428	0.622611387	0.015473793	0.0003193	0.00171931				
DOC_107	S13	5cm-end	SR	150d	low	CW	r2	saturated	0	0	0.000109782	0.301203937	0.000402532	0	0	0	0.011161123	0	0	0	0	0.684085337	0	0	0.003037289				
DOC_108	S26	5cm-end	SR	150d	low	CW	r3	saturated	0.009089223	0.000857911	0.176242812	0.085721573	0.018526247	0.001275274	0.02443888	0.001530328	0.013819329	0.024230198	0.055439622	0.00303747	0.02147097	0.489565943	0.044263587	0.008880542	0.021610091				
DOC_109	S4	5cm-end	SR	150d	low	CW	r4	saturated	0.005427449	0.00065969	0.033674173	0.120993133	0.098503703	6.00E-05	0.011154757	0.002698732	0.157815827	0.01025518	0.000809619	0.000179915	0.023508951	0.513928454	0.017181924	0.000119944	3.03E-03				
DOC_110	S8	5cm-end	SR	150d	low	FAD	r3	saturated	0.000544827	0.001362068	0.005569344	0.049034445	0.116623282	9.08E-05	0.002300381	0.000635632	0.090471578	0.00796053	0.000756704	0.000151341	0.01195593	0.69980023	0.011078152	0.000211877	1.45E-03				
DOC_111	S49	5cm-end	SR	150d	low	FAD	r3	saturated	0.000199035	0.000646863	0.002189381	0.022590436	0.079365079	0	0.001691795	0.000796139	0.124695228	0.00298552	0.001393243	0	0.007065731	0.744588745	0.011145942	0	0.000646863				
DOC_112	S14	5cm-end	SR	150d	low	FAD	r4	saturated	0	0	0.5	0	0	0	0	0	0	0	0	0	0.2	0.3	0	0	0				
DOC_113	S56	5cm-end	SR	150d	up	CW	r4	saturated	9.90E-05	0.001980983	0.054427496	0.251881933	0.012826862	9.90E-05	0.024217512	9.90E-05	0.080923138	0.007626783	0.002129556	0	0.076763074	0.452208796	0.031150951	0	3.57E-03				
