"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"11",0.485920770524513,0.000130581162259505,3.17222072414488e-05,2.54364080408969e-05,2.32108839382137e-05,0.731691958303771,1.87538590395853e-07,15318,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1
"13",4.21193630605598e-05,1.31623009564249e-06,1.31623009564249e-06,1.31623009564249e-06,0,0,0,32,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"15",0.254665839625189,3.45362642050179e-05,1.44902326956011e-05,1.46413285409546e-05,5.86487882106086e-06,0.404747041974096,4.42396188275865e-08,17575,"CPCRW_90d_up_CW_r2","C15","CPCRW","upland","constant weight","90 day",2
"25",0.069746983084939,2.26543376355741e-05,5.66128109455674e-06,4.34781189400593e-06,4.70097301704491e-06,0.830372655681211,4.23528270217673e-08,12320,"CPCRW_90d_up_CW_r4","C25","CPCRW","upland","constant weight","90 day",4
"26",2.10124730527814e-05,6.77821711380045e-07,6.77821711380045e-07,6.77821711380045e-07,0,0,0,31,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"28",2.93498102735567e-05,9.46768073340537e-07,9.46768073340537e-07,9.46768073340537e-07,0,0,0,31,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"34",0.25300527130422,4.86509559548016e-05,1.58504743330547e-05,1.56419077558703e-05,8.3421666489872e-06,0.526303912028069,6.60290742153885e-08,15962,"CPCRW_90d_up_CW_r3","C34","CPCRW","upland","constant weight","90 day",3
"4",3.13509043487275e-05,9.79715760897733e-07,9.79715760897733e-07,9.79715760897733e-07,0,0,0,32,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"53",0.598656894937763,0.000176744952433521,4.29514202136435e-05,3.12915705429146e-05,3.0909235223254e-05,0.719632437519161,2.61811084400453e-07,13938,"CPCRW_90d_low_CW_r4","C53","CPCRW","lowland","constant weight","90 day",4
"55",3.86040248388075e-05,1.20637577621273e-06,1.20637577621273e-06,1.20637577621273e-06,0,0,0,32,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"60",0.000297795597314075,9.60630959077661e-06,9.60630959077661e-06,9.60630959077661e-06,0,0,0,31,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"61",0.401746767370533,7.71869844395265e-05,2.33791182129034e-05,2.0115500367776e-05,1.39536276118815e-05,0.596841484131777,1.06444933878989e-07,17184,"CPCRW_90d_low_CW_r2","C61","CPCRW","lowland","constant weight","90 day",2
"62",9.12764595920792e-05,2.94440192232513e-06,2.94440192232513e-06,2.94440192232513e-06,0,0,0,31,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"64",0.69014815003422,0.000123360422301685,3.99946772157058e-05,4.05143127042238e-05,2.06267244958812e-05,0.51573674128269,1.57021890504624e-07,17256,"CPCRW_90d_low_CW_r3","C64","CPCRW","lowland","constant weight","90 day",3
"72",5.88505908104754e-05,1.96168636034918e-06,1.96168636034918e-06,1.96168636034918e-06,0,0,0,30,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"86",0.345639223176718,5.05483748692039e-05,2.00300894284144e-05,1.89937223196027e-05,8.25437489897573e-06,0.412098754150653,6.28368092001181e-08,17256,"CPCRW_90d_low_CW_r1","C86","CPCRW","lowland","constant weight","90 day",1
