"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",0.000112522959632371,4.50091838529485e-06,4.50091838529485e-06,4.50091838529485e-06,0,0,0,25,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"13",0.000262221199035142,8.19441246984819e-06,8.19441246984819e-06,8.19441246984819e-06,0,0,0,32,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",0.000137843047404377,4.75320853118542e-06,4.75320853118542e-06,4.75320853118542e-06,0,0,0,29,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",0.000148102407897968,6.17093366241533e-06,6.17093366241533e-06,6.17093366241533e-06,0,0,0,24,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"20",0.000186348895477581,5.89286671884046e-06,2.21843923187596e-06,1.48891551656477e-06,2.30906052693795e-06,1.04084912210345,2.51939158307804e-07,84,"CPCRW_30d_up_CW_r3","C20","CPCRW","upland","constant weight","30 day",3
"26",3.9902195743747e-07,1.287167604637e-08,1.287167604637e-08,1.287167604637e-08,0,0,0,31,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",0.000293783010645052,1.04922503801804e-05,1.04922503801804e-05,1.04922503801804e-05,0,0,0,28,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"28",0.000141975755378936,4.57986307673986e-06,4.57986307673986e-06,4.57986307673986e-06,0,0,0,31,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"3",0.000978215921936581,1.64901494692214e-05,1.11160900220066e-05,1.25015666480965e-05,5.32124825532528e-06,0.478697837530171,5.67246969970696e-07,88,"CPCRW_30d_up_CW_r4","C3","CPCRW","upland","constant weight","30 day",4
"34",9.71772694622115e-05,4.0997466880709e-06,2.11254933613503e-06,2.11254933613503e-06,2.00915600033051e-06,0.951057552107311,2.96233890909079e-07,46,"CPCRW_90d_up_CW_r3","C34","CPCRW","upland","constant weight","90 day",3
"37",8.75176845779576e-05,3.64657019074824e-06,3.64657019074824e-06,3.64657019074824e-06,0,0,0,24,"CPCRW_90d_up_FAD_r4","C37","CPCRW","upland","forced","90 day",4
"39",2.33528229659738e-05,8.34029391641922e-07,8.34029391641922e-07,8.34029391641922e-07,0,0,0,28,"CPCRW_30d_up_FAD_r4","C39","CPCRW","upland","forced","30 day",4
"52",0.000518166620808415,2.07266648323366e-05,2.07266648323366e-05,2.07266648323366e-05,0,0,0,25,"CPCRW_90d_low_FAD_r3","C52","CPCRW","lowland","forced","90 day",3
"54",0.00285610808679366,6.9788338517117e-05,2.72010293980349e-05,2.2438299623146e-05,2.4071424725186e-05,0.88494535897693,2.34913051452841e-06,105,"CPCRW_30d_low_CW_r4","C54","CPCRW","lowland","constant weight","30 day",4
"55",0.00221079725631188,6.90874142597461e-05,6.90874142597461e-05,6.90874142597461e-05,0,0,0,32,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"56",0.000356569897512565,1.18856632504188e-05,1.18856632504188e-05,1.18856632504188e-05,0,0,0,30,"CPCRW_30d_low_FAD_r4","C56","CPCRW","lowland","forced","30 day",4
"6",2.40291994037336e-05,8.28593082887364e-07,8.28593082887364e-07,8.28593082887364e-07,0,0,0,29,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"60",0.000428150651468505,1.38113113376937e-05,1.38113113376937e-05,1.38113113376937e-05,0,0,0,31,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"61",0.000206841743724885,8.61840598853686e-06,8.61840598853686e-06,8.61840598853686e-06,0,0,0,24,"CPCRW_90d_low_CW_r2","C61","CPCRW","lowland","constant weight","90 day",2
"65",0.000654298550383115,1.38048863140197e-05,5.9481686398465e-06,4.78892017846995e-06,4.5964060788213e-06,0.772743067173684,4.38250124113714e-07,110,"CPCRW_30d_low_CW_r3","C65","CPCRW","lowland","constant weight","30 day",3
"66",0.000809542296824909,1.42617394972287e-05,9.19934428210124e-06,8.77426834321736e-06,4.04065884647734e-06,0.439233354309728,4.30735680308802e-07,88,"CPCRW_30d_low_CW_r2","C66","CPCRW","lowland","constant weight","30 day",2
"69",0.000242467454978658,4.46398406002402e-06,2.8865173211745e-06,2.63445087708987e-06,1.00033998198644e-06,0.346556029526756,1.09146040193896e-07,84,"CPCRW_30d_low_CW_r1","C69","CPCRW","lowland","constant weight","30 day",1
"71",0.000271480509961064,1.08592203984425e-05,1.08592203984425e-05,1.08592203984425e-05,0,0,0,25,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"75",1.21923891440343e-06,4.35442469429798e-08,4.35442469429798e-08,4.35442469429798e-08,0,0,0,28,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
"77",4.21741183963036e-05,1.68696473585214e-06,1.68696473585214e-06,1.68696473585214e-06,0,0,0,25,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
"82",0.000203036506919647,5.32844370262216e-06,2.30723303317781e-06,1.945629285177e-06,1.9266920333373e-06,0.835066075091521,2.0538606085208e-07,88,"CPCRW_30d_up_CW_r1","C82","CPCRW","upland","constant weight","30 day",1
"86",6.8379770810849e-07,2.84915711711871e-08,2.84915711711871e-08,2.84915711711871e-08,0,0,0,24,"CPCRW_90d_low_CW_r1","C86","CPCRW","lowland","constant weight","90 day",1
"9",0.000361909860070821,8.02692774699584e-06,3.29008963700747e-06,3.06627754422243e-06,2.64255074611254e-06,0.803185030702112,2.51957327660134e-07,110,"CPCRW_30d_up_CW_r2","C9","CPCRW","upland","constant weight","30 day",2
