"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",0.000135081204989421,3.21142391715212e-06,2.70162409978842e-06,2.70162409978842e-06,5.14975582722189e-07,0.190617037641365,7.28285453376708e-08,50,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"11",0.151805901286237,0.000167237664541061,7.09705008350802e-05,6.32639706368102e-05,3.84036863226361e-05,0.541121816399151,8.30362105561322e-07,2139,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1
"13",0.000131437072077257,2.24717189478065e-06,1.02685212560357e-06,7.73999194160527e-07,7.42314023314691e-07,0.722902553158148,6.56119099569609e-08,128,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"15",0.0592357132254278,4.54238493369275e-05,2.60376761430452e-05,2.63183628586195e-05,9.7155624328482e-06,0.373134775141724,2.03693535571598e-07,2275,"CPCRW_90d_up_CW_r2","C15","CPCRW","upland","constant weight","90 day",2
"16",4.22195131011097e-05,1.45584527934861e-06,1.45584527934861e-06,1.45584527934861e-06,0,0,0,29,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",5.01217140109868e-05,1.1232183197391e-06,6.96134916819261e-07,8.48153326266143e-07,4.27584926655666e-07,0.614227093519978,5.03913668618957e-08,72,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"25",0.024673788940581,3.75528158700116e-05,1.45654007913701e-05,1.47394678653361e-05,9.48362147086525e-06,0.651106111442139,2.30418586557344e-07,1694,"CPCRW_90d_up_CW_r4","C25","CPCRW","upland","constant weight","90 day",4
"27",9.12591865665274e-05,2.29240560410478e-06,1.62962833154513e-06,1.62962833154513e-06,6.68775379184829e-07,0.410385218665615,8.9368869200695e-08,56,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"34",0.0918002048041612,8.9257464314493e-05,4.38605851907125e-05,4.62518928894171e-05,2.35836443259382e-05,0.537695614944328,5.15497190035712e-07,2093,"CPCRW_90d_up_CW_r3","C34","CPCRW","upland","constant weight","90 day",3
"37",9.41510606913573e-05,1.39169453110699e-06,1.3076536207133e-06,1.35242298767676e-06,9.31319071647744e-08,0.071220624246024,1.09757005168413e-08,72,"CPCRW_90d_up_FAD_r4","C37","CPCRW","upland","forced","90 day",4
