"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",2.00555517771388e-05,3.51192486672442e-07,2.67407357028517e-07,2.60665815331218e-07,6.62741816591724e-08,0.247839784198999,7.65268332424907e-09,75,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"13",0.000106675216981975,2.85329008378556e-06,1.11120017689558e-06,3.03606588493195e-07,1.23940468113344e-06,1.11537480546128,1.26496210566409e-07,96,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",9.29780591726722e-05,2.7099492614171e-06,1.60306998573573e-06,1.60306998573573e-06,1.11654652713851e-06,0.696505166383034,1.46609741600469e-07,58,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",0.000108832448926109,2.89321097174126e-06,1.5115617906404e-06,1.27147668935231e-06,1.05131931019749e-06,0.695518579992737,1.23899168905502e-07,72,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"26",0.000123399673765819,2.84738951600191e-06,9.95158659401765e-07,4.81889162666554e-07,1.08186265294845e-06,1.08712579921559,9.71541342671475e-08,124,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",0.000110228307864593,3.21416443084981e-06,1.96836264043916e-06,1.96836264043916e-06,1.25707624456306e-06,0.638640573000611,1.67983879150265e-07,56,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"28",7.14780186648514e-05,1.06351666564706e-06,5.76435634393963e-07,5.72686528080295e-07,3.8518648421272e-07,0.668221152943964,3.45907674168285e-08,124,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"37",9.49710263989261e-05,3.95712609995525e-06,3.95712609995525e-06,3.95712609995525e-06,0,0,0,24,"CPCRW_90d_up_FAD_r4","C37","CPCRW","upland","forced","90 day",4
"39",0.000111224154967192,1.99781979250759e-06,1.98614562441415e-06,1.98614562441415e-06,1.17798188269362e-08,0.00593099452635096,1.57414450459517e-09,56,"CPCRW_30d_up_FAD_r4","C39","CPCRW","upland","forced","30 day",4
"4",4.2092517115887e-05,9.89527801104061e-07,6.57695579935735e-07,6.57695579935735e-07,3.34455441603647e-07,0.50852621152833,4.18069302004559e-08,64,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"44",0.000434850786046301,5.4080716121832e-06,2.99897093825035e-06,2.61814965510692e-06,1.35987752911563e-06,0.45344805172037,1.12931681947726e-07,145,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3
"50",3.82492563605327e-07,1.31893987450113e-08,1.31893987450113e-08,1.31893987450113e-08,0,0,0,29,"CPCRW_30d_low_FAD_r1","C50","CPCRW","lowland","forced","30 day",1
"52",2.14509754702622e-05,8.5803901881049e-07,8.5803901881049e-07,8.5803901881049e-07,0,0,0,25,"CPCRW_90d_low_FAD_r3","C52","CPCRW","lowland","forced","90 day",3
"55",0.000294290000504529,6.94596832008327e-06,3.06552083858884e-06,1.51010550799826e-06,2.77631874463156e-06,0.905659720098198,2.83356845319654e-07,96,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"56",0.00062999524958317,1.12451887559866e-05,5.24996041319309e-06,3.72596404282705e-06,3.52755513880638e-06,0.671920331045102,3.2202025372792e-07,120,"CPCRW_30d_low_FAD_r4","C56","CPCRW","lowland","forced","30 day",4
"6",5.38157676940829e-05,7.451864350097e-07,6.18572042460723e-07,6.13284185526231e-07,1.01877692756301e-07,0.164698185115228,1.09224351424384e-08,87,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"60",0.000521364323721601,6.34830378872103e-06,3.36364079820388e-06,3.3662676864441e-06,1.75506204025369e-06,0.521774513256843,1.40969975415482e-07,155,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"62",0.000131857090168641,2.49791530866558e-06,1.41781817385636e-06,9.56523775502053e-07,7.70600374678504e-07,0.543511424023103,7.99075364482775e-08,93,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"71",0.00010112691140291,2.61323514583227e-06,1.0112691140291e-06,6.99164257629537e-07,9.75465058549995e-07,0.964594928310972,9.75465058549995e-08,100,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"72",2.00640252835768e-05,6.68800842785893e-07,6.68800842785893e-07,6.68800842785893e-07,0,0,0,30,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"77",0.000549645052918953,1.41618951613528e-05,7.32860070558605e-06,6.08551314992987e-06,5.18214166360947e-06,0.707112022034372,5.98382176892741e-07,75,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
