"formula","depth","Site","length","drying","saturation"
"C12H16O5","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C12H16O5","0-5cm","SR","30d","CW","instant chemistry"
"C12H16O5","0-5cm","SR","30d","FAD","instant chemistry"
"C12H16O5","0-5cm","SR","90d","CW","instant chemistry"
"C12H16O5","0-5cm","SR","90d","FAD","instant chemistry"
"C12H16O5","5cm-end","SR","30d","CW","instant chemistry"
"C12H16O5","5cm-end","SR","30d","FAD","instant chemistry"
"C12H16O5","5cm-end","SR","90d","CW","instant chemistry"
"C12H16O5","5cm-end","SR","90d","FAD","instant chemistry"
"C11H16O4N2","0-5cm","SR","150d","CW","saturated"
"C11H16O4N2","0-5cm","SR","150d","FAD","saturated"
"C11H16O4N2","0-5cm","SR","30d","FAD","saturated"
"C11H16O4N2","0-5cm","SR","90d","CW","saturated"
"C11H16O4N2","0-5cm","SR","90d","FAD","saturated"
"C11H16O4N2","5cm-end","SR","90d","FAD","saturated"
"C11H16O4N2","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C11H16O4N2","0-5cm","SR","30d","CW","instant chemistry"
"C11H16O4N2","0-5cm","SR","30d","FAD","instant chemistry"
"C11H16O4N2","0-5cm","SR","90d","CW","instant chemistry"
"C11H16O4N2","0-5cm","SR","90d","FAD","instant chemistry"
"C11H16O4N2","5cm-end","SR","30d","CW","instant chemistry"
"C11H16O4N2","5cm-end","SR","30d","FAD","instant chemistry"
"C11H16O4N2","5cm-end","SR","90d","CW","instant chemistry"
"C11H16O4N2","5cm-end","SR","90d","FAD","instant chemistry"
"C13H20O4","0-5cm","CPCRW","150d","FAD","saturated"
"C13H20O4","0-5cm","CPCRW","150d","CW","saturated"
"C13H20O4","0-5cm","CPCRW","30d","CW","saturated"
"C13H20O4","0-5cm","CPCRW","30d","FAD","saturated"
"C13H20O4","0-5cm","CPCRW","90d","CW","saturated"
"C13H20O4","0-5cm","CPCRW","90d","FAD","saturated"
"C13H20O4","5cm-end","CPCRW","150d","CW","saturated"
"C13H20O4","5cm-end","CPCRW","150d","FAD","saturated"
"C13H20O4","5cm-end","CPCRW","30d","CW","saturated"
"C13H20O4","5cm-end","CPCRW","30d","FAD","saturated"
"C13H20O4","5cm-end","CPCRW","90d","CW","saturated"
"C13H20O4","5cm-end","CPCRW","90d","FAD","saturated"
"C13H20O4","0-5cm","SR","150d","CW","saturated"
"C13H20O4","0-5cm","SR","150d","FAD","saturated"
"C13H20O4","0-5cm","SR","30d","CW","saturated"
"C13H20O4","0-5cm","SR","30d","FAD","saturated"
"C13H20O4","0-5cm","SR","90d","CW","saturated"
"C13H20O4","0-5cm","SR","90d","FAD","saturated"
"C13H20O4","5cm-end","SR","150d","CW","saturated"
"C13H20O4","5cm-end","SR","150d","FAD","saturated"
"C13H20O4","5cm-end","SR","30d","CW","saturated"
"C13H20O4","5cm-end","SR","30d","FAD","saturated"
"C13H20O4","5cm-end","SR","90d","CW","saturated"
"C13H20O4","5cm-end","SR","90d","FAD","saturated"
"C13H20O4","0-5cm","CPCRW","90d","CW","instant chemistry"
"C13H20O4","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C13H20O4","5cm-end","CPCRW","90d","CW","instant chemistry"
"C13H20O4","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C13H20O4","0-5cm","SR","30d","CW","instant chemistry"
"C13H20O4","0-5cm","SR","30d","FAD","instant chemistry"
"C13H20O4","0-5cm","SR","90d","CW","instant chemistry"
"C13H20O4","0-5cm","SR","90d","FAD","instant chemistry"
"C13H20O4","5cm-end","SR","30d","CW","instant chemistry"
"C13H20O4","5cm-end","SR","30d","FAD","instant chemistry"
"C13H20O4","5cm-end","SR","90d","CW","instant chemistry"
"C13H20O4","5cm-end","SR","90d","FAD","instant chemistry"
"C14H24O3","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C9H7O7N1","0-5cm","CPCRW","150d","FAD","saturated"
"C9H7O7N1","0-5cm","CPCRW","90d","FAD","saturated"
"C9H7O7N1","5cm-end","CPCRW","150d","FAD","saturated"
"C9H7O7N1","5cm-end","CPCRW","30d","CW","saturated"
"C9H7O7N1","5cm-end","CPCRW","90d","FAD","saturated"
"C9H7O7N1","0-5cm","SR","150d","CW","saturated"
"C9H7O7N1","0-5cm","SR","150d","FAD","saturated"
"C9H7O7N1","0-5cm","SR","30d","FAD","saturated"
"C9H7O7N1","0-5cm","SR","90d","CW","saturated"
"C9H7O7N1","0-5cm","SR","90d","FAD","saturated"
"C9H7O7N1","5cm-end","SR","30d","FAD","saturated"
"C9H7O7N1","5cm-end","SR","90d","CW","saturated"
"C9H7O7N1","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C9H7O7N1","0-5cm","SR","30d","CW","instant chemistry"
"C9H7O7N1","0-5cm","SR","30d","FAD","instant chemistry"
"C9H7O7N1","0-5cm","SR","90d","CW","instant chemistry"
"C9H7O7N1","0-5cm","SR","90d","FAD","instant chemistry"
"C9H7O7N1","5cm-end","SR","30d","CW","instant chemistry"
"C9H7O7N1","5cm-end","SR","30d","FAD","instant chemistry"
"C9H7O7N1","5cm-end","SR","90d","CW","instant chemistry"
"C9H7O7N1","5cm-end","SR","90d","FAD","instant chemistry"
"C10H11O6N1","0-5cm","CPCRW","150d","FAD","saturated"
"C10H11O6N1","0-5cm","CPCRW","150d","CW","saturated"
"C10H11O6N1","0-5cm","CPCRW","30d","CW","saturated"
"C10H11O6N1","0-5cm","CPCRW","30d","FAD","saturated"
"C10H11O6N1","0-5cm","CPCRW","90d","CW","saturated"
"C10H11O6N1","0-5cm","CPCRW","90d","FAD","saturated"
"C10H11O6N1","5cm-end","CPCRW","150d","CW","saturated"
"C10H11O6N1","5cm-end","CPCRW","150d","FAD","saturated"
"C10H11O6N1","5cm-end","CPCRW","30d","CW","saturated"
"C10H11O6N1","5cm-end","CPCRW","30d","FAD","saturated"
"C10H11O6N1","5cm-end","CPCRW","90d","CW","saturated"
"C10H11O6N1","5cm-end","CPCRW","90d","FAD","saturated"
"C10H11O6N1","0-5cm","SR","150d","CW","saturated"
"C10H11O6N1","0-5cm","SR","150d","FAD","saturated"
"C10H11O6N1","0-5cm","SR","30d","CW","saturated"
"C10H11O6N1","0-5cm","SR","30d","FAD","saturated"
"C10H11O6N1","0-5cm","SR","90d","CW","saturated"
"C10H11O6N1","0-5cm","SR","90d","FAD","saturated"
"C10H11O6N1","5cm-end","SR","150d","CW","saturated"
"C10H11O6N1","5cm-end","SR","150d","FAD","saturated"
"C10H11O6N1","5cm-end","SR","30d","CW","saturated"
"C10H11O6N1","5cm-end","SR","30d","FAD","saturated"
"C10H11O6N1","5cm-end","SR","90d","CW","saturated"
"C10H11O6N1","5cm-end","SR","90d","FAD","saturated"
"C10H11O6N1","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H11O6N1","5cm-end","CPCRW","90d","CW","instant chemistry"
"C10H11O6N1","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H11O6N1","0-5cm","SR","30d","CW","instant chemistry"
"C10H11O6N1","0-5cm","SR","30d","FAD","instant chemistry"
"C10H11O6N1","0-5cm","SR","90d","CW","instant chemistry"
"C10H11O6N1","0-5cm","SR","90d","FAD","instant chemistry"
"C10H11O6N1","5cm-end","SR","30d","CW","instant chemistry"
"C10H11O6N1","5cm-end","SR","30d","FAD","instant chemistry"
"C10H11O6N1","5cm-end","SR","90d","CW","instant chemistry"
"C10H11O6N1","5cm-end","SR","90d","FAD","instant chemistry"
"C11H15O5N1","0-5cm","CPCRW","150d","FAD","saturated"
"C11H15O5N1","0-5cm","CPCRW","150d","CW","saturated"
"C11H15O5N1","0-5cm","CPCRW","30d","CW","saturated"
"C11H15O5N1","0-5cm","CPCRW","30d","FAD","saturated"
"C11H15O5N1","0-5cm","CPCRW","90d","CW","saturated"
"C11H15O5N1","0-5cm","CPCRW","90d","FAD","saturated"
"C11H15O5N1","5cm-end","CPCRW","150d","CW","saturated"
"C11H15O5N1","5cm-end","CPCRW","30d","FAD","saturated"
"C11H15O5N1","5cm-end","CPCRW","90d","CW","saturated"
"C11H15O5N1","0-5cm","SR","150d","CW","saturated"
"C11H15O5N1","0-5cm","SR","150d","FAD","saturated"
"C11H15O5N1","0-5cm","SR","30d","CW","saturated"
"C11H15O5N1","0-5cm","SR","30d","FAD","saturated"
"C11H15O5N1","0-5cm","SR","90d","CW","saturated"
"C11H15O5N1","0-5cm","SR","90d","FAD","saturated"
"C11H15O5N1","5cm-end","SR","30d","CW","saturated"
"C11H15O5N1","5cm-end","SR","90d","CW","saturated"
"C11H15O5N1","5cm-end","SR","90d","FAD","saturated"
"C11H15O5N1","0-5cm","SR","30d","CW","instant chemistry"
"C11H15O5N1","0-5cm","SR","30d","FAD","instant chemistry"
"C11H15O5N1","0-5cm","SR","90d","CW","instant chemistry"
"C11H15O5N1","0-5cm","SR","90d","FAD","instant chemistry"
"C11H15O5N1","5cm-end","SR","30d","CW","instant chemistry"
"C11H15O5N1","5cm-end","SR","30d","FAD","instant chemistry"
"C11H15O5N1","5cm-end","SR","90d","CW","instant chemistry"
"C11H15O5N1","5cm-end","SR","90d","FAD","instant chemistry"
"C9H6O8","0-5cm","CPCRW","150d","FAD","saturated"
"C9H6O8","0-5cm","CPCRW","30d","FAD","saturated"
"C9H6O8","0-5cm","CPCRW","90d","CW","saturated"
"C9H6O8","0-5cm","CPCRW","90d","FAD","saturated"
"C9H6O8","5cm-end","CPCRW","150d","CW","saturated"
"C9H6O8","5cm-end","CPCRW","150d","FAD","saturated"
"C9H6O8","5cm-end","CPCRW","30d","CW","saturated"
"C9H6O8","5cm-end","CPCRW","30d","FAD","saturated"
"C9H6O8","5cm-end","CPCRW","90d","CW","saturated"
"C9H6O8","5cm-end","CPCRW","90d","FAD","saturated"
"C9H6O8","0-5cm","SR","150d","CW","saturated"
"C9H6O8","0-5cm","SR","150d","FAD","saturated"
"C9H6O8","0-5cm","SR","30d","FAD","saturated"
"C9H6O8","5cm-end","SR","150d","CW","saturated"
"C9H6O8","5cm-end","SR","30d","CW","saturated"
"C9H6O8","5cm-end","SR","30d","FAD","saturated"
"C9H6O8","0-5cm","CPCRW","90d","CW","instant chemistry"
"C9H6O8","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C9H6O8","5cm-end","CPCRW","90d","CW","instant chemistry"
"C9H6O8","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C9H6O8","0-5cm","SR","30d","CW","instant chemistry"
"C9H6O8","0-5cm","SR","30d","FAD","instant chemistry"
"C9H6O8","0-5cm","SR","90d","CW","instant chemistry"
"C9H6O8","0-5cm","SR","90d","FAD","instant chemistry"
"C9H6O8","5cm-end","SR","30d","CW","instant chemistry"
"C9H6O8","5cm-end","SR","30d","FAD","instant chemistry"
"C9H6O8","5cm-end","SR","90d","CW","instant chemistry"
"C9H6O8","5cm-end","SR","90d","FAD","instant chemistry"
"C10H10O5S1","0-5cm","CPCRW","30d","CW","saturated"
"C10H10O5S1","0-5cm","CPCRW","90d","CW","saturated"
"C10H10O5S1","5cm-end","CPCRW","30d","CW","saturated"
"C10H10O5S1","5cm-end","CPCRW","90d","CW","saturated"
"C10H10O5S1","5cm-end","SR","150d","CW","saturated"
"C10H10O5S1","5cm-end","SR","150d","FAD","saturated"
"C10H10O5S1","5cm-end","SR","30d","CW","saturated"
"C10H10O5S1","5cm-end","SR","30d","FAD","saturated"
"C10H10O7","0-5cm","CPCRW","150d","FAD","saturated"
"C10H10O7","0-5cm","CPCRW","150d","CW","saturated"
"C10H10O7","0-5cm","CPCRW","30d","CW","saturated"
"C10H10O7","0-5cm","CPCRW","30d","FAD","saturated"
"C10H10O7","0-5cm","CPCRW","90d","CW","saturated"
"C10H10O7","0-5cm","CPCRW","90d","FAD","saturated"
"C10H10O7","5cm-end","CPCRW","150d","CW","saturated"
"C10H10O7","5cm-end","CPCRW","150d","FAD","saturated"
"C10H10O7","5cm-end","CPCRW","30d","CW","saturated"
"C10H10O7","5cm-end","CPCRW","30d","FAD","saturated"
"C10H10O7","5cm-end","CPCRW","90d","CW","saturated"
"C10H10O7","5cm-end","CPCRW","90d","FAD","saturated"
"C10H10O7","0-5cm","SR","150d","CW","saturated"
"C10H10O7","0-5cm","SR","150d","FAD","saturated"
"C10H10O7","0-5cm","SR","30d","CW","saturated"
"C10H10O7","0-5cm","SR","30d","FAD","saturated"
"C10H10O7","0-5cm","SR","90d","CW","saturated"
"C10H10O7","0-5cm","SR","90d","FAD","saturated"
"C10H10O7","5cm-end","SR","150d","CW","saturated"
"C10H10O7","5cm-end","SR","150d","FAD","saturated"
"C10H10O7","5cm-end","SR","30d","CW","saturated"
"C10H10O7","5cm-end","SR","30d","FAD","saturated"
"C10H10O7","5cm-end","SR","90d","CW","saturated"
"C10H10O7","5cm-end","SR","90d","FAD","saturated"
"C10H10O7","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H10O7","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C10H10O7","5cm-end","CPCRW","90d","CW","instant chemistry"
"C10H10O7","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H10O7","0-5cm","SR","30d","CW","instant chemistry"
"C10H10O7","0-5cm","SR","30d","FAD","instant chemistry"
"C10H10O7","0-5cm","SR","90d","CW","instant chemistry"
"C10H10O7","0-5cm","SR","90d","FAD","instant chemistry"
"C10H10O7","5cm-end","SR","30d","CW","instant chemistry"
"C10H10O7","5cm-end","SR","30d","FAD","instant chemistry"
"C10H10O7","5cm-end","SR","90d","CW","instant chemistry"
"C10H10O7","5cm-end","SR","90d","FAD","instant chemistry"
"C9H10O6N2","0-5cm","SR","150d","CW","saturated"
"C9H10O6N2","0-5cm","SR","150d","FAD","saturated"
"C9H10O6N2","0-5cm","SR","90d","CW","saturated"
"C9H10O6N2","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C9H10O6N2","0-5cm","SR","30d","CW","instant chemistry"
"C9H10O6N2","0-5cm","SR","30d","FAD","instant chemistry"
"C9H10O6N2","0-5cm","SR","90d","CW","instant chemistry"
"C9H10O6N2","0-5cm","SR","90d","FAD","instant chemistry"
"C9H10O6N2","5cm-end","SR","30d","FAD","instant chemistry"
"C9H10O6N2","5cm-end","SR","90d","CW","instant chemistry"
"C9H10O6N2","5cm-end","SR","90d","FAD","instant chemistry"
"C14H10O4","0-5cm","CPCRW","30d","FAD","saturated"
"C14H10O4","0-5cm","CPCRW","90d","CW","saturated"
"C14H10O4","5cm-end","CPCRW","150d","FAD","saturated"
"C14H10O4","5cm-end","CPCRW","30d","CW","saturated"
"C14H10O4","5cm-end","CPCRW","30d","FAD","saturated"
"C14H10O4","5cm-end","CPCRW","90d","CW","saturated"
"C14H10O4","5cm-end","CPCRW","90d","FAD","saturated"
"C14H10O4","0-5cm","SR","150d","CW","saturated"
"C14H10O4","0-5cm","SR","150d","FAD","saturated"
"C14H10O4","0-5cm","SR","30d","CW","saturated"
"C14H10O4","0-5cm","SR","30d","FAD","saturated"
"C14H10O4","0-5cm","SR","90d","CW","saturated"
"C14H10O4","5cm-end","SR","150d","CW","saturated"
"C14H10O4","5cm-end","SR","30d","CW","saturated"
"C14H10O4","5cm-end","SR","30d","FAD","saturated"
"C14H10O4","5cm-end","SR","90d","FAD","saturated"
"C14H10O4","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C14H10O4","5cm-end","CPCRW","90d","CW","instant chemistry"
"C14H10O4","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C14H10O4","0-5cm","SR","30d","CW","instant chemistry"
"C14H10O4","0-5cm","SR","30d","FAD","instant chemistry"
"C14H10O4","0-5cm","SR","90d","CW","instant chemistry"
"C14H10O4","0-5cm","SR","90d","FAD","instant chemistry"
"C14H10O4","5cm-end","SR","30d","FAD","instant chemistry"
"C14H10O4","5cm-end","SR","90d","CW","instant chemistry"
"C14H10O4","5cm-end","SR","90d","FAD","instant chemistry"
"C11H14O6","0-5cm","CPCRW","150d","FAD","saturated"
"C11H14O6","0-5cm","CPCRW","150d","CW","saturated"
"C11H14O6","0-5cm","CPCRW","30d","CW","saturated"
"C11H14O6","0-5cm","CPCRW","30d","FAD","saturated"
"C11H14O6","0-5cm","CPCRW","90d","CW","saturated"
"C11H14O6","0-5cm","CPCRW","90d","FAD","saturated"
"C11H14O6","5cm-end","CPCRW","150d","CW","saturated"
"C11H14O6","5cm-end","CPCRW","150d","FAD","saturated"
"C11H14O6","5cm-end","CPCRW","30d","CW","saturated"
"C11H14O6","5cm-end","CPCRW","30d","FAD","saturated"
"C11H14O6","5cm-end","CPCRW","90d","CW","saturated"
"C11H14O6","5cm-end","CPCRW","90d","FAD","saturated"
"C11H14O6","0-5cm","SR","150d","CW","saturated"
"C11H14O6","0-5cm","SR","150d","FAD","saturated"
"C11H14O6","0-5cm","SR","30d","CW","saturated"
"C11H14O6","0-5cm","SR","30d","FAD","saturated"
"C11H14O6","0-5cm","SR","90d","CW","saturated"
"C11H14O6","0-5cm","SR","90d","FAD","saturated"
"C11H14O6","5cm-end","SR","150d","CW","saturated"
"C11H14O6","5cm-end","SR","150d","FAD","saturated"
"C11H14O6","5cm-end","SR","30d","CW","saturated"
"C11H14O6","5cm-end","SR","30d","FAD","saturated"
"C11H14O6","5cm-end","SR","90d","CW","saturated"
"C11H14O6","5cm-end","SR","90d","FAD","saturated"
"C11H14O6","0-5cm","CPCRW","90d","CW","instant chemistry"
"C11H14O6","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C11H14O6","5cm-end","CPCRW","90d","CW","instant chemistry"
"C11H14O6","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C11H14O6","0-5cm","SR","30d","CW","instant chemistry"
"C11H14O6","0-5cm","SR","30d","FAD","instant chemistry"
"C11H14O6","0-5cm","SR","90d","CW","instant chemistry"
"C11H14O6","0-5cm","SR","90d","FAD","instant chemistry"
"C11H14O6","5cm-end","SR","30d","CW","instant chemistry"
"C11H14O6","5cm-end","SR","30d","FAD","instant chemistry"
"C11H14O6","5cm-end","SR","90d","CW","instant chemistry"
"C11H14O6","5cm-end","SR","90d","FAD","instant chemistry"
"C10H14O5N2","0-5cm","CPCRW","150d","FAD","saturated"
"C10H14O5N2","0-5cm","CPCRW","90d","FAD","saturated"
"C10H14O5N2","5cm-end","CPCRW","30d","FAD","saturated"
"C10H14O5N2","0-5cm","SR","150d","CW","saturated"
"C10H14O5N2","0-5cm","SR","150d","FAD","saturated"
"C10H14O5N2","0-5cm","SR","30d","CW","saturated"
"C10H14O5N2","0-5cm","SR","30d","FAD","saturated"
"C10H14O5N2","0-5cm","SR","90d","CW","saturated"
"C10H14O5N2","0-5cm","SR","90d","FAD","saturated"
"C10H14O5N2","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H14O5N2","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C10H14O5N2","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H14O5N2","0-5cm","SR","30d","CW","instant chemistry"
"C10H14O5N2","0-5cm","SR","30d","FAD","instant chemistry"
"C10H14O5N2","0-5cm","SR","90d","CW","instant chemistry"
"C10H14O5N2","0-5cm","SR","90d","FAD","instant chemistry"
"C10H14O5N2","5cm-end","SR","30d","CW","instant chemistry"
"C10H14O5N2","5cm-end","SR","30d","FAD","instant chemistry"
"C10H14O5N2","5cm-end","SR","90d","CW","instant chemistry"
"C10H14O5N2","5cm-end","SR","90d","FAD","instant chemistry"
"C8H19O6P1","5cm-end","CPCRW","150d","CW","saturated"
"C12H18O5","0-5cm","CPCRW","150d","FAD","saturated"
"C12H18O5","0-5cm","CPCRW","150d","CW","saturated"
"C12H18O5","0-5cm","CPCRW","30d","CW","saturated"
"C12H18O5","0-5cm","CPCRW","30d","FAD","saturated"
"C12H18O5","0-5cm","CPCRW","90d","CW","saturated"
"C12H18O5","0-5cm","CPCRW","90d","FAD","saturated"
"C12H18O5","5cm-end","CPCRW","150d","CW","saturated"
"C12H18O5","5cm-end","CPCRW","150d","FAD","saturated"
"C12H18O5","5cm-end","CPCRW","30d","CW","saturated"
"C12H18O5","5cm-end","CPCRW","30d","FAD","saturated"
"C12H18O5","5cm-end","CPCRW","90d","CW","saturated"
"C12H18O5","5cm-end","CPCRW","90d","FAD","saturated"
"C12H18O5","0-5cm","SR","150d","CW","saturated"
"C12H18O5","0-5cm","SR","150d","FAD","saturated"
"C12H18O5","0-5cm","SR","30d","CW","saturated"
"C12H18O5","0-5cm","SR","30d","FAD","saturated"
"C12H18O5","0-5cm","SR","90d","CW","saturated"
"C12H18O5","0-5cm","SR","90d","FAD","saturated"
"C12H18O5","5cm-end","SR","150d","CW","saturated"
"C12H18O5","5cm-end","SR","150d","FAD","saturated"
"C12H18O5","5cm-end","SR","30d","CW","saturated"
"C12H18O5","5cm-end","SR","30d","FAD","saturated"
"C12H18O5","5cm-end","SR","90d","CW","saturated"
"C12H18O5","5cm-end","SR","90d","FAD","saturated"
"C12H18O5","0-5cm","CPCRW","90d","CW","instant chemistry"
"C12H18O5","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C12H18O5","5cm-end","CPCRW","90d","CW","instant chemistry"
"C12H18O5","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C12H18O5","0-5cm","SR","30d","CW","instant chemistry"
"C12H18O5","0-5cm","SR","30d","FAD","instant chemistry"
"C12H18O5","0-5cm","SR","90d","CW","instant chemistry"
"C12H18O5","0-5cm","SR","90d","FAD","instant chemistry"
"C12H18O5","5cm-end","SR","30d","CW","instant chemistry"
"C12H18O5","5cm-end","SR","30d","FAD","instant chemistry"
"C12H18O5","5cm-end","SR","90d","CW","instant chemistry"
"C12H18O5","5cm-end","SR","90d","FAD","instant chemistry"
"C11H18O4N2","0-5cm","SR","150d","CW","saturated"
"C11H18O4N2","0-5cm","SR","150d","FAD","saturated"
"C11H18O4N2","0-5cm","SR","90d","FAD","saturated"
"C11H18O4N2","0-5cm","CPCRW","90d","CW","instant chemistry"
"C11H18O4N2","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C11H18O4N2","5cm-end","CPCRW","90d","CW","instant chemistry"
"C11H18O4N2","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C11H18O4N2","0-5cm","SR","30d","CW","instant chemistry"
"C11H18O4N2","0-5cm","SR","30d","FAD","instant chemistry"
"C11H18O4N2","0-5cm","SR","90d","CW","instant chemistry"
"C11H18O4N2","0-5cm","SR","90d","FAD","instant chemistry"
"C11H18O4N2","5cm-end","SR","30d","CW","instant chemistry"
"C11H18O4N2","5cm-end","SR","30d","FAD","instant chemistry"
"C11H18O4N2","5cm-end","SR","90d","CW","instant chemistry"
"C11H18O4N2","5cm-end","SR","90d","FAD","instant chemistry"
"C13H22O4","0-5cm","CPCRW","150d","FAD","saturated"
"C13H22O4","0-5cm","CPCRW","150d","CW","saturated"
"C13H22O4","0-5cm","CPCRW","30d","CW","saturated"
"C13H22O4","0-5cm","CPCRW","30d","FAD","saturated"
"C13H22O4","0-5cm","CPCRW","90d","CW","saturated"
"C13H22O4","0-5cm","CPCRW","90d","FAD","saturated"
"C13H22O4","5cm-end","CPCRW","150d","CW","saturated"
"C13H22O4","5cm-end","CPCRW","150d","FAD","saturated"
"C13H22O4","5cm-end","CPCRW","30d","CW","saturated"
"C13H22O4","5cm-end","CPCRW","30d","FAD","saturated"
"C13H22O4","5cm-end","CPCRW","90d","CW","saturated"
"C13H22O4","5cm-end","CPCRW","90d","FAD","saturated"
"C13H22O4","0-5cm","SR","150d","CW","saturated"
"C13H22O4","0-5cm","SR","150d","FAD","saturated"
"C13H22O4","0-5cm","SR","30d","CW","saturated"
"C13H22O4","0-5cm","SR","30d","FAD","saturated"
"C13H22O4","0-5cm","SR","90d","CW","saturated"
"C13H22O4","0-5cm","SR","90d","FAD","saturated"
"C13H22O4","5cm-end","SR","150d","CW","saturated"
"C13H22O4","5cm-end","SR","150d","FAD","saturated"
"C13H22O4","5cm-end","SR","30d","CW","saturated"
"C13H22O4","5cm-end","SR","30d","FAD","saturated"
"C13H22O4","5cm-end","SR","90d","CW","saturated"
"C13H22O4","5cm-end","SR","90d","FAD","saturated"
"C13H22O4","0-5cm","CPCRW","90d","CW","instant chemistry"
"C13H22O4","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C13H22O4","5cm-end","CPCRW","90d","CW","instant chemistry"
"C13H22O4","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C13H22O4","0-5cm","SR","30d","CW","instant chemistry"
"C13H22O4","0-5cm","SR","30d","FAD","instant chemistry"
"C13H22O4","0-5cm","SR","90d","CW","instant chemistry"
"C13H22O4","0-5cm","SR","90d","FAD","instant chemistry"
"C13H22O4","5cm-end","SR","30d","CW","instant chemistry"
"C13H22O4","5cm-end","SR","30d","FAD","instant chemistry"
"C13H22O4","5cm-end","SR","90d","CW","instant chemistry"
"C13H22O4","5cm-end","SR","90d","FAD","instant chemistry"
"C9H9O7N1","0-5cm","SR","90d","FAD","saturated"
"C9H9O7N1","0-5cm","SR","30d","CW","instant chemistry"
"C10H13O6N1","0-5cm","CPCRW","150d","FAD","saturated"
"C10H13O6N1","0-5cm","CPCRW","150d","CW","saturated"
"C10H13O6N1","0-5cm","CPCRW","30d","CW","saturated"
"C10H13O6N1","0-5cm","CPCRW","30d","FAD","saturated"
"C10H13O6N1","0-5cm","CPCRW","90d","CW","saturated"
"C10H13O6N1","0-5cm","CPCRW","90d","FAD","saturated"
"C10H13O6N1","5cm-end","CPCRW","150d","CW","saturated"
"C10H13O6N1","5cm-end","CPCRW","150d","FAD","saturated"
"C10H13O6N1","5cm-end","CPCRW","30d","CW","saturated"
"C10H13O6N1","5cm-end","CPCRW","30d","FAD","saturated"
"C10H13O6N1","5cm-end","CPCRW","90d","CW","saturated"
"C10H13O6N1","5cm-end","CPCRW","90d","FAD","saturated"
"C10H13O6N1","0-5cm","SR","150d","CW","saturated"
"C10H13O6N1","0-5cm","SR","150d","FAD","saturated"
"C10H13O6N1","0-5cm","SR","30d","CW","saturated"
"C10H13O6N1","0-5cm","SR","30d","FAD","saturated"
"C10H13O6N1","0-5cm","SR","90d","CW","saturated"
"C10H13O6N1","0-5cm","SR","90d","FAD","saturated"
"C10H13O6N1","5cm-end","SR","150d","CW","saturated"
"C10H13O6N1","5cm-end","SR","150d","FAD","saturated"
"C10H13O6N1","5cm-end","SR","30d","CW","saturated"
"C10H13O6N1","5cm-end","SR","30d","FAD","saturated"
"C10H13O6N1","5cm-end","SR","90d","CW","saturated"
"C10H13O6N1","5cm-end","SR","90d","FAD","saturated"
"C10H13O6N1","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H13O6N1","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C10H13O6N1","5cm-end","CPCRW","90d","CW","instant chemistry"
"C10H13O6N1","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H13O6N1","0-5cm","SR","30d","CW","instant chemistry"
"C10H13O6N1","0-5cm","SR","30d","FAD","instant chemistry"
"C10H13O6N1","0-5cm","SR","90d","CW","instant chemistry"
"C10H13O6N1","0-5cm","SR","90d","FAD","instant chemistry"
"C10H13O6N1","5cm-end","SR","30d","CW","instant chemistry"
"C10H13O6N1","5cm-end","SR","30d","FAD","instant chemistry"
"C10H13O6N1","5cm-end","SR","90d","CW","instant chemistry"
"C10H13O6N1","5cm-end","SR","90d","FAD","instant chemistry"
"C11H17O5N1","0-5cm","CPCRW","150d","CW","saturated"
"C11H17O5N1","0-5cm","CPCRW","30d","FAD","saturated"
"C11H17O5N1","0-5cm","CPCRW","90d","CW","saturated"
"C11H17O5N1","0-5cm","CPCRW","90d","FAD","saturated"
"C11H17O5N1","0-5cm","SR","150d","CW","saturated"
"C11H17O5N1","0-5cm","SR","150d","FAD","saturated"
