"date","Site","Core","PPM_CO2","Mass_g","dry_soil_g","CO2_ppm_g"
2020-02-24,"SR","86",673,227.11,152.67,4.41
2020-02-24,"","amb",547,NA,NA,NA
2020-02-24,"SR","33",622,161.43,84.75,7.34
2020-02-24,"SR","4",685,197.03,102.47,6.68
2020-02-24,"SR","46",599,172.67,97.39,6.15
2020-02-24,"SR","63",677,223.83,151.89,4.46
2020-02-24,"SR","8",680,176.34,85.36,7.97
2020-02-24,"SR","13",621,186.5,90.63,6.85
2020-02-24,"","amb",519,NA,NA,NA
2020-02-26,"CPCRW","14",601,247.78,158.17,3.8
2020-02-26,"CPCRW","48",549,228.93,85.9,6.39
2020-02-26,"CPCRW","35",651,183.83,110.77,5.88
2020-02-26,"CPCRW","49",590,148.28,57.64,10.24
2020-02-26,"CPCRW","8",567,281,162.34,3.49
2020-02-26,"CPCRW","46",552,236.83,133.01,4.15
2020-02-26,"CPCRW","85",559,228.63,170.62,3.28
2020-02-26,"CPCRW","79",573,235.45,73.93,7.75
2020-02-26,"CPCRW","33",551,263.02,184.46,2.99
2020-02-26,"","amb",538,NA,NA,NA
2020-02-26,"SR","56",587,262.39,152.43,3.85
2020-02-26,"SR","61",613,279.94,160.64,3.82
2020-02-26,"SR","80",621,288.31,166.88,3.72
2020-02-26,"SR","73",625,304.12,177.59,3.52
2020-02-26,"SR","35",605,187.93,101.25,5.98
2020-02-26,"SR","14",569,167.64,75.2,7.57
2020-02-26,"SR","26",574,195.62,109.02,5.27
2020-02-26,"SR","49",563,179.42,86.72,6.49
2020-02-26,"SR","28",554,172.87,101.92,5.44
2020-02-26,"SR","86",592,241.47,152.67,3.88
2020-02-26,"","amb",544,NA,NA,NA
2020-02-26,"SR","33",604,165.73,84.75,7.13
2020-02-26,"SR","4",570,199.75,102.47,5.56
2020-02-26,"SR","46",577,174.88,97.39,5.92
2020-02-26,"SR","63",559,234.5,151.89,3.68
2020-02-26,"SR","8",556,180.66,85.36,6.51
2020-02-26,"SR","13",563,188.85,90.63,6.21
2020-02-26,"","amb",528,NA,NA,NA
2020-02-28,"","amb",505,NA,NA,NA
2020-02-28,"CPCRW","14",583,249.63,158.17,3.69
2020-02-28,"CPCRW","48",610,230.22,85.9,7.1
2020-02-28,"CPCRW","35",600,185,110.77,5.42
2020-02-28,"CPCRW","49",575,149.98,57.64,9.98
2020-02-28,"CPCRW","8",616,282.46,162.34,3.79
2020-02-28,"CPCRW","46",582,238.8,133.01,4.38
2020-02-28,"CPCRW","85",570,230.34,170.62,3.34
2020-02-28,"CPCRW","79",653,236.94,73.93,8.83
2020-02-28,"CPCRW","33",560,264.25,184.46,3.04
2020-02-28,"","amb",515,NA,NA,NA
2020-02-28,"SR","56",620,263.32,152.43,4.07
2020-02-28,"SR","61",780,280.69,160.64,4.86
2020-02-28,"SR","80",624,289.55,166.88,3.74
2020-02-28,"SR","73",600,304.72,177.59,3.38
2020-02-28,"SR","35",595,188.68,101.25,5.88
2020-02-28,"SR","14",606,167.66,75.2,8.06
2020-02-28,"SR","26",603,195.55,109.02,5.53
2020-02-28,"SR","49",614,180.05,86.72,7.08
2020-02-28,"SR","28",574,173.76,101.92,5.63
2020-02-28,"SR","86",591,245.05,152.67,3.87
2020-02-28,"","amb",538,NA,NA,NA
2020-02-28,"SR","33",588,167.21,84.75,6.94
2020-02-28,"SR","4",584,199.99,102.47,5.7
2020-02-28,"SR","46",600,175.01,97.39,6.16
2020-02-28,"SR","63",583,235.71,151.89,3.84
2020-02-28,"SR","8",593,180.99,85.36,6.95
2020-02-28,"SR","13",577,188.66,90.63,6.37
NA,"","amb",544,NA,NA,NA
2020-03-02,"","amb",511,NA,NA,NA
2020-03-02,"CPCRW","14",564,249.84,158.17,3.57
2020-03-02,"CPCRW","48",552,229.9,85.9,6.43
2020-03-02,"CPCRW","35",562,184.86,110.77,5.07
2020-03-02,"CPCRW","49",556,148.66,57.64,9.65
2020-03-02,"CPCRW","8",564,284.2,162.34,3.47
2020-03-02,"CPCRW","46",551,238.09,133.01,4.14
2020-03-02,"CPCRW","85",534,229.17,170.62,3.13
2020-03-02,"CPCRW","79",588,237.07,73.93,7.95
2020-03-02,"CPCRW","33",554,263.44,184.46,3
2020-03-02,"","amb",534,NA,NA,NA
2020-03-02,"SR","56",606,263.21,152.43,3.98
2020-03-02,"SR","61",575,280.55,160.64,3.58
2020-03-02,"SR","80",579,289.83,166.88,3.47
2020-03-02,"SR","73",577,305.75,177.59,3.25
2020-03-02,"SR","35",585,188.46,101.25,5.78
2020-03-02,"SR","14",557,168.22,75.2,7.41
2020-03-02,"SR","26",583,196.48,109.02,5.35
2020-03-02,"SR","49",609,180.58,86.72,7.02
2020-03-02,"SR","28",584,174.75,101.92,5.73
2020-03-02,"SR","86",600,247.74,152.67,3.93
2020-03-02,"","amb",NA,NA,NA,NA
2020-03-02,"SR","33",594,167.28,84.75,7.01
2020-03-02,"SR","4",582,200.04,102.47,5.68
2020-03-02,"SR","46",596,175.11,97.39,6.12
2020-03-02,"SR","63",620,235.72,151.89,4.08
2020-03-02,"SR","8",599,181.07,85.36,7.02
2020-03-02,"SR","13",536,188.72,90.63,5.91
2020-03-02,"","amb",556,NA,NA,NA
2020-03-04,"","amb",538,NA,NA,NA
2020-03-04,"SR","56",586,263.8,152.43,3.84
2020-03-04,"SR","61",638,281.16,160.64,3.97
2020-03-04,"SR","80",593,290.67,166.88,3.55
2020-03-04,"SR","73",591,306.24,177.59,3.33
2020-03-04,"SR","35",585,188.89,101.25,5.78
2020-03-04,"SR","14",557,168.74,75.2,7.41
2020-03-04,"SR","26",579,196.58,109.02,5.31
2020-03-04,"SR","49",576,180.8,86.72,6.64
2020-03-04,"SR","28",569,175.39,101.92,5.58
2020-03-04,"SR","86",567,249.42,152.67,3.71
2020-03-04,"","amb",509,NA,NA,NA
2020-03-04,"SR","33",526,166.33,84.75,6.21
2020-03-04,"SR","4",551,203.16,102.47,5.38
2020-03-04,"SR","46",571,176.03,97.39,5.86
2020-03-04,"SR","63",549,236.47,151.89,3.61
2020-03-04,"SR","8",551,181.46,85.36,6.46
2020-03-04,"SR","13",554,189.59,90.63,6.11
2020-03-04,"","amb",NA,NA,NA,NA
2020-03-06,"","amb",470,NA,NA,NA
2020-03-06,"SR","56",546,263.99,152.43,3.58
2020-03-06,"SR","61",573,281.84,160.64,3.57
2020-03-06,"SR","80",593,291.03,166.88,3.55
2020-03-06,"SR","73",571,306.64,177.59,3.22
2020-03-06,"SR","35",594,189.22,101.25,5.87
