"date","Site","Core","PPM_CO2","Mass_g"
2020-02-28,"CPCRW","33",560,264.25
2020-02-28,"","amb",515,NA
2020-02-28,"SR","56",620,263.32
2020-02-28,"SR","61",780,280.69
2020-02-28,"SR","80",624,289.55
2020-02-28,"SR","73",600,304.72
2020-02-28,"SR","35",595,188.68
2020-02-28,"SR","14",606,167.66
2020-02-28,"SR","26",603,195.55
2020-02-28,"SR","49",614,180.05
2020-02-28,"SR","28",574,173.76
2020-02-28,"SR","86",591,245.05
2020-02-28,"","amb",538,NA
2020-02-28,"SR","33",588,167.21
2020-02-28,"SR","4",584,199.99
2020-02-28,"SR","46",600,175.01
2020-02-28,"SR","63",583,235.71
2020-02-28,"SR","8",593,180.99
2020-02-28,"SR","13",577,188.66
NA,"","amb",544,NA
2020-03-02,"","amb",511,NA
2020-03-02,"CPCRW","14",564,249.84
2020-03-02,"CPCRW","48",552,229.9
2020-03-02,"CPCRW","35",562,184.86
2020-03-02,"CPCRW","49",556,148.66
2020-03-02,"CPCRW","8",564,284.2
2020-03-02,"CPCRW","46",551,238.09
2020-03-02,"CPCRW","85",534,229.17
2020-03-02,"CPCRW","79",588,237.07
2020-03-02,"CPCRW","33",554,263.44
2020-03-02,"","amb",534,NA
2020-03-02,"SR","56",606,263.21
2020-03-02,"SR","61",575,280.55
2020-03-02,"SR","80",579,289.83
2020-03-02,"SR","73",577,305.75
2020-03-02,"SR","35",585,188.46
2020-03-02,"SR","14",557,168.22
2020-03-02,"SR","26",583,196.48
2020-03-02,"SR","49",609,180.58
2020-03-02,"SR","28",584,174.75
2020-03-02,"SR","86",600,247.74
2020-03-02,"","amb",NA,NA
2020-03-02,"SR","33",594,167.28
2020-03-02,"SR","4",582,200.04
2020-03-02,"SR","46",596,175.11
2020-03-02,"SR","63",620,235.72
2020-03-02,"SR","8",599,181.07
2020-03-02,"SR","13",536,188.72
2020-03-02,"","amb",556,NA
2020-03-04,"","amb",538,NA
2020-03-04,"SR","56",586,263.8
2020-03-04,"SR","61",638,281.16
2020-03-04,"SR","80",593,290.67
2020-03-04,"SR","73",591,306.24
2020-03-04,"SR","35",585,188.89
2020-03-04,"SR","14",557,168.74
2020-03-04,"SR","26",579,196.58
2020-03-04,"SR","49",576,180.8
2020-03-04,"SR","28",569,175.39
2020-03-04,"SR","86",567,249.42
2020-03-04,"","amb",509,NA
2020-03-04,"SR","33",526,166.33
2020-03-04,"SR","4",551,203.16
2020-03-04,"SR","46",571,176.03
2020-03-04,"SR","63",549,236.47
2020-03-04,"SR","8",551,181.46
2020-03-04,"SR","13",554,189.59
2020-03-04,"","amb",NA,NA
2020-03-06,"","amb",470,NA
2020-03-06,"SR","56",546,263.99
2020-03-06,"SR","61",573,281.84
2020-03-06,"SR","80",593,291.03
2020-03-06,"SR","73",571,306.64
2020-03-06,"SR","35",594,189.22
2020-03-06,"SR","14",571,168.87
2020-03-06,"SR","26",526,196.75
2020-03-06,"SR","49",616,180.91
2020-03-06,"SR","28",643,175.96
2020-03-06,"SR","86",719,249.93
2020-03-06,"","amb",488,NA
2020-03-06,"SR","33",553,166.87
2020-03-06,"SR","4",602,203.56
2020-03-06,"SR","46",851,176.62
2020-03-06,"SR","63",572,237.11
2020-03-06,"SR","8",577,181.83
2020-03-06,"SR","13",549,190.32
2020-03-06,"","amb",493,NA
2020-03-09,"SR","56",533,264.81
2020-03-09,"SR","61",605,282.02
2020-03-09,"SR","80",525,291.34
2020-03-09,"SR","73",548,307.02
2020-03-09,"SR","35",542,189.17
2020-03-09,"SR","14",552,169.36
2020-03-09,"SR","26",568,197.3
2020-03-09,"SR","49",561,181.45
2020-03-09,"SR","28",548,176.16
2020-03-09,"SR","86",568,252.03
