DOC_ID,npoc_mgL,notes
DOC-177,6.51,
DOC-178,6.65,
DOC-179,7.16,
DOC-180,25.1,
DOC-181,9.41,
DOC-182,6.35,
DOC-183,9.16,
DOC-184,13.9,
DOC-185,8.8,
DOC-186,12.6,
DOC-187,7.85,
DOC-188,3.42,
DOC-189,14.5,
DOC-190,2.34,
