sample,npoc_mg_l,notes
Sarah_Kaizad-177,6.51,
Sarah_Kaizad-178,6.65,
Sarah_Kaizad-179,7.16,
Sarah_Kaizad-180,25.1,
Sarah_Kaizad-181,9.41,
Sarah_Kaizad-182,6.35,
Sarah_Kaizad-183,9.16,
Sarah_Kaizad-184,13.9,
Sarah_Kaizad-185,8.80,
Sarah_Kaizad-186,12.6,
Sarah_Kaizad-187,7.85,
Sarah_Kaizad-188,3.42,
Sarah_Kaizad-189,14.5,
Sarah_Kaizad-190,2.34,
