Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,DOC_192,DOC_193,DOC_194,DOC_195,DOC_196,DOC_197,DOC_198,DOC_199,DOC_200,DOC_201,DOC_202,DOC_203,DOC_204,DOC_205,DOC_206,DOC_207,DOC_208,DOC_210,DOC_211,DOC_212,DOC_213,DOC_214,DOC_215,DOC_216,DOC_217,DOC_218,DOC_219,DOC_220,DOC_221,DOC_222,DOC_223,DOC_224,DOC_225,DOC_226,DOC_227,DOC_228,DOC_229,DOC_230,DOC_231,DOC_232,DOC_233,DOC_234,DOC_235,DOC_236,DOC_237,DOC_238,DOC_239,DOC_240,DOC_241,DOC_242,DOC_243,DOC_244,DOC_245,DOC_246,DOC_247,DOC_248,DOC_249,DOC_250,DOC_251,DOC_252,DOC_253,DOC_254,DOC_DI_Raw_H2O_Blank,DOC_Filter_Blank_1,DOC_Filter_Blank_2,DOC_Filter_Blank_3,DOC_MeOH_Blank_001,DOC_MeOH_Blank_002,DOC_Solution_Blank_1,DOC_Solution_Blank_2,DOC_Solution_Blank_3,DOC_191
399.075464833333,17,20,9,0,0,1,0,0,CHOS,Lignin,400.082741300213,0.154044852004629,3,0,4158930,0,0,0,0,0,0,3885526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3473288.5,0,5871127,4196095.5,0,0,0,0,0,0,3227830,0,0,0,3224076.3,0,0,0,3438673,3549880,3637693,0,4994618.5,4514172,5370422,3985238,5457638.5,4821570,4424286.5,3131045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.0812275,0,0,0,0,0,0,0,0,,None,400.08850396688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930163.8,0,4140087.5,0,0,0,0,0,0
399.082101,23,18,1,2,0,0,2,0,CHONP,ConHC,400.08937746688,0.146875731512947,2,0,0,0,0,0,0,0,0,4059609.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.0828205,0,0,0,0,0,0,0,0,,None,400.09009696688,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4866104.5,0,0,0,3309000.8,0,0
399.0846012,0,0,0,0,0,0,0,0,,None,400.09187766688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5677109.5,4306819.5,4879417.5,0,0,4969128,0,3932836.8,0
399.085228063492,0,0,0,0,0,0,0,0,,None,400.092504530372,0,0,24363872,40730328,30229064,38843208,27221160,44234116,51359016,37957436,31223260,14932953,8960298,9844683,6870742,3342539.5,5355066.5,11445250,15371135,16469288,8512882,13802352,15554918,24480736,17951288,29543670,31349058,39289084,30771792,28903392,16211854,10271518,26265116,16020229,13961038,10145712,16602052,6694076.5,11787893,7362714.5,15751352,11538455,16232765,7738800,13316625,6161308.5,13151024,9410963,68145232,77156024,66712000,55751388,59828800,86617472,65939000,74905432,70464232,58695236,79289952,73535656,49573400,25527234,33973080,22943322,0,0,0,0,0,0,0,0,0,41316804
399.087375,24,16,6,0,0,0,0,0,CHO,ConHC,400.09465146688,0.0919265475397228,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413604.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399.0893006,12,20,13,2,0,0,0,0,CHON,Other,400.09657706688,-0.0957948210261643,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832888,3811205.8,5731387.5,0,0,3450538.3,4733899.5,0,0
399.093284594203,17,20,11,0,0,0,0,0,CHO,Lignin,400.100561061083,0.00105977621866202,3,149078880,165920480,188994128,160289616,212724912,302011776,240274736,206098240,142175712,68023264,48316716,35057612,32128728,12635853,29941308,26551300,51092356,23436586,13526388,32734066,24672616,27704290,29612604,42945784,53975364,50118908,47131220,39692260,76677008,57518880,96183840,79844104,63641424,60938164,59814856,38137024,48557688,41138332,53237948,58337304,63091008,46757300,49115668,39952288,51886900,48834964,49221716,51089084,64991684,24511200,62892608,63761796,60007996,58963804,60863212,53034568,57663080,45355180,54963740,30954438,35218268,29292124,0,3644474,3672967.5,4485181.5,0,0,4787884.5,3740621,3246760.8,174936528
399.095732,0,0,0,0,0,0,0,0,,None,400.10300846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4254474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
