"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"20",2019-09-04 03:52:07,4,45.148850505,431.57031423,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 07:49:18,4,50.760973637,414.64205944,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 07:50:08,4,50.760973637,415.21209996,50,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 08:36:37,4,50.695834244,413.96147431,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 08:37:28,4,50.695834244,414.58067693,51,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 05:26:42,4,45.155076561,423.95188312,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 05:27:32,4,45.155076561,425.64125535,50,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 05:28:23,4,45.155076561,425.8131831,101,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 06:14:00,4,50.710835509,417.84690825,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 10:11:53,4,48.115367613,419.42661177,50,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 10:12:42,4,48.115367613,419.40759813,99,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 07:01:59,4,50.703125104,414.65163035,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 07:02:04,4,50.73199855,415.42696821,5,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 07:02:37,4,50.73199855,415.42696821,38,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 11:46:15,4,43.200161666,420.33543097,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 11:47:06,4,43.200161666,420.52016875,51,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 12:32:59,4,48.394798357,425.24408972,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 12:33:50,4,48.394798357,422.82089213,51,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 12:34:39,4,48.394798357,422.95194636,100,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 13:20:27,4,48.508627471,432.94907816,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 13:21:17,4,48.508627471,432.37565551,50,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 13:22:06,4,48.508627471,432.30138068,99,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 14:08:09,4,48.501875928,438.60730205,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 14:08:58,4,48.501875928,438.90307012,49,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 14:55:24,4,50.835681907,443.09157462,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 14:56:15,4,50.835681907,443.67448603,51,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 15:42:40,4,50.668208981,443.21311375,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 15:43:31,4,50.668208981,443.61801397,51,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 15:43:36,4,50.696978043,444.01990583,56,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 15:44:09,4,50.696978043,444.01990583,89,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 16:30:01,4,37.255135637,450.40144878,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 16:30:50,4,37.255135637,450.14161656,49,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 16:31:40,4,37.255135637,450.09488517,99,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 09:23:25,4,50.680036367,416.57981947,0,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
"20",2019-09-04 09:24:16,4,50.680036367,414.80156595,51,"drought","S20","SR","lowland","constant weight","30 day",3,"SR_30d_low_CW_r3"
