,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.01,0,0.54,0.03,Artifact,Weak,,,22,3.39,0,0.69,0.05,Artifact,Weak,,,43,1.91,0,5.32,0.45,Compound,None,,
2,13.82,0,0.62,0.05,Artifact,Weak,,,23,3.21,0,0.41,0.02,Artifact,Weak,,,44,1.31,0,2.04,0.31,Compound,None,,
3,12.79,0,0.41,0.02,Artifact,Weak,,,24,2.69,0.1,1.24,2.01,Solvent,Weak + C13_Sat,,,45,1.29,0,1.04,0.13,Compound,None,,
4,12.14,0,0.34,0.02,Artifact,Weak,,,25,2.68,0.3,1.4,6.08,Solvent,Weak + C13_Sat,,,46,1.27,0,1.2,0.3,Compound,None,,
5,11.73,0,0.46,0.04,Artifact,Weak,,,26,2.68,0.5,1.37,8.68,Solvent,Weak + C13_Sat,,,47,1.25,0.1,3.37,4.2,Compound,None,,
6,11.69,0,0.37,0.02,Artifact,Weak,,,27,2.67,0.3,1.26,5.08,Solvent,Weak + C13_Sat,,,48,1.16,0.1,1.66,1.53,Compound,None,,
7,10.78,0,0.5,0.03,Artifact,Weak,,,28,2.67,0.1,1.26,2.1,Solvent,Weak + C13_Sat,,,49,1.16,0.1,1.82,3.36,Compound,None,,
8,9.93,0,0.32,0.02,Artifact,Weak,,,29,2.53,0.3,0.99,2.91,Solvent,Weak,,,50,1.15,0.1,1.72,1.69,Compound,None,,
9,8.74,0,0.62,0.04,Artifact,Weak,,,30,2.53,0.3,0.85,2.55,Solvent,Weak,,,51,1.1,0,3.38,0.32,Compound,None,,
10,8.68,0,0.69,0.03,Artifact,Weak,,,31,2.52,23.7,1.25,337.7,Solvent,None,,,52,1.06,0,6.46,0.45,Compound,None,,
11,7.26,0,0.5,0.03,Artifact,Weak,,,32,2.51,58.6,1.37,1004.47,Solvent,None,,,53,1.03,0,4.92,0.56,Compound,None,,
12,7.2,0,1.43,0.11,Artifact,Weak,,,33,2.51,86.3,1.25,1352.07,Solvent,None,,,54,0.96,0,0.62,0.04,Artifact,Weak,,
13,6.98,0,0.56,0.04,Artifact,Weak,,,34,2.51,57.1,1.37,978.15,Solvent,None,,,55,0.86,0,3.96,0.87,Compound,None,,
14,6.92,0,1.33,0.09,Artifact,Weak,,,35,2.5,22.8,1.21,313.61,Solvent,None,,,56,0.85,0,9.9,2.42,Compound,None,,
15,6.53,0.1,1.24,1.34,Compound,None,,,36,2.47,0,0.5,0.06,Artifact,Weak,,,57,0.82,0,7.16,1.18,Compound,None,,
16,6.29,0,1.18,0.71,Compound,None,,,37,2.35,0.1,1.28,2.22,Solvent,Weak + C13_Sat,,,58,0.08,0,1.69,0.38,Compound,None,,
17,5.06,0,0.73,0.04,Artifact,Weak,,,38,2.34,0.3,1.26,5.15,Solvent,Weak + C13_Sat,,,59,-0.62,0,0.68,0.04,Artifact,Weak,,
18,3.96,0,0.51,0.04,Artifact,Weak,,,39,2.34,0.5,1.4,9.22,Solvent,Weak + C13_Sat,,,60,-1.66,0,1.2,0.08,Artifact,Weak,,
19,3.77,0,0.37,0.02,Artifact,Weak,,,40,2.33,0.3,1.35,5.59,Solvent,Weak + C13_Sat,,,61,-2.52,0,0.59,0.04,Artifact,Weak,,
20,3.52,0.1,1.77,1.63,Compound,None,,,41,2.33,0.1,1.23,1.75,Solvent,Weak + C13_Sat,,,62,-3.25,0,0.41,0.03,Artifact,Weak,,
21,3.43,0,0.51,0.04,Artifact,Weak,,,42,2.24,0,2.23,0.16,Artifact,Weak,,,,,,,,,,,
