,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.74,0,1.79,0.26,Artifact,Weak,,,25,4.58,0.1,141.97,154.62,Compound,None,,,49,2.5,93.8,4.71,5609.37,Solvent,None,,,73,1.14,0.3,6.78,31.07,Compound,None,,
2,10.2,0.1,5.93,4.18,Impurity,Weak,,,26,4.48,0,20.71,4.11,Artifact,Weak,,,50,2.49,21.7,1.99,476.04,Solvent,None,,,74,1.12,0.2,10.49,19.36,Compound,None,,
3,8.33,0,1.47,0.55,Impurity,Weak,,,27,4.46,0,36.79,13.96,Impurity,Weak,,,51,2.4,0.1,3,2.15,Artifact,Weak,,,75,1.12,1,69.4,940.3,Compound,None,,
4,8.17,0,4.4,2.13,Impurity,Weak,,,28,4.44,0.1,11.17,8.2,Impurity,None,,,52,2.34,0.3,2.46,9.2,Solvent,Weak + C13_Sat,,,76,1.11,0.2,9.04,27.86,Compound,None,,
5,8.05,0,1.4,0.2,Artifact,Weak,,,29,4.35,0,3.15,0.51,Artifact,Weak,,,53,2.33,0.5,6.04,34.71,Solvent,Weak + C13_Sat,,,77,1.09,0.2,6.97,17.19,Compound,None,,
6,7.25,1.6,83.09,1811.39,Compound,None,,,30,4.28,0,2.48,0.28,Artifact,Weak,,,54,2.27,0,4.38,0.89,Artifact,Weak,,,78,1.07,0.2,5.49,13.09,Compound,None,,
7,6.62,0,6.65,1.29,Artifact,Weak,,,31,4.26,0,6.07,2.38,Artifact,Weak,,,55,2.26,0,4.64,1.31,Artifact,Weak,,,79,1.05,0.2,12.53,32.84,Compound,None,,
8,6.57,0,2.58,0.67,Artifact,Weak,,,32,4.24,0,4.69,1.27,Artifact,Weak,,,56,2.24,0,2.24,0.32,Artifact,Weak,,,80,1.04,0.1,4.78,9.66,Compound,None,,
9,6.55,0,4.31,1.36,Artifact,Weak,,,33,4.17,0,4.79,1.18,Artifact,Weak,,,57,2.22,0,1.75,0.39,Artifact,Weak,,,81,1.03,0.1,4.05,3.08,Impurity,Weak,,
10,6.39,0,2.44,0.31,Artifact,Weak,,,34,4.16,0.1,9.73,11.09,Impurity,None,,,58,2.08,0.1,1.65,1.33,Impurity,Weak,,,82,1.02,0.2,5.03,11.28,Compound,None,,
11,6.33,0,18.89,2.09,Artifact,Weak,,,35,3.97,0,1.87,0.31,Artifact,Weak,,,59,2.03,0.5,61.97,406.52,Compound,None,,,83,1,0.1,18.61,30.14,Compound,None,,
12,6.22,0,6.05,1.59,Impurity,Weak,,,36,3.68,0.8,120.83,1177.73,Compound,None,,,60,2.02,0.1,14.42,9.89,Compound,None,,,84,0.87,0.1,39.97,62.55,Compound,None,,
13,6.2,0,4.15,1.45,Impurity,Weak,,,37,3.59,0.1,8.3,8.12,Artifact,Weak,,,61,1.9,0.2,1.95,5.76,Impurity,None,,,85,0.86,0.1,9.07,6.83,Compound,None,,
14,6.19,0,4.07,1.27,Impurity,Weak,,,38,3.53,0.1,4.68,3.97,Artifact,Weak,,,62,1.84,0.7,51.26,468.67,Compound,None,,,86,0.85,0.1,6.38,8.59,Impurity,None,,
15,5.82,0,11.72,1.55,Artifact,Weak,,,39,3.52,0.1,5.38,5.34,Artifact,Weak,,,63,1.82,0.1,6.3,6.6,Impurity,None,,,87,0.83,0.1,10.05,8.96,Impurity,None,,
16,5.75,0,16.73,2.24,Artifact,Weak,,,40,3.49,0.1,15.02,21.75,Artifact,Weak,,,64,1.81,0.1,13.55,23.88,Impurity,None,,,88,0.81,0.1,19.56,22.49,Impurity,None,,
17,5.48,0.1,94.59,58.88,Compound,None,,,41,3.48,1.3,152.63,2801.71,Compound,None,,,65,1.75,0.1,19.07,20.13,Impurity,None,,,89,0.77,0,3.4,0.56,Artifact,Weak,,
18,4.91,0,5.13,2.48,Impurity,Weak,,,42,3.46,0.1,32.87,47.1,Artifact,Weak,,,66,1.52,0,3.99,0.71,Artifact,Weak,,,90,0.07,0,2.57,0.37,Impurity,Weak,,
19,4.89,0,4.56,3.04,Impurity,Weak,,,43,3.43,0.1,12.35,19.02,Artifact,Weak,,,67,1.48,0,42.76,24.15,Impurity,None,,,91,0.06,0.1,2.49,3.49,Impurity,None,,
20,4.88,0,6.71,3.76,Impurity,Weak,,,44,3.25,1,36.04,508.14,Artifact,Weak,,,68,1.34,0,1.88,0.43,Artifact,Weak,,,92,0.04,0,110.54,17.53,Impurity,Weak,,
21,4.85,0.1,17.89,23.62,Impurity,None,,,45,3.11,0.5,8.35,59.82,Artifact,Weak,,,69,1.25,0.1,21.02,26.42,Compound,None,,,93,-0.07,0,1.94,0.46,Impurity,Weak,,
22,4.82,0,10.02,3.39,Impurity,Weak,,,46,2.67,0.5,6.48,40.01,Solvent,Weak + C13_Sat,,,70,1.23,0.4,5.33,29.7,Compound,None,,,,,,,,,,,
23,4.78,0.1,23.13,19.7,Impurity,None,,,47,2.59,0.1,44.8,31.41,Artifact,Weak,,,71,1.21,0.5,158.48,1084.23,Compound,None,,,,,,,,,,,
24,4.64,0,11.09,3.85,Impurity,Weak,,,48,2.51,22.4,3.43,723.55,Solvent,None,,,72,1.18,0.2,19.71,50.08,Compound,None,,,,,,,,,,,
