,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,6.01,2.93,Impurity,Weak,,,26,4.79,0.1,9.11,15.05,Compound,None,,,51,3.52,0.2,9.58,22.4,Artifact,Weak,,,76,1.84,0.1,15.61,27.23,Compound,None,,
2,10.18,0,3.34,0.7,Artifact,Weak,,,27,4.77,0.1,11.01,17.43,Compound,None,,,52,3.47,0.4,56,301.74,Artifact,Weak,,,77,1.82,0.2,11.95,30.13,Compound,None,,
3,8.16,0,1.3,0.34,Impurity,Weak,,,28,4.75,0.1,60.93,105.55,Compound,None,,,53,3.45,0.3,39.29,145.02,Artifact,Weak,,,78,1.8,0.1,22.66,26.98,Compound,None,,
4,7.87,0,5.99,0.87,Artifact,Weak,,,29,4.64,0.3,32.89,149.16,Compound,None,,,54,3.17,1.5,118.46,1646.59,Compound,None,,,79,1.77,0,12.77,6.79,Impurity,None,,
5,7.3,0.1,52.08,66.5,Compound,None,,,30,4.48,0.2,17.96,45.4,Compound,None,,,55,3.11,0.5,11.71,72.59,Artifact,Weak,,,80,1.75,0,5.46,2.06,Impurity,Weak,,
6,7.21,0.9,115.8,1290.68,Compound,None,,,31,4.47,0.1,12.58,24.52,Compound,None,,,56,3.04,0.3,8.42,33.24,Artifact,Weak,,,81,1.48,0.1,38.35,60.82,Compound,None,,
7,6.73,0.2,394.21,933.81,Compound,None,,,32,4.44,0.5,34.74,248.47,Compound,None,,,57,3.01,0.1,9.12,9.18,Artifact,Weak,,,82,1.32,0.4,177.41,1005.26,Compound,None,,
8,6.57,0.1,4.71,3.67,Compound,None,,,33,4.36,0.1,16.35,35.39,Compound,None,,,58,2.88,0.2,15.23,33.47,Artifact,Weak,,,83,1.28,0.1,25.58,48.66,Compound,None,,
9,6.55,0.2,9.46,23.03,Compound,None,,,34,4.34,0.2,22.66,60.22,Compound,None,,,59,2.67,0.5,8.42,54.01,Solvent,Weak + C13_Sat,,,84,1.26,0.1,10.85,12.12,Compound,None,,
10,6.47,0,19.29,4.37,Impurity,Weak,,,35,4.33,0.1,14.01,9.99,Compound,None,,,60,2.5,99.9,7.65,8584.42,Solvent,None,,,85,1.25,0.2,10.05,26.66,Compound,None,,
11,6.38,0,18.45,3.13,Impurity,Weak,,,36,4.28,0,3.88,1.98,Impurity,Weak,,,61,2.41,0.1,7.51,6.38,Artifact,Weak,,,86,1.23,0.5,7.69,46.66,Compound,None,,
12,6.32,0,9.02,2.1,Impurity,Weak,,,37,4.26,0.2,6.76,16.73,Compound,None,,,62,2.37,0,17.68,5.63,Artifact,Weak,,,87,1.19,0.4,119.16,671.63,Compound,None,,
13,6.2,0.1,4.46,4.34,Compound,None,,,38,4.24,0.1,5.46,8.1,Compound,None,,,63,2.33,0.6,8.71,58.84,Solvent,Weak + C13_Sat,,,88,1.14,0.9,44.03,596.71,Compound,None,,
14,6.19,0.2,8.8,25.77,Compound,None,,,39,4.16,0.2,17.98,39.01,Compound,None,,,64,2.28,0,4.36,1.77,Artifact,Weak,,,89,1.11,0.4,15.7,88.78,Compound,None,,
15,6.13,0.1,116.04,118.1,Compound,None,,,40,3.97,0,9.79,4.36,Artifact,Weak,,,65,2.26,0.1,4.89,4.19,Artifact,Weak,,,90,1.09,0.3,5.9,20.25,Compound,None,,
16,6.08,0,4.01,0.87,Artifact,Weak,,,41,3.95,0,9.13,2.13,Artifact,Weak,,,66,2.24,0,4.07,1.47,Artifact,Weak,,,91,1.07,0.2,6.28,21.07,Compound,None,,
17,6.06,0,6.14,1.44,Impurity,Weak,,,42,3.82,0.1,15.83,18.81,Artifact,Weak,,,67,2.2,0.1,12.31,14.83,Artifact,Weak,,,92,1.04,0.4,40.1,238.67,Compound,None,,
18,6.01,0,9.07,3.6,Impurity,Weak,,,43,3.8,0,6.14,3.56,Artifact,Weak,,,68,2.18,0.1,6.71,8.42,Artifact,Weak,,,93,1.01,0.1,20.62,19.28,Compound,None,,
19,4.95,0.1,18.99,15.74,Impurity,None,,,44,3.71,0.1,56.99,32.97,Artifact,Weak,,,69,2.16,0,5.11,2.81,Artifact,Weak,,,94,0.92,0.1,45.14,87.85,Compound,None,,
20,4.92,0.6,280.37,1648.29,Compound,None,,,45,3.66,0.1,11.25,16.28,Artifact,Weak,,,70,2.12,0,15.13,6.34,Artifact,Weak,,,95,0.9,0,6.03,2.13,Impurity,Weak,,
21,4.91,0.1,5.48,7.27,Compound,None,,,46,3.64,0.9,175.64,1762.21,Compound,None,,,71,2.09,0,13.75,6.42,Artifact,Weak,,,96,0.88,0.1,20.92,22.21,Compound,None,,
22,4.9,0.2,6.83,21.97,Compound,None,,,47,3.6,0.3,31.48,107.42,Artifact,Weak,,,72,2.08,0,10.29,3.5,Artifact,Weak,,,97,0.86,0.1,25.51,46.99,Compound,None,,
23,4.89,0.1,7.04,12.13,Compound,None,,,48,3.59,0.1,11.18,19.59,Artifact,Weak,,,73,2.03,0.5,52.89,339.87,Compound,None,,,98,0.84,0.2,35.05,85.58,Compound,None,,
24,4.85,0.5,20.89,126.58,Compound,None,,,49,3.56,0.1,4.9,6.97,Artifact,Weak,,,74,1.91,0.1,4.65,9.29,Impurity,None,,,99,0.06,0,5.97,3.56,Impurity,None,,
