,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.78,0,0.74,0.05,Artifact,Weak,,,25,3.47,0,1.56,0.2,Compound,Weak,,,49,2.36,0,2.3,0.2,Artifact,Weak,,,73,1.17,0,1.34,0.11,Compound,Weak,,
2,12.19,0,0.58,0.06,Impurity,Weak,,,26,3.45,0,3.31,0.81,Artifact,Weak,,,50,2.34,0.1,1.64,2.52,Solvent,Weak + C13_Sat,,,74,1.15,0.2,3.72,6.68,Compound,None,,
3,10.84,0,0.86,0.07,Artifact,Weak,,,27,3.43,0,0.73,0.05,Artifact,Weak,,,51,2.33,0.3,1.78,6.81,Solvent,Weak + C13_Sat,,,75,1.1,0,238.75,63.19,Compound,None,,
4,10.45,0,0.88,0.08,Artifact,Weak,,,28,3.42,0,6.1,3.46,Artifact,Weak,,,52,2.33,0.4,1.88,10.89,Solvent,Weak + C13_Sat,,,76,1.07,0,22.29,3.06,Compound,None,,
5,10.2,0,1.52,0.32,Compound,None,,,29,3.41,0,3.51,0.8,Artifact,Weak,,,53,2.32,0.3,1.71,6.27,Solvent,Weak + C13_Sat,,,77,1.05,0.2,3.66,8.67,Compound,None,,
6,8.77,0,0.49,0.03,Artifact,Weak,,,30,3.24,0,0.8,0.06,Artifact,Weak,,,54,2.32,0.1,1.52,1.82,Solvent,Weak + C13_Sat,,,78,1.03,0.2,4.01,10.11,Compound,None,,
7,8.6,0,0.42,0.04,Artifact,Weak,,,31,3.13,0,2.9,0.99,Compound,None,,,55,2.22,0,10.78,1.84,Compound,None,,,79,1.02,0,1.48,0.14,Compound,Weak,,
8,8.14,0,2.29,0.2,Artifact,Weak,,,32,3.09,0,5.04,0.53,Compound,None,,,56,2.2,0,13.18,3.29,Compound,None,,,80,1.01,0,2.71,1.38,Compound,None,,
9,7.87,0,0.66,0.06,Artifact,Weak,,,33,3.01,0,0.41,0.03,Artifact,Weak,,,57,2.18,0,1.63,0.25,Impurity,None,,,81,1,0,0.85,0.08,Compound,Weak,,
10,6.52,0,2.22,1.01,Compound,None,,,34,2.93,0,17.37,1.6,Compound,None,,,58,2.15,0,2.29,0.35,Impurity,None,,,82,0.99,0,2.65,1.18,Compound,None,,
11,6.28,0,1.34,0.44,Compound,None,,,35,2.68,0.1,1.68,2.46,Solvent,Weak + C13_Sat,,,59,2.09,0,0.59,0.04,Artifact,Weak,,,83,0.87,0,4.93,0.78,Compound,None,,
12,5.14,0,0.66,0.06,Artifact,Weak,,,36,2.67,0.3,1.85,7.2,Solvent,Weak + C13_Sat,,,60,2.07,0,30.14,4.01,Compound,None,,,84,0.87,0,2.33,0.28,Impurity,Weak,,
13,5.07,0,1.66,0.15,Artifact,Weak,,,37,2.67,0.4,1.74,9.27,Solvent,Weak + C13_Sat,,,61,1.91,0,1.2,0.55,Compound,None,,,85,0.86,0,6.18,1.44,Compound,None,,
14,4.99,0,3.59,0.55,Compound,None,,,38,2.66,0.3,1.81,6.65,Solvent,Weak + C13_Sat,,,62,1.36,0,11.75,1.04,Compound,None,,,86,0.85,0,4.08,2.69,Compound,None,,
15,4.98,0,3.35,0.3,Compound,None,,,39,2.66,0.1,1.41,1.95,Solvent,Weak + C13_Sat,,,63,1.36,0,2.46,0.89,Compound,None,,,87,0.83,0,23.25,13.42,Compound,None,,
16,4.65,0,0.87,0.06,Artifact,Weak,,,40,2.56,0.2,34.18,93.04,Artifact,Weak,,,64,1.34,0,1.2,0.12,Artifact,Weak,,,88,0.81,0,1.2,0.22,Impurity,None,,
17,4.65,0,5.85,0.62,Compound,None,,,41,2.52,0.3,1.63,5.63,Solvent,Weak,,,65,1.3,0,1.9,0.73,Compound,None,,,89,0.81,0,1.36,0.15,Impurity,Weak,,
18,4.63,0,7.25,1.25,Compound,None,,,42,2.51,21.9,1.69,446.89,Solvent,None,,,66,1.28,0,1.55,0.99,Compound,None,,,90,0.07,0,2.05,0.29,Compound,None,,
19,4.04,0,11.64,1.9,Compound,None,,,43,2.5,55.9,1.77,1286,Solvent,None,,,67,1.27,0,2.58,0.27,Artifact,Weak,,,91,-0.71,0,0.8,0.05,Artifact,Weak,,
20,3.95,0,7.94,1.46,Compound,None,,,44,2.5,79.7,1.74,1784.62,Solvent,None,,,68,1.26,0,1.83,0.9,Compound,None,,,92,-0.93,0,0.44,0.04,Artifact,Weak,,
21,3.59,0,0.4,0.02,Artifact,Weak,,,45,2.5,53,1.66,1087.17,Solvent,None,,,69,1.24,0,18.77,11.06,Compound,None,,,93,-1.2,0,0.55,0.05,Artifact,Weak,,
22,3.51,0.3,2.63,8.51,Compound,None,,,46,2.49,22,1.59,407.79,Solvent,None,,,70,1.24,0.1,2.98,4.54,Compound,None,,,94,-2.33,0,0.73,0.05,Artifact,Weak,,
23,3.49,0,3.06,0.37,Compound,None,,,47,2.44,0,0.72,0.04,Artifact,Weak,,,71,1.24,0.2,3.52,7.48,Compound,None,,,,,,,,,,,
24,3.48,0,5.02,1.54,Compound,None,,,48,2.43,0,0.51,0.05,Artifact,Weak,,,72,1.19,0.1,2.08,2.79,Compound,None,,,,,,,,,,,
