,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.78,0,0.83,0.09,Impurity,Weak,,,25,2.91,0,0.84,0.1,Artifact,Weak,,,49,1.91,0.1,1.47,1,Impurity,Weak,,
2,14.38,0,0.75,0.07,Impurity,Weak,,,26,2.7,0.1,50.17,88.33,Impurity,None,,,50,1.84,0,19.48,9.57,Impurity,Weak,,
3,11.96,0,0.75,0.07,Impurity,Weak,,,27,2.68,0.1,1.35,1.01,Compound,Weak + C13_Sat,,,51,1.77,0,3.58,0.66,Artifact,Weak,,
4,11.8,0,0.69,0.09,Impurity,Weak,,,28,2.68,0.2,2.29,6.63,Compound,Weak + C13_Sat,,,52,1.51,0,0.96,0.13,Artifact,Weak,,
5,11.34,0,0.68,0.11,Impurity,Weak,,,29,2.67,0.4,2.2,10.65,Compound,Weak + C13_Sat,,,53,1.3,0,3.18,1.29,Impurity,Weak,,
6,11.09,0,0.81,0.09,Impurity,Weak,,,30,2.67,0.4,2.13,10.84,Compound,Weak + C13_Sat,,,54,1.28,0,1.06,0.23,Impurity,Weak,,
7,10.77,0,0.74,0.08,Impurity,Weak,,,31,2.66,0.2,2.23,6.55,Compound,Weak + C13_Sat,,,55,1.28,0,1.3,0.46,Impurity,Weak,,
8,10.2,0,2.63,1.23,Impurity,Weak,,,32,2.66,0.1,1.54,1.18,Compound,Weak + C13_Sat,,,56,1.26,0,1.73,0.87,Impurity,Weak,,
9,10.1,0,0.68,0.06,Impurity,Weak,,,33,2.53,5.1,18.81,1277.02,Compound,None,,,57,1.26,0,1.33,0.68,Impurity,Weak,,
10,8.17,0,7.43,1.07,Impurity,Weak,,,34,2.52,1.2,4.33,55.89,Compound,Weak,,,58,1.24,0.2,4.69,12.53,Impurity,Weak,,
11,8.08,0,0.46,0.04,Impurity,Weak,,,35,2.51,8.4,1.54,176.26,Compound,None,,,59,1.18,0,0.38,0.05,Impurity,Weak,,
12,6.53,0.2,2.66,5.91,Impurity,Weak,,,36,2.51,40.5,2.24,1181.45,Compound,None,,,60,1.15,0.2,4.33,11.68,Impurity,Weak,,
13,6.53,0.1,1.65,1.1,Impurity,Weak,,,37,2.5,66.3,1.99,1674.07,Compound,None,,,61,1.11,0,1.19,0.15,Impurity,Weak,,
14,6.28,0,1.96,0.3,Impurity,Weak,,,38,2.5,71.9,2.02,1823.31,Compound,None,,,62,1.11,0,1.31,0.15,Impurity,Weak,,
15,6.12,0,0.63,0.06,Impurity,Weak,,,39,2.5,37.4,1.86,760.58,Compound,None,,,63,1.06,0,0.79,0.08,Impurity,Weak,,
16,6.06,0,0.58,0.08,Impurity,Weak,,,40,2.49,12.3,1.41,175.3,Compound,None,,,64,1.02,0,2.33,0.32,Impurity,Weak,,
17,5.42,0,0.61,0.07,Impurity,Weak,,,41,2.34,0.1,2.21,1.83,Compound,Weak + C13_Sat,,,65,0.9,0,2.39,0.44,Impurity,Weak,,
18,5.41,0,1.12,0.15,Impurity,Weak,,,42,2.34,0.2,1.95,4.89,Compound,Weak + C13_Sat,,,66,0.85,0.1,7.37,6,Impurity,Weak,,
19,5.41,0,2.68,0.73,Impurity,Weak,,,43,2.33,0.4,2.17,11.3,Compound,Weak + C13_Sat,,,67,0.83,0,7.88,2.57,Impurity,Weak,,
20,5,0,248.07,43.47,Impurity,None,,,44,2.33,0.4,2.01,9.88,Compound,Weak + C13_Sat,,,68,0.82,0,8.45,4.04,Impurity,Weak,,
21,4.07,0,0.57,0.07,Artifact,Weak,,,45,2.32,0.2,1.99,5.54,Compound,Weak + C13_Sat,,,69,0.8,0,14.63,2.68,Impurity,Weak,,
22,4.03,0,4.28,0.86,Artifact,Weak,,,46,2.32,0.1,1.32,0.72,Compound,Weak + C13_Sat,,,70,0.24,0,0.47,0.06,Impurity,Weak,,
23,3.41,1.5,63.6,1416.19,Compound,None,,,47,1.99,0,0.52,0.07,Artifact,Weak,,,71,0.07,0,3.17,0.66,Impurity,Weak,,
24,3.3,3.1,4.98,168.19,Impurity,None,,,48,1.91,0,1.1,0.64,Impurity,Weak,,,,,,,,,,,
