,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
19,5.11,0,17.23,6.56,Compound,None,,,47,3.57,0.1,5.11,4.88,Artifact,Weak,,,75,2.67,0.5,1.34,8.92,Solvent,Weak + C13_Sat,,,103,2.01,0,1.02,0.16,Impurity,Weak,,,131,1.03,0.2,2.05,5.35,Compound,None,,,159,-0.02,0.7,2.18,17.26,CS Reference,None,,
20,5.1,0,1.1,0.15,Impurity,Weak,,,48,3.55,0.2,9.41,22.33,Artifact,Weak,,,76,2.66,0.3,1.3,5.5,Solvent,Weak + C13_Sat,,,104,1.88,0.1,1.49,2.04,Compound,None,,,132,1.02,0,2.42,0.72,Compound,None,,,160,-0.03,15.8,0.77,148.73,CS Reference,None,,
21,4.9,0.1,10.18,8.01,Compound,None,,,49,3.53,0.1,3.34,3.63,Artifact,Weak,,,77,2.66,0.1,1.18,1.94,Solvent,Weak + C13_Sat,,,105,1.84,0,45.57,16.86,Compound,None,,,133,1.01,0.2,1.83,4.51,Compound,None,,,161,-0.04,0.4,0.77,3.94,CS Reference,None,,
22,4.88,0.3,2.04,7.68,Compound,None,,,50,3.53,0.1,2.44,3.4,Artifact,Weak,,,78,2.56,0.8,31.26,295.09,Compound,None,,,106,1.82,0,1.53,0.52,Compound,None,,,134,1,0,1.35,0.25,Compound,Weak,,,162,-0.06,0.1,0.67,0.98,CS Reference,None,,
23,4.87,0.3,1.87,6.65,Compound,None,,,51,3.48,0,3.85,2.26,Artifact,Weak,,,79,2.52,0.1,0.72,1.2,Artifact,Weak,,,107,1.81,0,1.11,0.18,Impurity,Weak,,,135,0.99,0,1.11,0.2,Compound,Weak,,,163,-0.18,0.1,1.2,1.07,CS Reference,Weak + C13_Sat,,
24,4.83,0.1,13.01,17.63,Compound,None,,,52,3.41,0.3,40.79,197.27,Artifact,Weak,,,80,2.51,27.5,1.4,501.63,Solvent,None,,,108,1.81,0,3.51,1.06,Compound,None,,,136,0.98,0,0.7,0.07,Artifact,Weak,,,164,-1.31,0,0.74,0.08,Artifact,Weak,,
25,4.82,0.1,161.36,166.39,Compound,None,,,53,3.29,0.2,209.38,484.87,Artifact,Weak,,,81,2.5,60.4,1.36,1087.32,Solvent,None,,,109,1.78,0,2.3,0.5,Impurity,None,,,137,0.97,0,1.69,0.5,Impurity,None,,,,,,,,,,,
26,4.76,0.1,20.64,24.88,Compound,None,,,54,3.24,0.1,22.77,23.4,Artifact,Weak,,,82,2.5,85.4,1.43,1598.71,Solvent,None,,,110,1.77,0,1.19,0.43,Impurity,None,,,138,0.94,0,1.29,0.1,Artifact,Weak,,,,,,,,,,,
27,4.75,0.1,12.21,16.53,Compound,None,,,55,3.21,0,2.28,0.72,Artifact,Weak,,,83,2.5,53.6,1.31,860.66,Solvent,None,,,111,1.77,0,1.1,0.52,Impurity,None,,,139,0.92,0,1.68,0.66,Impurity,None,,,,,,,,,,,
28,4.65,0,33.37,7.02,Compound,None,,,56,3.16,0.1,5.22,2.89,Artifact,Weak,,,84,2.49,22.5,1.22,292.72,Solvent,None,,,112,1.72,0,1.37,0.17,Artifact,Weak,,,140,0.9,0,1.35,0.44,Impurity,None,,,,,,,,,,,
