,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.02,0,0.95,0.1,Artifact,Weak,,,30,2.33,0.3,2.52,9.58,Solvent,Weak + C13_Sat,,
2,7.41,0,0.5,0.04,Artifact,Weak,,,31,2.33,0.3,2.15,9.03,Solvent,Weak + C13_Sat,,
3,6.53,0,2.37,0.35,Impurity,Weak,,,32,2.32,0.2,2.29,6.83,Solvent,Weak + C13_Sat,,
4,4.82,0,1.64,0.14,Artifact,Weak,,,33,2.32,0.1,1.39,1,Solvent,Weak + C13_Sat,,
5,4.1,0.1,31.11,56.11,Compound,None,,,34,2.18,0,4.26,0.66,Impurity,Weak,,
6,3.79,0,0.65,0.06,Artifact,Weak,,,35,1.91,0,2.88,0.58,Impurity,None,,
7,3.51,0.1,2.65,3.61,Compound,None,,,36,1.77,0,9.93,1.12,Artifact,Weak,,
8,3.44,0.6,70.86,616.39,Compound,None,,,37,1.49,0,37.31,3.35,Artifact,Weak,,
9,3.39,1.1,24.48,334.5,Artifact,Weak,,,38,1.48,0,0.69,0.06,Artifact,Weak,,
10,3.28,0.4,60.05,213.92,Artifact,Weak,,,39,1.36,0,3.11,0.44,Impurity,None,,
11,3.2,0.2,124.5,325.22,Compound,None,,,40,1.34,0,1.9,0.2,Impurity,Weak,,
12,2.68,0,1.11,0.42,Solvent,Weak + C13_Sat,,,41,1.3,0,3.26,1.21,Impurity,None,,
13,2.68,0.2,2.63,6.74,Solvent,Weak + C13_Sat,,,42,1.28,0,2.1,0.73,Impurity,None,,
14,2.67,0.3,2.8,10.59,Solvent,Weak + C13_Sat,,,43,1.26,0,3.39,1.79,Compound,None,,
15,2.67,0.3,2.25,8.69,Solvent,Weak + C13_Sat,,,44,1.24,0.2,4.07,12.17,Compound,None,,
16,2.66,0.3,2.46,7.72,Solvent,Weak + C13_Sat,,,45,1.16,0.1,10.28,7.76,Compound,None,,
17,2.66,0.1,1.24,0.74,Solvent,Weak + C13_Sat,,,46,1.15,0,3.9,1.33,Compound,None,,
18,2.61,0.1,71.33,118.7,Compound,None,,,47,1.11,0,1.1,0.45,Impurity,None,,
19,2.52,0.7,37.27,360.71,Solvent,Weak,,,48,1.11,0,1.03,0.57,Impurity,None,,
20,2.51,11.8,1.57,228.49,Solvent,None,,,49,1.09,0,5.76,0.9,Impurity,None,,
21,2.51,43.7,2.34,1255.24,Solvent,None,,,50,1.05,0,4.27,1.11,Impurity,None,,
22,2.5,31.7,1.49,576.75,Solvent,None,,,51,1.02,0,5.26,3.24,Compound,None,,
23,2.5,43,1.4,740.38,Compound,None,,,52,0.97,0,2.98,1.02,Impurity,None,,
24,2.5,66,1.59,1244.04,Solvent,None,,,53,0.87,0,1.42,0.22,Impurity,Weak,,
25,2.5,53.3,1.98,1257.8,Solvent,None,,,54,0.85,0,3.3,1.39,Compound,None,,
26,2.49,15.5,1.6,258.3,Solvent,None,,,55,0.83,0.1,19.24,18.3,Compound,None,,
27,2.38,0.1,83.48,116.13,Artifact,Weak,,,56,0.81,0,5.71,1.93,Compound,None,,
28,2.34,0,1.04,0.58,Solvent,Weak + C13_Sat,,,57,0.8,0,0.76,0.09,Impurity,Weak,,
29,2.33,0.2,2.87,6.13,Solvent,Weak + C13_Sat,,,58,0.06,0,0.66,0.09,Impurity,Weak,,
